Accession;suppdata_id;type;pi0;type_filtered;pi0_filtered
GSE53789;GSE53789_GFP_FACS_x_GFP_LCM-not_significant.diff.txt.gz;conservative;1.00;NA; NA

GSE53789;GSE53789_GFP_FACS_x_WT_FACS-not_significant.diff.txt.gz;conservative;1.00;NA; NA

GSE53789;GSE53789_GFP_LCM_gt_GFP_FACS_gene_exp_with_zeros.diff.txt.gz;other;0.33;NA; NA

GSE53789;GSE53789_GFP_LCM_gt_WT_FACS_gene_exp_with_zeros.diff.txt.gz;other;0.32;NA; NA

GSE53789;GSE53789_GFP_LCM_x_GFP_FACS-not_significant.diff.txt.gz;conservative;1.00;NA; NA

GSE53789;GSE53789_GFP_LCM_x_WT_FACS-not_significant.diff.txt.gz;conservative;1.00;NA; NA

GSE53789;GSE53789_WT_FACS_x_GFP_FACS-not_significant.diff.txt.gz;conservative;1.00;NA; NA

GSE53789;GSE53789_WT_FACS_x_GFP_LCM-not_significant.diff.txt.gz;conservative;1.00;NA; NA

GSE53976;GSE53976_gene_exp.diff.txt.gz;conservative;0.96;NA; NA

GSE54240;GSE54240_phoP_RNA-seq.tsv.gz;bimodal;1.00;other;1.00

GSE54246;GSE54246_Control_vs._4_NQO_Tongue_gene_exp.xlsx.gz;bimodal;0.94;NA; NA

GSE54286;GSE54286_Lys_sup_pelle_rs_mvhip_Exp.txt.gz;bimodal;0.96;NA; NA

GSE54433;GSE54433_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE54440;GSE54440_WT_Z2_RNAseq_rep2.txt.gz;anti-conservative;0.51;NA; NA

GSE54473;GSE54473_Suv420_gene_exp.xlsx.gz-sheet-gene_exp;bimodal;0.91;NA; NA

GSE54602;GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz-set-0;bimodal;0.93;NA; NA

GSE54602;GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz-set-1;conservative;1.00;NA; NA

GSE54602;GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz-set-2;conservative;1.00;NA; NA

GSE54641;GSE54641_cuffdiff2_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE54641;GSE54641_DESeq.txt.gz;conservative;0.94;anti-conservative;0.98

GSE54846;GSE54846_130529.DESeq.120813.combined-htseq-Luc123-m1_123.HGNC.protein_coding.rsgt20.txt.gz;anti-conservative;0.79;anti-conservative;0.45

GSE54982;GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0;bimodal;0.98;NA; NA

GSE54982;GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0;bimodal;0.99;NA; NA

GSE54982;GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0;bimodal;0.99;NA; NA

GSE54982;GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0;bimodal;0.99;NA; NA

GSE54984;GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD;bimodal;0.99;NA; NA

GSE54984;GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4;bimodal;0.94;NA; NA

GSE55090;GSE55090_cds_exp.diff.txt.gz;bimodal;0.85;NA; NA

GSE55090;GSE55090_gene_exp.diff.txt.gz;bimodal;0.84;NA; NA

GSE55090;GSE55090_isoform_exp.diff.txt.gz;bimodal;0.90;NA; NA

GSE55090;GSE55090_tss_group_exp.diff.txt.gz;bimodal;0.86;NA; NA

GSE55394;GSE55394_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE55528;GSE55528_gene_exp_PA.diff.gz;anti-conservative;0.56;NA; NA

GSE55528;GSE55528_gene_exp_SA.diff.gz;anti-conservative;0.68;NA; NA

GSE55596;GSE55596_alldiff_nonovel.txt.gz;conservative;1.00;NA; NA

GSE55596;GSE55596_LOLOdiff_nonovel.txt.gz;conservative;0.99;NA; NA

GSE55682;GSE55682_16h.xls.gz;other;1.00;NA; NA

GSE55682;GSE55682_20h.xls.gz;other;1.00;NA; NA

GSE55682;GSE55682_24h.xls.gz;other;1.00;NA; NA

GSE55682;GSE55682_48h.xls.gz;other;1.00;NA; NA

GSE55682;GSE55682_Baf250a6days.csv.gz;other;1.00;NA; NA

GSE55870;GSE55870_CAF90vsNF1493.xlsx.gz;conservative;0.99;other;1.00

GSE56013;GSE56013_A.Wildtype_wholefly_DCVrel.Mock.txt.gz;conservative;0.99;NA; NA

GSE56013;GSE56013_B.G9amutant_wholefly_DCVrel.Mock.txt.gz;conservative;0.99;NA; NA

GSE56013;GSE56013_E.Wildtype_fatbody_DCVrel.Mock.txt.gz;conservative;0.98;NA; NA

GSE56013;GSE56013_F.G9amutant_fatbody_DCVrel.Mock.txt.gz;conservative;0.97;NA; NA

GSE56013;GSE56013_I.G9amutant_rel.to_Wildtype_DCV_WholeFly.txt.gz;spiky;0.99;NA; NA

GSE56013;GSE56013_J.G9amutant_rel.to_Wildtype_DCV_Fatbody.txt.gz;conservative;0.96;NA; NA

GSE56052;GSE56052_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE56058;GSE56058_differentialExpressionGenes_RD19.txt.gz;other;1.00;NA; NA

GSE56073;GSE56073_PARP-1-KD_tss_group_exp.diff.gz;conservative;1.00;NA; NA

GSE56073;GSE56073_PARylation_tss_group_exp.diff.gz;conservative;1.00;NA; NA

GSE56097;GSE56097_Cufflinks_CuffDiff_gene_exp.txt.gz;conservative;1.00;NA; NA

GSE56122;GSE56122_IFN-gene_exp.diff.gz;conservative;1.00;NA; NA

GSE56122;GSE56122_LPS-gene_exp.diff.gz;conservative;1.00;NA; NA

GSE56132;GSE56132_Pm_Si_expression.txt.gz-set-0;anti-conservative;0.67;NA; NA

GSE56132;GSE56132_Pm_Si_expression.txt.gz-set-1;anti-conservative;0.57;NA; NA

GSE56169;GSE56169_normalized_RNASeq_Ctrl_vs_E2a.txt.gz;anti-conservative;0.37;NA; NA

GSE56284;GSE56284_gene_exp.txt.gz;bimodal;0.87;NA; NA

GSE56346;GSE56346_wtNplus_vs_wtNminus_DESeq_output.txt.gz;anti-conservative;0.36;anti-conservative;0.23

GSE56575;GSE56575_cds_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE56966;GSE56966_IL6Ra_WT.xlsx.gz-sheet-gene_exp;other;1.00;NA; NA

GSE56966;GSE56966_IL6Ra_WT.xlsx.gz-sheet-gene_notest;conservative;1.00;NA; NA

GSE56966;GSE56966_MyD88_WT.xlsx.gz-sheet-gene_exp;other;1.00;NA; NA

GSE56966;GSE56966_MyD88_WT.xlsx.gz-sheet-gene_notest;conservative;1.00;NA; NA

GSE57217;GSE57217_bck1wt_geneexp_diff.txt.gz;anti-conservative;0.73;NA; NA

GSE57217;GSE57217_mkk2wt_geneexp_diff.txt.gz;anti-conservative;0.80;NA; NA

GSE57217;GSE57217_mpk1wt_geneexp_diff.txt.gz;anti-conservative;0.77;NA; NA

GSE57227;GSE57227_PHH_GW_vs_DMSO_RNA_seq_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE57254;GSE57254_Control_CELF1KD_abundances.txt.gz;conservative;0.98;NA; NA

GSE57396;GSE57396_Cuttdiff_cds_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE57397;GSE57397_degexp.KO-REC-REP1-RNA.vs.KO-HS-REP1-RNA.output_score.txt.gz;anti-conservative;0.38;NA; NA

GSE57397;GSE57397_degexp.KO-REC-REP2-RNA.vs.KO-HS-REP2-RNA.output_score.txt.gz;anti-conservative;0.39;NA; NA

GSE57397;GSE57397_degexp.WT-REC-REP1-RNA.vs.WT-HS-REP1-RNA.output_score.txt.gz;anti-conservative;0.34;NA; NA

GSE57397;GSE57397_degexp.WT-REC-REP2-RNA.vs.WT-HS-REP2-RNA.output_score.txt.gz;anti-conservative;0.37;NA; NA

GSE57482;GSE57482_output_score.txt.gz;anti-conservative;0.25;NA; NA

GSE57517;GSE57517_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE57680;GSE57680_RPKM_luminal_epithelium.txt.gz;conservative;1.00;NA; NA

GSE57680;GSE57680_RPKM_stroma.txt.gz;conservative;1.00;NA; NA

GSE57682;GSE57682_Id2_3_Treg_G42_Cuffdiff.txt.gz;conservative;1.00;NA; NA

GSE58052;GSE58052_N.europaea_co-culture_over_single-culture.txt.gz;anti-conservative;0.61;NA; NA

GSE58052;GSE58052_N.winogradskyi_co-culture_over_single-culture.txt.gz;spiky;0.86;NA; NA

GSE58053;GSE58053_1mm-over-0mm.txt.gz;bimodal;1.00;NA; NA

GSE58053;GSE58053_25mm-over-0mm.txt.gz;anti-conservative;0.56;NA; NA

GSE58053;GSE58053_25mm-over-1mm.txt.gz;anti-conservative;0.68;NA; NA

GSE58082;GSE58082_gene_exp.diff.txt.gz;bimodal;0.90;NA; NA

GSE58115;GSE58115_4858DM98-3_VS_4858C6_differential_all.txt.gz;bimodal;0.79;NA; NA

GSE58326;GSE58326_gene_exp.txt.gz;bimodal;0.90;NA; NA

GSE58359;GSE58359_HOXA9.txt.gz;bimodal;0.93;NA; NA

GSE58360;GSE58360_Cebpa.txt.gz;conservative;1.00;NA; NA

GSE58379;GSE58379_RBM47_alternative_splicing.txt.gz;bimodal;0.94;NA; NA

GSE58405;GSE58405_gene_exp.diff.gz;bimodal;0.74;NA; NA

GSE58405;GSE58405_isoform_exp.diff.gz;bimodal;0.89;NA; NA

GSE58464;GSE58464_RNA-seq_tophat_microrazers_results.txt.gz-set-0;conservative;1.00;NA; NA

GSE58464;GSE58464_RNA-seq_tophat_microrazers_results.txt.gz-set-1;conservative;0.95;NA; NA

GSE58467;GSE58467_FPKM.txt.gz;bimodal;0.80;NA; NA

GSE58495;GSE58495_diffexp_LSK.txt.gz-set-0;anti-conservative;0.66;NA; NA

GSE58495;GSE58495_diffexp_LSK.txt.gz-set-1;anti-conservative;0.58;NA; NA

GSE58586;GSE58586_RNAseq-PDX-paired-tr-vs-untr_allintensity-filtered.txt.gz;other;0.97;NA; NA

GSE58609;GSE58609_MEF_WT_DKO.deseq.txt.gz-set-0;conservative;0.94;NA; NA

GSE58609;GSE58609_MEF_WT_DKO.deseq.txt.gz-set-1;conservative;0.99;NA; NA

GSE58865;GSE58865_Hyphae_vs_Oidia_DESeq_results.txt.gz;anti-conservative;0.46;NA;0.03

GSE58910;GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz;bimodal;0.76;anti-conservative;0.69

GSE59017;GSE59017_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE59017;GSE59017_isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE59020;GSE59020_ETS1_gene_exp_all.diff.gz;conservative;1.00;NA; NA

GSE59020;GSE59020_U0126_gene_exp_all.diff.gz;conservative;0.98;NA; NA

GSE59290;GSE59290_ANTI_isoform_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE59290;GSE59290_MIR_isoform_exp.diff.txt.gz;conservative;0.96;NA; NA

GSE59481;GSE59481_PIG_vs_GFP_DE_genes.txt.gz;bimodal;0.91;NA; NA

GSE59571;GSE59571_S13113_genesdiff.xlsx;anti-conservative;0.70;NA; NA

GSE59621;GSE59621_gene_exp.diff.txt.gz;conservative;0.98;NA; NA

GSE59705;GSE59705_DEXseqresultstable.txt.gz;other;0.95;NA; NA

GSE59715;GSE59715_finalHiCRNAseqTable.csv.gz;anti-conservative;0.73;anti-conservative;0.44

GSE59781;GSE59781_gene_exp.diff.gz;bimodal;0.82;NA; NA

GSE59814;GSE59814_processed_data.txt.gz;anti-conservative;0.53;NA; NA

GSE59850;GSE59850_redgrn_early_cuffdiff_out.diff.txt.gz;bimodal;1.00;NA; NA

GSE59850;GSE59850_redgrn_late_cuffdiff_out.diff.txt.gz;bimodal;1.00;NA; NA

GSE59850;GSE59850_redrho_late_cuffdiff_out.diff.txt.gz;bimodal;0.98;NA; NA

GSE59850;GSE59850_redvio_late_cuffdiff_out.diff.txt.gz;bimodal;1.00;NA; NA

GSE59850;GSE59850_rhogrn_early_cuffdiff_out.diff.txt.gz;conservative;1.00;NA; NA

GSE59980;GSE59980_RNA-seq_598-SKD.txt.gz-set-0;spiky;0.67;NA; NA

GSE59980;GSE59980_RNA-seq_598-SKD.txt.gz-set-1;anti-conservative;0.39;NA; NA

GSE60171;GSE60171_cuffdiff.FGF-1day.vs.iBET-1day.txt.gz;conservative;0.97;NA; NA

GSE60171;GSE60171_cuffdiff.FGF-5days.vs.iBET-5days.txt.gz;conservative;0.94;NA; NA

GSE60177;GSE60177_PseudomonasDESeq.txt.gz;conservative;0.99;NA; NA

GSE60191;GSE60191_RNA_halflives.xlsx.gz-sheet-Tabelle1;anti-conservative;0.32;NA; NA

GSE60441;GSE60441_gene_exp.diff.gz;bimodal;0.79;NA; NA

GSE60630;GSE60630_PDC3_vs_DMSO_gene_exp.diff.gz;bimodal;0.86;NA; NA

GSE60630;GSE60630_PDC3_vs_DMSO_isoform_exp.diff.gz;bimodal;0.96;NA; NA

GSE60630;GSE60630_PDC3_vs_DMSO_splicing.diff.gz;conservative;1.00;NA; NA

GSE60641;GSE60641_AB03_2.xlsx.gz;bimodal;0.79;NA; NA

GSE60642;GSE60642_AB056_2.xlsx.gz-set-0;bimodal;0.78;NA; NA

GSE60642;GSE60642_AB056_2.xlsx.gz-set-1;bimodal;0.78;NA; NA

GSE60642;GSE60642_AB056_2.xlsx.gz-set-2;bimodal;0.85;NA; NA

GSE60691;GSE60691_processed_data_aso_wild_type.txt.gz;bimodal;0.94;NA; NA

GSE60691;GSE60691_processed_data_krkr_sumo_mut.txt.gz;bimodal;0.94;NA; NA

GSE60701;GSE60701_AL_R_vs_AL_L.diff_expressed_transcripts.tsv.gz;bimodal;0.95;NA; NA

GSE60701;GSE60701_ChL_R_vs_AL_R.diff_expressed_transcripts.tsv.gz;bimodal;0.90;NA; NA

GSE60701;GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz;bimodal;0.97;NA; NA

GSE60756;GSE60756_Richards_092013_B6_vs_Cast_DESeq_Stats-NormSignal_Annotated.txt.gz;uniform;1.00;spiky;0.99

GSE60822;GSE60822_cuffdiff.control.ablation.tab.gz;conservative;1.00;NA; NA

GSE60822;GSE60822_cuffdiff.control.induction.tab.gz;conservative;1.00;NA; NA

GSE60822;GSE60822_cuffdiff.induction.ablation.tab.gz;conservative;1.00;NA; NA

GSE60825;GSE60825_Differential_Expression.xlsx-sheet-Cntl Normoxia vs ELT-2 Normoxia;conservative;1.00;NA; NA

GSE60825;GSE60825_Differential_Expression.xlsx-sheet-Cntrl Hypoxia vs ELT-2 Hypoxia;conservative;1.00;NA; NA

GSE60825;GSE60825_Differential_Expression.xlsx-sheet-Cntrl Hypoxia vs ELT-2 Normoxia;conservative;1.00;NA; NA

GSE60825;GSE60825_Differential_Expression.xlsx-sheet-Cntrl Normoxia vs Cntrl Hypoxia;conservative;1.00;NA; NA

GSE60825;GSE60825_Differential_Expression.xlsx-sheet-Cntrl Normoxia vs ELT-2 Hypoxia;conservative;1.00;NA; NA

GSE60825;GSE60825_Differential_Expression.xlsx-sheet-ELT-Normoxia vs ELT-2 Hypoxia;conservative;1.00;NA; NA

GSE60968;GSE60968_VEC_vs_CRE_DE.txt.gz;anti-conservative;0.38;NA; NA

GSE61031;GSE61031_DE_polyaWT_vs_polyaKO.txt.gz;bimodal;0.81;anti-conservative;0.84

GSE61033;GSE61033_DE_exonWT_vs_exonKOnoRN.txt.gz;bimodal;0.70;anti-conservative;0.71

GSE61033;GSE61033_DE_intronWT_vs_intronKOnoRN.txt.gz;bimodal;0.86;anti-conservative;0.86

GSE61202;GSE61202_NICvsMOdifferential_expression.txt.gz;conservative;1.00;NA; NA

GSE61238;GSE61238_gene_exp.diff.gz;conservative;0.96;NA; NA

GSE61336;GSE61336_results_167_vs_WTL.txt.gz;bimodal;0.90;anti-conservative;0.42

GSE61336;GSE61336_results_167_vs_WTZ.txt.gz;bimodal;0.88;anti-conservative;0.41

GSE61336;GSE61336_results_WTL_vs_WTZ.txt.gz;conservative;1.00;anti-conservative;0.99

GSE61351;GSE61351_Cont_ComparedTo_PTH_D28_CuffDiffAnalysis1.xls.gz;bimodal;0.78;NA; NA

GSE61491;GSE61491_CHDKD_differential_expression.txt.gz;anti-conservative;0.95;NA; NA

GSE61566;GSE61566_cds_exp.diff.gz;bimodal;0.80;NA; NA

GSE61566;GSE61566_cds.diff.gz;conservative;0.98;NA; NA

GSE61566;GSE61566_gene_exp.diff.gz;bimodal;0.74;NA; NA

GSE61566;GSE61566_isoform_exp.diff.gz;bimodal;0.86;NA; NA

GSE61566;GSE61566_promoters.diff.gz;conservative;1.00;NA; NA

GSE61566;GSE61566_splicing.diff.gz;conservative;0.99;NA; NA

GSE61566;GSE61566_tss_group_exp.diff.gz;bimodal;0.80;NA; NA

GSE61690;GSE61690_DormantvsNondormant_meristems.txt.gz;bimodal;0.97;NA; NA

GSE61733;GSE61733_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE61796;GSE61796_NG_Induced_transcript_changes.txt.gz;conservative;0.99;NA; NA

GSE61845;GSE61845_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE61851;GSE61851_genelist-sortedbypadj.txt.gz;bimodal;0.68;NA; NA

GSE61954;GSE61954_all_genes_expression_values_supp_table.txt.gz;anti-conservative;0.77;anti-conservative;0.59

GSE61969;GSE61969_gene_exp.diff.gz;conservative;0.96;NA; NA

GSE62040;GSE62040_gene_exp.diff.gz;conservative;0.97;NA; NA

GSE62200;GSE62200_Table_S4.xls.gz-sheet-Table S4;bimodal;0.78;NA; NA

GSE62200;GSE62200_Table_S4.xls.gz-sheet-Table S5 N2Y6-E VS LYP9-E;conservative;1.00;NA; NA

GSE62200;GSE62200_Table_S4.xls.gz-sheet-Table S5 N2Y6-M VS LYP9-M;anti-conservative;0.81;NA; NA

GSE62633;GSE62633_Differential_expression_table.txt.gz;conservative;0.98;NA; NA

GSE62647;GSE62647_Setd8_differential_expression_analyses.txt.gz;conservative;0.99;NA; NA

GSE62668;GSE62668_Embryo.txt.gz;conservative;1.00;NA; NA

GSE62668;GSE62668_Sperm.txt.gz;conservative;1.00;NA; NA

GSE62760;GSE62760_Acute_Cuffdiff_DGE.txt.gz;bimodal;0.94;NA; NA

GSE62760;GSE62760_Chronic_Cuffdiff_DGE.txt.gz;bimodal;0.95;NA; NA

GSE62785;GSE62785_Table_S1_Genes_differentially_expressed_in_hns_mutant_in_mid-exponential_phase.xls.gz-sheet-status = OK;anti-conservative;0.86;NA; NA

GSE62785;GSE62785_Table_S2_Genes_differentially_expressed_in_hns_mutant_in_early_stationary_phase.xls.gz-sheet-status = ok;anti-conservative;0.78;NA; NA

GSE62909;GSE62909_Differential_gene_exp.diff.gz;bimodal;0.87;NA; NA

GSE63091;GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-0;conservative;0.97;anti-conservative;0.94

GSE63091;GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-1;conservative;0.99;anti-conservative;0.99

GSE63091;GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-2;conservative;1.00;other;1.00

GSE63091;GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-3;conservative;0.99;other;1.00

GSE63133;GSE63133_D.rerio_SVCV_infected__24K__vs_control__0K_.txt.gz;conservative;1.00;NA; NA

GSE63133;GSE63133_D.rerio_SVCV_infected__24S__vs_control__0S_.txt.gz;conservative;1.00;NA; NA

GSE63133;GSE63133_D.rerio_SVCV_infected__6K__vs_control__0K_.txt.gz;conservative;1.00;NA; NA

GSE63133;GSE63133_D.rerio_SVCV_infected__6S__vs_control__0S_.txt.gz;conservative;1.00;NA; NA

GSE63141;GSE63141_eTMglc_gene_exp.diff.gz;anti-conservative;0.95;NA; NA

GSE63141;GSE63141_eTMgly_gene_exp.diff.gz;anti-conservative;0.78;NA; NA

GSE63161;GSE63161_diff-Gene-list.txt.gz;spiky;0.99;NA; NA

GSE63224;GSE63224_All_unigene_expression.txt.gz-set-0;other;1.00;NA; NA

GSE63224;GSE63224_All_unigene_expression.txt.gz-set-1;other;0.98;NA; NA

GSE63224;GSE63224_All_unigene_expression.txt.gz-set-2;other;1.00;NA; NA

GSE63224;GSE63224_All_unigene_expression.txt.gz-set-3;other;1.00;NA; NA

GSE63224;GSE63224_All_unigene_expression.txt.gz-set-4;other;0.99;NA; NA

GSE63224;GSE63224_All_unigene_expression.txt.gz-set-5;anti-conservative;0.94;NA; NA

GSE63226;GSE63226_WRR+vsWRR-.xls.gz;conservative;0.99;NA; NA

GSE63300;GSE63300_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE63485;GSE63485_KS_J1Csh63_vs_KS_CTRL.two_replicates.all_gene_exp.tbl.txt.gz;conservative;1.00;NA; NA

GSE63485;GSE63485_KS_J1Csh95_vs_KS_CTRL.two_replicates.all_gene_exp.tbl.txt.gz;conservative;1.00;NA; NA

GSE63485;GSE63485_shAML1_ETO_vs_shControl.all_gene_exp.tbl.txt.gz;conservative;1.00;NA; NA

GSE63510;GSE63510_ko_vs_wt_fold_changes_p_values.txt.gz;anti-conservative;0.54;anti-conservative;0.29

GSE63555;GSE63555_Ago2_immunoprecipitation_cuffdiff_fpkm.txt.gz;conservative;1.00;NA; NA

GSE63555;GSE63555_Gene_expression_cuffdiff_fpkm.txt.gz;conservative;1.00;NA; NA

GSE63570;GSE63570_Rec_siRNA_RNA-seq.txt.gz;conservative;0.92;NA; NA

GSE63707;GSE63707_DEXSeqResults_AretIR_03d_vs_IFMWT_03d.txt.gz;anti-conservative;0.67;NA; NA

GSE63707;GSE63707_DEXSeqResults_AretIR_03d_vs_salm_ko.txt.gz;anti-conservative;0.59;NA; NA

GSE63707;GSE63707_DEXSeqResults_AretIR_30h_vs_IFMWT_30h.txt.gz;anti-conservative;0.69;NA; NA

GSE63707;GSE63707_DEXSeqResults_AretIR_72h_vs_IFMWT_72h.txt.gz;anti-conservative;0.67;NA; NA

GSE63707;GSE63707_DEXSeqResults_IFMWT_03d_vs_jump_0d.txt.gz;bimodal;0.70;NA; NA

GSE63707;GSE63707_DEXSeqResults_IFMWT_03d_vs_leg_0d.txt.gz;bimodal;0.72;NA; NA

GSE63707;GSE63707_DEXSeqResults_salm_ko_vs_IFMWT_03d.txt.gz;anti-conservative;0.65;NA; NA

GSE63748;GSE63748_exp_7d4h_diff.txt.gz;conservative;1.00;NA; NA

GSE63750;GSE63750_chemhigh-batch-result-using-R-DeSeq.csv.gz;bimodal;0.99;other;0.98

GSE63750;GSE63750_chemlow-batch-result-using-R-DeSeq.csv.gz;other;1.00;other;0.99

GSE63758;GSE63758_gene_exp.diff.gz;bimodal;0.86;NA; NA

GSE63794;GSE63794_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE63810;GSE63810_BCKO_RNASeq_Data.xlsx-sheet-GenesDiffExp;conservative;0.98;NA; NA

GSE63836;GSE63836_C15Dx_versus_Untr.DESeq.txt.gz;anti-conservative;0.63;anti-conservative;0.42

GSE63836;GSE63836_Dx_versus_C15Dx.DESeq.txt.gz;bimodal;0.80;anti-conservative;0.83

GSE63838;GSE63838_cds_exp_diff_2D.txt.gz;conservative;0.99;NA; NA

GSE63884;GSE63884_gene_exp.diff_cenpk_imx372_aerobic.txt.gz;uniform;1.00;NA; NA

GSE63889;GSE63889_Diff_0U_120U_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE63889;GSE63889_Diff_120U_120C_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE63948;GSE63948_Supplemental_Table2_DeepSeq_Fanourgakis_etAl.xls.gz-sheet-long 3'UTR transcripts(>1500nt);anti-conservative;0.87;NA; NA

GSE63948;GSE63948_Supplemental_Table2_DeepSeq_Fanourgakis_etAl.xls.gz-sheet-medium 3'UTR transcripts;anti-conservative;0.95;NA; NA

GSE63948;GSE63948_Supplemental_Table2_DeepSeq_Fanourgakis_etAl.xls.gz-sheet-short 3'UTR transcripts(<350nt);anti-conservative;0.90;NA; NA

GSE64025;GSE64025_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE64185;GSE64185_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE64242;GSE64242_cufdiff_isoform_exp.diff.gz;anti-conservative;0.93;NA; NA

GSE64455;GSE64455_cuffdiff_out.txt.gz;conservative;1.00;NA; NA

GSE64513;GSE64513_FOXD3_vs_Control_gene_exp_diff_anno.txt.gz;anti-conservative;0.61;NA; NA

GSE64544;GSE64544_LV_processed.txt.gz;conservative;1.00;NA; NA

GSE64544;GSE64544_MV_processed.txt.gz;conservative;1.00;NA; NA

GSE64641;GSE64641_leaf_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE64641;GSE64641_seedling_gene_exp.diff.txt.gz;conservative;1.00;NA; NA

GSE64687;GSE64687_FPKM_and_differential_expression_for_mRNA.txt.gz;conservative;1.00;NA; NA

GSE64747;GSE64747_deseq_comp_DMSO_minus_TEX_vs_compound59_minus_TEX_with_annot_and_counts.txt.gz;conservative;1.00;NA;NaN

GSE64757;GSE64757_All_FPKMs_GEO.csv.gz;conservative;1.00;NA; NA

GSE64840;GSE64840_2N_Ts65Dn_MEFs.gene_exp.diff.gz;conservative;0.97;NA; NA

GSE64854;GSE64854_cds_exp.diff.gz;conservative;1.00;NA; NA

GSE64854;GSE64854_cds.diff.gz;conservative;1.00;NA; NA

GSE64854;GSE64854_gene_exp.diff.gz;conservative;0.98;NA; NA

GSE64854;GSE64854_isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE64854;GSE64854_promoters.diff.gz;conservative;1.00;NA; NA

GSE64854;GSE64854_splicing.diff.gz;conservative;1.00;NA; NA

GSE64854;GSE64854_tss_group_exp.diff.gz;conservative;0.99;NA; NA

GSE65022;GSE65022_cuffdiff-WT_CD_gene_exp.diff.gz;bimodal;0.94;NA; NA

GSE65024;GSE65024_WT-bhlh_gene_exp.diff.gz;bimodal;0.94;NA; NA

GSE65025;GSE65025_WT-HSF_gene_exp.diff.gz;conservative;0.99;NA; NA

GSE65039;GSE65039_gene_exp1.txt.gz;conservative;1.00;NA; NA

GSE65072;GSE65072_DESeq_plusDOX_minusDOX.xlsx;anti-conservative;0.55;NA; NA

GSE65142;GSE65142_HYBP.txt.gz;bimodal;0.88;NA; NA

GSE65142;GSE65142_YH.txt.gz;bimodal;0.94;NA; NA

GSE65321;GSE65321_RNASeqProcessedDESeqData_GSM1631482-GSM1631483.txt.gz;conservative;1.00;NA; NA

GSE65321;GSE65321_RNASeqProcessedDESeqData.txt.gz;bimodal;0.97;NA; NA

GSE65328;GSE65328_A17_6V.tab.gz;conservative;0.94;anti-conservative;0.92

GSE65337;GSE65337_Nfix_KO_vs_WT_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE65406;GSE65406_control_vs_gld1_DESeq.csv.gz;conservative;0.85;anti-conservative’;1.00

