"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,,Average Journal Impact Factor Percentile,Normalized Eigenfactor
3890,International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,777,2.198,1.333,2.012,0.351,97,4.2,7.4,0.001090,0.296,100.000,,58.932,0.12564
3890,Neuropsychiatric Disease and Treatment,NEUROPSYCH DIS TREAT,1178-2021,"3,142",2.198,2.035,2.271,0.288,344,3.3,7.7,0.008210,0.598,83.140,,45.452,0.94315
3893,Freshwater Science,FRESHW SCI,2161-9549,"1,360",2.197,2.004,2.728,1.417,108,3.0,>10.0,0.005210,0.822,100.000,,66.303,0.59875
3893,Scandinavian Journal of Surgery,SCAND J SURG,1457-4969,870,2.197,2.197,1.777,0.4,40,6.7,7.9,0.001530,0.504,95.000,,62.183,0.17596
3895,APIDOLOGIE,APIDOLOGIE,0044-8435,"3,445",2.196,1.937,1.928,0.458,72,>10.0,9.8,0.002860,0.551,88.890,,86.559,0.32875
3895,ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,ASSAY DRUG DEV TECHN,1540-658X,"1,154",2.196,2.000,2.255,0.367,49,6.2,6.7,0.002250,0.656,91.840,,41.748,0.25682
3895,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,J STAT MECH-THEORY E,1742-5468,"7,403",2.196,1.703,2.189,1.138,385,6.0,9.1,0.020100,0.929,100.000,,79.084,2.30616
3895,MECCANICA,MECCANICA,0025-6455,"2,695",2.196,1.980,2.041,0.375,208,4.2,>10.0,0.006260,0.526,100.000,,71.805,0.71829
3899,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,1368-2822,"1,745",2.195,2.008,2.084,0.21,62,7.8,>10.0,0.003200,0.752,90.320,,85.533,0.36749
3899,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,INT J LANG COMM DIS,1368-2822,"1,745",2.195,2.008,2.084,0.21,62,7.8,>10.0,0.003200,0.752,90.320,,85.533,0.36749
3899,INTERNATIONAL MIGRATION REVIEW,INT MIGR REV,0197-9183,"2,787",2.195,2.169,2.114,0.212,33,>10.0,>10.0,0.002990,1.190,100.000,,82.692,0.34378
3899,QUATERNARY RESEARCH,QUATERNARY RES,0033-5894,"6,871",2.195,2.097,2.500,0.386,70,>10.0,>10.0,0.006500,0.875,100.000,,48.043,0.74563
3899,SIAM JOURNAL ON SCIENTIFIC COMPUTING,SIAM J SCI COMPUT,1064-8275,"11,094",2.195,1.900,2.803,0.273,260,>10.0,10.0,0.024650,1.718,100.000,,93.137,2.83366
3904,COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,0010-440X,"5,610",2.194,2.065,2.549,0.329,164,7.8,9.1,0.009900,0.763,100.000,,51.661,1.13693
3904,COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,0010-440X,"5,610",2.194,2.065,2.549,0.329,164,7.8,9.1,0.009900,0.763,100.000,,51.661,1.13693
3904,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,SIAM J MATRIX ANAL A,0895-4798,"4,332",2.194,1.890,2.552,0.182,77,>10.0,>10.0,0.011050,2.060,100.000,,92.745,1.27154
3907,TETRAHEDRON LETTERS,TETRAHEDRON LETT,0040-4039,"66,434",2.193,1.983,2.026,0.495,"1,373",>10.0,7.8,0.048080,0.403,99.930,,56.780,5.51539
3908,International Journal for Numerical Methods in Biomedical Engineering,INT J NUMER METH BIO,2040-7939,996,2.192,2.008,1.922,0.476,42,4.1,>10.0,0.004190,0.714,100.000,,71.939,0.48132
3908,Psychology of Violence,PSYCHOL VIOLENCE,2152-0828,578,2.192,1.872,3.070,1.262,61,3.4,9.2,0.002250,0.988,100.000,,74.067,0.25783
3908,Quantum Information Processing,QUANTUM INF PROCESS,1570-0755,"2,630",2.192,1.462,2.337,0.465,312,3.2,8.3,0.006710,0.508,99.360,,79.931,0.77007
3908,TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,TUNN UNDERGR SP TECH,0886-7798,"4,026",2.192,1.606,2.562,0.678,233,6.9,>10.0,0.005230,0.560,99.570,,77.115,0.60031
3908,VOX SANGUINIS,VOX SANG,0042-9007,"3,208",2.192,1.888,2.438,0.438,112,7.7,6.6,0.005090,0.745,95.540,,42.143,0.58434
3913,CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,CARDIOVASC INTER RAD,0174-1551,"4,859",2.191,1.830,2.150,0.591,230,5.9,7.1,0.008860,0.572,93.480,,53.729,1.01820
3913,Journal of Hand Surgery-European Volume,J HAND SURG-EUR VOL,1753-1934,"4,182",2.191,1.423,1.890,0.664,113,>10.0,>10.0,0.003740,0.496,87.610,,66.035,0.43019
3913,ORYX,ORYX,0030-6053,"2,502",2.191,1.917,2.309,0.365,85,7.9,9.3,0.003580,0.686,100.000,,66.095,0.41154
3916,ASAIO JOURNAL,ASAIO J,1058-2916,"2,723",2.190,1.916,2.093,0.467,135,6.7,6.6,0.005040,0.614,95.560,,48.597,0.57907
3916,IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,"2,547",2.190,2.008,2.375,0.783,69,>10.0,5.4,0.001960,0.473,100.000,,75.943,0.22498
3918,CLINICAL JOURNAL OF SPORT MEDICINE,CLIN J SPORT MED,1050-642X,"3,515",2.189,2.065,2.544,0.596,89,9.1,8.4,0.004790,0.820,96.630,,63.172,0.54999
3918,MEDICAL CARE RESEARCH AND REVIEW,MED CARE RES REV,1077-5587,"2,060",2.189,2.081,3.220,0.649,37,8.3,7.5,0.004400,1.603,94.590,,64.001,0.50598
3918,MEDICAL CARE RESEARCH AND REVIEW,MED CARE RES REV,1077-5587,"2,060",2.189,2.081,3.220,0.649,37,8.3,7.5,0.004400,1.603,94.590,,64.001,0.50598
3918,World Mycotoxin Journal,WORLD MYCOTOXIN J,1875-0710,831,2.189,1.783,2.279,0.594,69,4.6,7.6,0.001440,0.444,91.300,,54.759,0.16560
3922,Parenting-Science and Practice,PARENT-SCI PRACT,1529-5192,714,2.188,2.063,2.585,0.353,17,8.2,>10.0,0.001270,0.938,100.000,,67.434,0.14557
3923,JOURNAL OF SURGICAL RESEARCH,J SURG RES,0022-4804,"12,188",2.187,2.109,2.211,0.352,486,5.7,7.7,0.026310,0.642,97.530,,61.168,3.01814
3924,CELL BIOCHEMISTRY AND FUNCTION,CELL BIOCHEM FUNCT,0263-6484,"2,214",2.186,2.161,2.084,0.467,75,7.0,7.8,0.003140,0.495,90.670,,30.363,0.36104
3924,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,EXP CLIN PSYCHOPHARM,1064-1297,"2,368",2.186,2.053,2.577,0.304,46,8.9,>10.0,0.003580,0.932,95.650,,50.501,0.40995
3924,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,EXP CLIN PSYCHOPHARM,1064-1297,"2,368",2.186,2.053,2.577,0.304,46,8.9,>10.0,0.003580,0.932,95.650,,50.501,0.40995
3924,GLYCOCONJUGATE JOURNAL,GLYCOCONJUGATE J,0282-0080,"2,345",2.186,2.053,2.171,0.647,85,>10.0,8.9,0.002090,0.529,71.760,,33.621,0.24010
3924,JOURNAL OF ZOOLOGY,J ZOOL,0952-8369,"7,960",2.186,2.095,2.150,0.36,100,>10.0,>10.0,0.005260,0.723,97.000,,84.969,0.60425
3929,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,BEHAV ECOL SOCIOBIOL,0340-5443,"11,591",2.185,2.008,2.917,0.45,200,>10.0,>10.0,0.013120,0.943,96.500,,57.095,1.50719
3929,FISHERIES RESEARCH,FISH RES,0165-7836,"7,622",2.185,1.708,2.359,0.611,285,8.6,9.9,0.009480,0.603,97.190,,79.000,1.08968
3929,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,0141-0768,"3,603",2.185,2.022,2.690,1.923,39,>10.0,>10.0,0.003990,1.117,76.920,,72.581,0.45780
3932,Fungal Biology,FUNGAL BIOL-UK,1878-6146,"1,706",2.184,2.045,2.602,0.685,130,4.2,9.8,0.005370,0.714,99.230,,45.000,0.61683
3932,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,IEEE T PROF COMMUN,0361-1434,515,2.184,1.684,1.558,0.08,25,9.2,9.7,0.000470,0.312,92.000,,84.177,0.05355
3932,JOURNAL OF ORGANOMETALLIC CHEMISTRY,J ORGANOMET CHEM,0022-328X,"19,687",2.184,1.983,1.914,0.507,414,>10.0,9.9,0.013370,0.369,96.620,,59.608,1.53353
3932,Pharmacogenetics and Genomics,PHARMACOGENET GENOM,1744-6872,"3,212",2.184,2.102,3.140,0.545,66,6.7,7.9,0.005350,0.855,98.480,,44.344,0.61205
3936,BIOMETALS,BIOMETALS,0966-0844,"3,779",2.183,2.064,2.477,0.534,88,7.7,9.4,0.004470,0.616,96.590,,32.931,0.51382
3936,JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,0733-9429,"8,810",2.183,1.789,2.144,0.315,146,>10.0,>10.0,0.005530,0.613,100.000,,74.274,0.63470
3936,TEACHING AND TEACHER EDUCATION,TEACH TEACH EDUC,0742-051X,"6,169",2.183,1.616,2.995,0.259,189,8.6,9.2,0.005770,0.697,96.300,,87.447,0.66252
3939,Estuaries and Coasts,ESTUAR COAST,1559-2723,"2,951",2.182,1.978,2.444,0.429,133,5.4,>10.0,0.006780,0.739,98.500,,65.180,0.77904
3939,JOURNAL OF ANATOMY,J ANAT,0021-8782,"8,044",2.182,1.955,2.477,0.703,138,>10.0,>10.0,0.007010,0.830,91.300,,88.095,0.80474
3939,JOURNAL OF HEALTH PSYCHOLOGY,J HEALTH PSYCHOL,1359-1053,"3,975",2.182,1.815,2.395,0.336,286,6.8,9.7,0.006160,0.643,98.950,,60.744,0.70711
3939,JOURNAL OF POLITICAL PHILOSOPHY,J POLIT PHILOS,0963-8016,"1,000",2.182,2.114,1.912,0.12,25,9.1,>10.0,0.001740,1.070,100.000,,88.538,0.19984
3939,PHILOSOPHY & PUBLIC AFFAIRS,PHILOS PUBLIC AFF,0048-3915,"1,782",2.182,1.864,3.446,0.222,9,>10.0,>10.0,0.001820,2.260,100.000,,88.538,0.20932
3944,Current Zoology,CURR ZOOL,1674-5507,"1,040",2.181,2.047,1.974,0.75,68,3.7,>10.0,0.004000,0.668,98.530,,83.742,0.45931
3944,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,INT J URBAN REGIONAL,0309-1317,"3,428",2.181,1.980,2.763,0.7,30,7.9,8.6,0.006900,1.062,100.000,,81.645,0.79235
3944,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,J INT NEUROPSYCH SOC,1355-6177,"5,824",2.181,2.073,3.300,0.536,97,8.6,8.4,0.008660,1.142,91.750,,43.313,0.99456
3947,NEUROSCIENCE LETTERS,NEUROSCI LETT,0304-3940,"32,352",2.180,2.111,2.129,0.503,738,>10.0,8.6,0.035010,0.603,98.370,,30.695,4.01889
3948,JOURNAL OF CARDIOVASCULAR SURGERY,J CARDIOVASC SURG,0021-9509,"2,137",2.179,2.031,1.565,0.337,101,7.5,6.1,0.004220,0.529,59.410,,47.601,0.48462
3949,JOURNAL OF CLINICAL MONITORING AND COMPUTING,J CLIN MONIT COMPUT,1387-1307,"1,388",2.178,1.438,2.100,0.482,114,4.8,8.1,0.002520,0.500,92.980,,40.323,0.28992
3949,Pulmonary Circulation,PULM CIRC,2045-8932,946,2.178,2.026,Not Available,0.494,81,3.4,7.3,0.004190,Not Available,83.950,,39.343,0.48162
3949,THERAPEUTIC DRUG MONITORING,THER DRUG MONIT,0163-4356,"3,948",2.178,1.943,2.287,0.56,116,8.8,7.4,0.004640,0.597,86.210,,45.088,0.53215
3952,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,INT ARCH OCC ENV HEA,0340-0131,"3,686",2.177,2.016,2.231,0.367,120,9.6,9.4,0.004520,0.660,93.330,,62.216,0.51893
3952,PeerJ,PEERJ,2167-8359,"3,993",2.177,2.031,2.354,0.345,"1,298",2.1,8.9,0.017760,0.822,98.920,,69.531,2.03863
3952,UCLA LAW REVIEW,UCLA LAW REV,0041-5650,"1,561",2.177,1.903,2.755,1.375,24,>10.0,>10.0,0.002380,1.157,100.000,,87.584,0.27682
3955,ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,0272-7714,"14,293",2.176,1.914,2.541,0.48,304,9.3,>10.0,0.015240,0.702,98.030,,70.952,1.74930
3956,Coatings,COATINGS,2079-6412,315,2.175,2.103,2.096,0.379,66,2.4,7.1,0.000850,0.433,78.790,,76.316,0.09710
3956,JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,0952-3499,"2,215",2.175,2.035,2.051,0.516,62,8.1,9.4,0.003210,0.573,96.770,,35.129,0.36817
3958,Annals of Laboratory Medicine,ANN LAB MED,2234-3806,626,2.174,2.058,2.089,0.479,73,2.9,7.0,0.002160,0.533,94.520,,48.333,0.24833
3958,INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,INT J GYNECOL OBSTET,0020-7292,"7,673",2.174,2.014,2.177,0.349,292,7.9,7.3,0.013150,0.734,92.120,,55.625,1.51046
3958,International Theory,INT THEOR,1752-9719,318,2.174,1.783,2.424,1.19,21,4.2,>10.0,0.002250,1.581,85.710,,83.515,0.25859
3958,JOURNAL OF PLANNING LITERATURE,J PLAN LIT,0885-4122,716,2.174,2.130,3.245,0.125,8,>10.0,8.9,0.001000,1.309,75.000,,83.218,0.11449
3958,Journal of Maps,J MAPS,1744-5647,872,2.174,1.424,1.930,0.425,219,3.4,>10.0,0.001830,0.403,100.000,,53.229,0.20970
3958,Journal of Maps,J MAPS,1744-5647,872,2.174,1.424,1.930,0.425,219,3.4,>10.0,0.001830,0.403,100.000,,53.229,0.20970
3964,Cytoskeleton,CYTOSKELETON,1949-3584,"1,082",2.173,2.038,2.660,0.75,52,4.4,9.0,0.004790,1.087,67.310,,26.579,0.54881
3964,JOURNAL OF GAMBLING STUDIES,J GAMBL STUD,1050-5350,"2,076",2.173,1.626,2.442,0.233,86,7.6,9.4,0.002720,0.577,94.190,,66.000,0.31235
3966,Energy Science & Engineering,ENERGY SCI ENG,2050-0505,189,2.172,2.094,2.253,0.281,32,1.8,6.4,0.000610,0.533,87.500,,49.457,0.06945
3966,Frontiers in Pediatrics,FRONT PEDIATR,2296-2360,536,2.172,2.123,2.012,0.263,118,2.3,7.4,0.002090,0.579,59.320,,69.008,0.23897
3966,INVERTEBRATE SYSTEMATICS,INVERTEBR SYST,1445-5226,814,2.172,2.031,2.152,0.471,34,6.7,>10.0,0.001850,0.785,100.000,,56.669,0.20663
3966,PSYCHIATRIC CLINICS OF NORTH AMERICA,PSYCHIAT CLIN N AM,0193-953X,"2,286",2.172,2.126,2.582,0.295,44,9.4,8.0,0.002630,0.766,97.730,,56.475,0.30170
3970,DUKE MATHEMATICAL JOURNAL,DUKE MATH J,0012-7094,"5,710",2.171,2.124,2.417,0.47,66,>10.0,>10.0,0.018860,3.961,100.000,,96.945,2.10434
3971,Journal of Experimental Criminology,J EXP CRIMINOL,1573-3750,705,2.170,1.925,2.899,0.286,28,6.0,>10.0,0.001800,1.050,82.140,,80.172,0.20635
3971,Journal of Neurosurgery-Pediatrics,J NEUROSURG-PEDIATR,1933-0707,"3,153",2.170,1.733,2.100,0.386,202,4.6,9.4,0.008880,0.615,98.510,,57.125,1.02068
3973,EARLY HUMAN DEVELOPMENT,EARLY HUM DEV,0378-3782,"5,525",2.169,1.997,2.483,0.208,149,7.6,7.9,0.010060,0.834,97.320,,60.865,1.15547
3974,Economics & Human Biology,ECON HUM BIOL,1570-677X,"1,252",2.168,1.655,2.333,0.328,64,6.3,8.4,0.003360,0.962,100.000,,74.135,0.38580
3974,Economics & Human Biology,ECON HUM BIOL,1570-677X,"1,252",2.168,1.655,2.333,0.328,64,6.3,8.4,0.003360,0.962,100.000,,74.135,0.38580
3974,JOURNAL OF AGING AND HEALTH,J AGING HEALTH,0898-2643,"2,192",2.168,2.080,2.501,0.274,73,7.2,9.4,0.004870,0.959,100.000,,66.772,0.55925
3977,SUSTAINABLE DEVELOPMENT,SUSTAIN DEV,0968-0802,"1,335",2.167,1.788,2.742,0.543,35,7.3,8.3,0.001350,0.577,97.140,,77.045,0.15536
3977,THEORY AND SOCIETY,THEOR SOC,0304-2421,"2,088",2.167,2.125,2.308,0.263,19,>10.0,>10.0,0.002520,1.457,100.000,,87.762,0.28870
3979,Hepatology International,HEPATOL INT,1936-0533,"1,561",2.164,2.062,2.188,1.132,91,4.8,6.3,0.003210,0.600,63.740,,28.481,0.36716
3979,JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,"2,484",2.164,1.876,2.215,0.269,275,4.4,6.9,0.005080,0.532,100.000,,66.781,0.58364
3981,BLOOD PRESSURE,BLOOD PRESSURE,0803-7051,"1,119",2.163,2.077,1.787,0.902,51,6.5,8.9,0.001960,0.510,94.120,,34.127,0.22488
3981,CLINICAL EEG AND NEUROSCIENCE,CLIN EEG NEUROSCI,1550-0594,869,2.163,2.109,2.548,0.538,39,5.1,>10.0,0.001890,0.659,97.440,,43.175,0.21651
3981,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,J ASSIST REPROD GEN,1058-0468,"3,643",2.163,1.955,2.154,0.674,184,4.8,7.4,0.008770,0.627,85.870,,43.051,1.00774
3981,Journal of Surgical Education,J SURG EDUC,1931-7204,"1,894",2.163,1.910,2.183,0.243,152,3.9,7.8,0.006870,0.762,97.370,,68.237,0.78941
3981,MARKETING SCIENCE,MARKET SCI,0732-2399,"5,581",2.163,1.878,3.588,0.423,52,>10.0,>10.0,0.009350,2.390,100.000,,54.132,1.07344
3986,BioSocieties,BIOSOCIETIES,1745-8552,459,2.162,1.865,2.202,0.304,23,6.2,7.9,0.001400,0.986,100.000,,81.250,0.16111
3986,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,0029-5981,"15,106",2.162,1.920,2.575,0.408,201,>10.0,>10.0,0.018220,1.134,100.000,,75.426,2.09203
3988,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,AM J DRUG ALCOHOL AB,0095-2990,"2,291",2.161,2.036,2.181,0.413,75,7.9,8.8,0.003840,0.741,94.670,,51.127,0.43945
3988,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,AM J DRUG ALCOHOL AB,0095-2990,"2,291",2.161,2.036,2.181,0.413,75,7.9,8.8,0.003840,0.741,94.670,,51.127,0.43945
3988,Annual Review of Economics,ANNU REV ECON,1941-1383,803,2.161,2.097,3.853,0.136,22,5.3,7.9,0.010060,5.423,100.000,,83.718,1.15527
3988,FINITE ELEMENTS IN ANALYSIS AND DESIGN,FINITE ELEM ANAL DES,0168-874X,"3,641",2.161,2.073,2.451,0.452,84,8.6,>10.0,0.006780,0.843,95.240,,81.327,0.77777
3992,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,J EXP SOC PSYCHOL,0022-1031,"9,481",2.159,2.061,2.974,1.915,71,9.0,9.6,0.018410,1.574,100.000,,75.000,2.11202
3992,JOURNAL OF MEDICAL MICROBIOLOGY,J MED MICROBIOL,0022-2615,"8,715",2.159,2.074,2.362,0.276,181,8.5,7.1,0.011990,0.698,97.240,,42.000,1.37739
3994,ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,"5,371",2.158,1.882,3.628,0.205,39,>10.0,>10.0,0.002550,1.031,100.000,,88.021,0.29278
3994,MANUAL THERAPY,MANUAL THER,1356-689X,"3,295",2.158,1.769,2.520,0.473,148,6.8,8.7,0.004490,0.599,89.860,,77.692,0.51530
3996,BUSINESS HORIZONS,BUS HORIZONS,0007-6813,"3,229",2.157,2.030,3.329,0.388,67,7.0,6.4,0.002620,0.599,100.000,,53.306,0.30039
3996,Brain and Behavior,BRAIN BEHAV,2162-3279,919,2.157,2.147,2.506,0.316,152,3.0,8.2,0.004080,0.825,94.080,,29.177,0.46897
3996,Human Vaccines & Immunotherapeutics,HUM VACC IMMUNOTHER,2164-5515,"3,190",2.157,1.893,2.263,0.526,388,2.7,5.9,0.013540,0.714,74.230,,38.548,1.55504
3996,JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,0306-4565,"2,614",2.157,1.815,1.885,0.309,139,9.5,>10.0,0.003430,0.497,96.400,,75.669,0.39433
4000,Acupuncture in Medicine,ACUPUNCT MED,0964-5284,957,2.156,1.180,1.763,0.377,61,4.9,6.8,0.001220,0.283,95.080,,75.000,0.14010
4000,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,J EXP PSYCHOL-APPL,1076-898X,"1,878",2.156,2.047,3.224,0.184,38,>10.0,>10.0,0.002730,1.217,100.000,,66.875,0.31312
4000,JOURNAL OF INTENSIVE CARE MEDICINE,J INTENSIVE CARE MED,0885-0666,"1,150",2.156,2.119,Not Available,0.582,79,6.3,9.0,0.002360,Not Available,36.710,,37.879,0.26964
4000,KOREAN JOURNAL OF RADIOLOGY,KOREAN J RADIOL,1229-6929,"1,941",2.156,1.644,2.190,0.407,86,5.2,7.4,0.003720,0.518,80.230,,59.449,0.42769
4000,MICROSURGERY,MICROSURG,0738-1085,"2,916",2.156,1.693,2.175,0.406,96,7.6,9.7,0.004350,0.588,95.830,,59.137,0.49989
4005,INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,INT J REFRACT MET H,0263-4368,"4,252",2.155,1.697,2.334,0.657,207,5.3,>10.0,0.006670,0.492,98.550,,72.451,0.76471
4006,European Review of Aging and Physical Activity,EUR REV AGING PHYS A,1813-7253,183,2.154,2.038,1.625,0.333,9,5.1,6.8,0.000440,0.429,77.780,,41.837,0.05099
4007,JOURNAL OF NEPHROLOGY,J NEPHROL,1121-8428,"2,395",2.153,1.835,1.569,0.701,97,6.5,6.7,0.004080,0.432,67.010,,55.195,0.46795
4007,POLICY STUDIES JOURNAL,POLICY STUD J,0190-292X,"1,492",2.153,1.814,3.412,1.036,28,7.5,7.9,0.003240,1.327,100.000,,80.954,0.37181
4009,MICROBES AND INFECTION,MICROBES INFECT,1286-4579,"6,520",2.152,2.067,2.467,1.27,89,>10.0,7.1,0.007140,0.788,82.020,,33.145,0.82007
4009,NUMERISCHE MATHEMATIK,NUMER MATH,0029-599X,"6,154",2.152,2.093,2.080,0.393,84,>10.0,>10.0,0.008910,1.605,100.000,,91.961,1.02587
4011,ENGINEERING FRACTURE MECHANICS,ENG FRACT MECH,0013-7944,"11,745",2.151,1.905,2.423,0.528,286,9.9,>10.0,0.013770,0.717,99.300,,69.549,1.58007
4011,FORBES,FORBES,0015-6914,"1,901",2.151,2.151,1.283,0.586,111,3.3,Not Available,0.009820,0.560,100.000,,86.979,1.13071
4011,MICROBIOLOGY-SGM,MICROBIOL-SGM,1350-0872,"17,996",2.151,2.072,2.599,0.337,193,>10.0,9.8,0.016130,0.859,95.850,,40.400,1.85192
4011,SYNLETT,SYNLETT,0936-5214,"14,956",2.151,2.024,2.010,0.891,475,7.9,7.7,0.019290,0.511,100.000,,53.390,2.21298
4015,CORNELL LAW REVIEW,CORNELL LAW REV,0010-8847,"1,472",2.150,2.083,2.639,0.567,30,>10.0,>10.0,0.002580,1.082,100.000,,86.913,0.30219
4015,JOURNAL OF THE AMERICAN DENTAL ASSOCIATION,J AM DENT ASSOC,0002-8177,"6,024",2.150,1.925,2.301,0.885,87,>10.0,8.4,0.005180,0.753,86.210,,75.000,0.59476
4015,WORLD BANK RESEARCH OBSERVER,WORLD BANK RES OBSER,0257-3032,938,2.150,2.100,3.118,0.3,10,>10.0,7.7,0.001270,1.733,90.000,,80.351,0.14598
4018,Moravian Geographical Reports,MORAV GEOGR REP,1210-8812,242,2.149,2.000,1.759,0.706,17,3.2,>10.0,0.000490,0.314,100.000,,71.519,0.05595
4018,VEHICLE SYSTEM DYNAMICS,VEHICLE SYST DYN,0042-3114,"3,781",2.149,1.798,2.233,0.422,83,9.1,9.4,0.003730,0.505,100.000,,72.692,0.42829
4020,CELL COMMUNICATION AND ADHESION,CELL COMMUN ADHES,1541-9061,449,2.147,2.147,2.160,Not Available,0,8.8,Not Available,0.000810,0.754,Not Available,,29.147,0.09344
4020,Canadian Journal of Gastroenterology and Hepatology,CAN J GASTROENTEROL,2291-2797,"2,116",2.147,1.940,2.440,0.228,92,7.7,6.9,0.003800,0.786,79.350,,27.215,0.43307
4020,Human Resource Management Journal,HUM RESOUR MANAG J,0954-5395,669,2.147,1.882,3.055,0.156,32,5.2,10.0,0.001390,0.666,93.750,,71.692,0.15937
4020,PEDIATRIC DRUGS,PEDIATR DRUGS,1174-5878,"1,038",2.147,2.126,2.232,0.429,42,6.6,7.1,0.002230,0.751,64.290,,53.401,0.25650
4020,SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,"7,831",2.147,1.477,2.346,0.476,351,6.7,8.0,0.010780,0.530,97.150,,68.179,1.23681
4020,SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,"7,831",2.147,1.477,2.346,0.476,351,6.7,8.0,0.010780,0.530,97.150,,68.179,1.23681
4020,TOXICOLOGIC PATHOLOGY,TOXICOL PATHOL,0192-6233,"5,236",2.147,1.812,2.438,0.386,101,9.5,9.1,0.004480,0.613,89.110,,50.354,0.51520
4027,BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,B SEISMOL SOC AM,0037-1106,"16,646",2.146,1.582,2.469,0.417,223,>10.0,>10.0,0.017650,1.064,100.000,,56.548,2.02477
4027,Drug Metabolism and Pharmacokinetics,DRUG METAB PHARMACOK,1347-4367,"1,706",2.146,2.036,2.305,0.435,62,6.1,8.4,0.002820,0.554,91.940,,39.883,0.32366
4027,JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,J APPL DEV PSYCHOL,0193-3973,"2,597",2.146,2.101,2.458,0.341,44,9.7,>10.0,0.002390,0.874,97.730,,57.857,0.27424
4027,POLAR RESEARCH,POLAR RES,0800-0395,"1,501",2.146,2.098,2.404,0.07,43,>10.0,>10.0,0.002470,0.868,97.670,,61.061,0.28378
4027,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,P ROY SOC A-MATH PHY,1364-5021,"16,771",2.146,2.015,2.350,0.452,299,>10.0,>10.0,0.016850,1.037,95.650,,67.969,1.91989
4032,DEVELOPMENT GROWTH & DIFFERENTIATION,DEV GROWTH DIFFER,0012-1592,"2,045",2.145,2.089,2.117,0.609,64,8.1,9.8,0.003610,0.719,65.630,,32.885,0.41351
4032,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,EUR J LIPID SCI TECH,1438-7697,"4,606",2.145,1.930,2.337,0.353,190,6.5,10.0,0.006950,0.551,90.530,,56.256,0.79819
4032,POLYMER JOURNAL,POLYM J,0032-3896,"4,261",2.145,1.925,1.787,0.741,147,9.5,9.2,0.004370,0.424,78.230,,65.698,0.50177
4035,CONSCIOUSNESS AND COGNITION,CONSCIOUS COGN,1053-8100,"4,692",2.144,1.899,2.383,0.331,151,6.5,9.9,0.009990,0.777,86.090,,58.929,1.14672
