Accession,suppdata_id,Type,SRP,pi0,fp,rs,ud,Type_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter,Type_pi0method_hist,SRP_pi0method_hist,pi0_pi0method_hist,fp_pi0method_hist,rs_pi0method_hist,ud_pi0method_hist,Type_after_filter_pi0method_hist,SRP_after_filter_pi0method_hist,pi0_after_filter_pi0method_hist,fp_after_filter_pi0method_hist,rs_after_filter_pi0method_hist,ud_after_filter_pi0method_hist
GSE53789,GSE53789_WT_FACS_x_GFP_LCM-not_significant.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE113485,GSE113485_RWPE1_EMPTY_ERG_ERGshELF1.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100421,GSE100421_E8.5vsE10.5_Cuffdiff_gene_exp.xlsx,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE86909,GSE86909_control_vs_nfia.isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83214,GSE83214_ENAP1ox_ein2_air_vs_C2H4_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76663,GSE76663_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89572,GSE89572_2h_DEGs.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE99397,GSE99397_CreNeg-MHCPos_vs_CrePos-MHCNeg.CuffDiff.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83664,GSE83664_NS_vs_Input.isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84308,GSE84308_RNA.txt.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84450,GSE84450_WT_UTvsX_DTT_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE68229,GSE68229_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66547,GSE66547_20150828-oocyteMut_vs_oocyteWt-deResults.xlsx-sheet-Genes,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE53789,GSE53789_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61566,GSE61566_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59850,GSE59850_redgrn_late_cuffdiff_out.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE49700,GSE49700_aza.repeats.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101458,GSE101458_Lnc23_WT_KO_normalizedExpression.xlsx,other,NA,NA,NA,NA,NA,anti-conservative,NA,0.9343496251883362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109806,GSE109806_MockFHVvsRaltFHV_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93102,GSE93102_D39_625AA_VS_D39_WT_UT.csv.gz,other,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100421,GSE100421_WTvsOE_Cuffdiff_gene_exp.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102606,GSE102606_tail_siblings_mutants.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101605,GSE101605_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_LRT,uniform,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_WALD,uniform,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_TRI+interactions_WALD,uniform,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-male_vs_female_WALD,uniform,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100175,GSE100175_Supplementary_Table_1.xlsx-sheet-male_female+interactions_WALD,uniform,NA,NA,NA,NA,NA,anti-conservative,0.4819082363940722,0.8004090169259666,10.15,92.93600338859682,207.32992106343707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE104336,GSE104336_nm-vs-hf_rna-seq_raw_data_Fall_2016.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83214,GSE83214_ENAP1ox_ein3eil1_air_vs_C2H4_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE79577,GSE79577_DESeq2_FTO_KO.csv.gz,spiky,NA,NA,NA,NA,NA,anti-conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76663,GSE76663_promoters.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE89572,GSE89572_7d_DEGs.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE99397,GSE99397_CrePos-MHCNeg_vs_Control.CuffDiff.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE84450,GSE84450_WT_UTvsX_UT_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE68229,GSE68229_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE69556,GSE69556_cds_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz-set-0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz-set-1,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz-set-2,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE49700,GSE49700_aza.txt.gz,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE36866,GSE36866_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE113400,GSE113400_all_FPKM_expression.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE105789,GSE105789_F4-80negvsCD301bMphage_isoform.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE99232,GSE99232_E10.5RET_WT_NULL.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE101801,GSE101801_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94818,GSE94818_Afu_RNAseq_processed_data.xls.gz-set-0,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE104336,GSE104336_nm-vs-hs_rna-seq_raw_data_Fall_2016.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83214,GSE83214_ein2_air_vs_C2H4_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76663,GSE76663_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE87862,GSE87862_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94783,GSE94783_rnaseq_process_cuffdiff_global_DMSO_Flut_PPC_genes_diff.tsv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83717,GSE83717_FPKMs_pvalue_matrices.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76304,GSE76304_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64687,GSE64687_FPKM_and_differential_expression_for_mRNA.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59850,GSE59850_redrho_late_cuffdiff_out.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE29992,GSE29992_Het1_KO2_expr.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE105788,GSE105788_WBvsNW_AP_isoform.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE109806,GSE109806_MockVsRalt_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE92641,GSE92641_Uhrf1_gene_exp.xlsx,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83214,GSE83214_ein3eil1_air_vs_C2H4_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94907,GSE94907_HC-ATB.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76663,GSE76663_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94783,GSE94783_rnaseq_process_cuffdiff_global_DMSO_Flut_genes_diff.tsv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz-set-0,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz-set-1,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz-set-2,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz-set-3,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz-set-4,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz-set-5,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE66445,GSE66445_M._a.-pES1-MATmcr3_methane_vs._M.a.-pES1-MATmcr3_methanol_GEO_Processed_data.xlsx-sheet-Sheet1,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61566,GSE61566_promoters.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE115172,GSE115172_WTAvsRes4.txt.gz,conservative,NA,NA,NA,NA,NA,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE114189,GSE114189_msc_lps_0_6_24_hrs_gene_exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94722,GSE94722_Mixed_vs_Media_genes.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE108161,GSE108161_deseq2_results.txt.gz,spiky,NA,NA,NA,NA,NA,anti-conservative,0.8334722140410143,0.7247689528785972,27.25,431.5302388197352,103.44647335300613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE103167,GSE103167_rat_gene_exp_diff_ensemble_anno.xlsx-sheet-Sheet1,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94907,GSE94907_HC-LTBI.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94783,GSE94783_rnaseq_process_cuffdiff_global_DMSO_PPC_genes_diff.tsv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85554,GSE85554_deg_and_counts_table_new_read_counts.txt.gz,spiky,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE68470,GSE68470_xue_etal_edgeR.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE64840,GSE64840_2N_Ts65Dn_MEFs.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-0,conservative,NA,NA,NA,NA,NA,anti-conservative,NA,0.9431761977097585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-1,conservative,NA,NA,NA,NA,NA,anti-conservative,NA,0.9949954651660736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-2,conservative,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz-set-3,conservative,NA,NA,NA,NA,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61566,GSE61566_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59850,GSE59850_redvio_late_cuffdiff_out.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE43431,GSE43431_mRNA_STHdh_CUFF_gene_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE99247,GSE99247_GEO_gene_exp_JNA_NF.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94722,GSE94722_PA_vs_Media_genes.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94907,GSE94907_LTBI-ATB.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE76257,GSE76257_O-VG_OGS2.csv.gz,bimodal,NA,NA,NA,NA,NA,anti-conservative,0.873157726815211,0.20746841619763504,28.700000000000003,476.1329084323345,79.21488803626369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE77693,GSE77693_deseq.comparison.csv.gz,spiky,NA,NA,NA,NA,NA,anti-conservative,NA,0.9953795626853615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70806,GSE70806_rf6a_matrix.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70668,GSE70668_DD_gene_exp.diff.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70584,GSE70584_Liberman2015_Wholeroot_CUFFLINKS_gene_exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE65697,GSE65697_RNA-seq.csv.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE61566,GSE61566_tss_group_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE105068,GSE105068_deseq_WT_versus_KO_lung_all_genes.txt.gz,uniform,NA,NA,NA,NA,NA,anti-conservative,0.8428526184966654,0.8722900085424741,15.200000000000001,243.41583622183697,53.84590708054208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_ITeffhi_vs_ITefflo.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94722,GSE94722_SA_vs_Media_genes.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE106688,GSE106688_cuffdiff_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE83455,GSE83455_cuffdiff_alltimepoints.xlsx,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE81437,GSE81437_polyA_differential_gene_expression.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94120,GSE94120_K562pos_rel_abundance_1x1.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85442,GSE85442_cuffdiff.gene_exp_diff.allg.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE80128,GSE80128_P035_DESeq_KO-WT_pathway.txt.gz,bimodal,NA,NA,NA,NA,NA,anti-conservative,0.7311212976788515,0.8029740010473819,11.850000000000001,164.6119601723934,82.80163636294208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE58053,GSE58053_1mm-over-0mm.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE59850,GSE59850_rhogrn_early_cuffdiff_out.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE49389,GSE49389_RNAseq_gene_exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE42443,GSE42443_Brg1cKO_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STreghi_vs_ITreghi.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE112248,GSE112248_1_vs_2.diff.exp.txt.annot.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102221,GSE102221_DESeq_silver_uninfected_vs_silver_infected.xlsx,conservative,NA,NA,NA,NA,NA,uniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE97129,GSE97129_CG9879_vs_WT_CuffDiff_Output_BDGP5.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE93339,GSE93339_e125_Yap-mt_lung_all_genes.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85385,GSE85385_RNA-seq_Mouse_Cell_Lines.xlsx-sheet-H3WT_EPZ_x_K27M_EPZ,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE94120,GSE94120_SKNSHpos_rel_abundance_1x1.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE85442,GSE85442_cuffdiff.isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE70584,GSE70584_Liberman2015_sorted_CUFFLINKS_gene_exp.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STreghi_vs_STreglo.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
