Accession,PDAT,suppdata_id,Type,pi0,SRP,fp,rs,ud,QCType,Type_after_filter,QCType_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter,SRP_pi0method_hist,pi0_pi0method_hist,fp_pi0method_hist,rs_pi0method_hist,ud_pi0method_hist,SRP_after_filter_pi0method_hist,pi0_after_filter_pi0method_hist,fp_after_filter_pi0method_hist,rs_after_filter_pi0method_hist,ud_after_filter_pi0method_hist,model,taxon,PubMedIds,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,citations,source,issn,total_cites,IF,impact_factor_without_journal_self_cites,5-year_impact_factor,immediacy_index,citable_items,cited_half-life,citing_half-life,eigenfactor_score,article_influence_score,%_articles_in_citable_items,average_journal_impact_factor_percentile,normalized_eigenfactor
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-1,anti-conservative,0.8211848468228101,0.8713702970513691,146.9,2432.081636100076,412.0158388630025,NA,NA,NA,NA,NA,NA,NA,NA,0.7337062242603032,0.7876340584429682,146.9,2047.847442532932,1013.011111111111,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-10,anti-conservative,0.6811354409067953,0.792523106243534,238.25,3587.5539711879173,1185.0708470365753,NA,NA,NA,NA,NA,NA,NA,NA,0.7212411705348134,0.6496213178510951,238.25,3264.8784687184666,1749.583333333333,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-11,anti-conservative,0.6997112501438334,0.8109948509566739,229.60000000000002,3537.883937813394,1016.6723761735129,NA,NA,NA,NA,NA,NA,NA,NA,0.689034073776259,0.6465593804398025,229.60000000000002,3005.842243441552,1968.7818181818175,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-12,anti-conservative,0.7101972994932213,0.8624824983428966,235.65,3861.6360139555677,713.8857741779275,NA,NA,NA,NA,NA,NA,NA,NA,0.8017561587066075,0.6882471628745285,235.65,3589.742937185029,1107.078571428572,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-2,anti-conservative,0.6042424370455838,0.8563019135655838,319.5,5198.180766299876,1018.7052252024578,NA,NA,NA,NA,NA,NA,NA,NA,0.752968438144853,0.5499307257806672,319.5,4570.894903758331,1991.590909090909,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-3,anti-conservative,0.7446984067580363,0.7956105407059405,191.5,2894.8289523585645,934.7174397432955,NA,NA,NA,NA,NA,NA,NA,NA,0.6609445958219801,0.6926812929157595,191.5,2404.8469118982744,1866.5,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-4,anti-conservative,0.7708287645829304,0.859019734243423,185.60000000000002,3029.2471908360067,578.744340025969,NA,NA,NA,NA,NA,NA,NA,NA,0.7546329980740425,0.7391280075922515,185.60000000000002,2661.137804408303,1146.5999999999995,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-5,anti-conservative,0.622088314505846,0.8425693210767183,300.2,4805.8468935573865,1065.7320222567805,NA,NA,NA,NA,NA,NA,NA,NA,0.7261670344593449,0.5615102625653623,300.2,4141.911531149211,2150.866666666665,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-6,anti-conservative,0.67970995035384,0.8176414847816513,246.9,3835.637969259204,1046.255659311665,NA,NA,NA,NA,NA,NA,NA,NA,0.6430568882796435,0.5927538659074415,246.9,3016.644168608635,2603.9000000000005,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-7,anti-conservative,0.6661341103992543,0.8144164674548979,256.35,3966.7375672091985,1109.8896804181577,NA,NA,NA,NA,NA,NA,NA,NA,0.69759189094176,0.6102221342549595,256.35,3397.725943615483,2111.4409090909103,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-8,anti-conservative,0.6950051920358444,0.8468213411390754,243.5,3917.818934779932,836.8719950619188,NA,NA,NA,NA,NA,NA,NA,NA,0.7658077687044803,0.6627402817320754,243.5,3543.0096419112783,1414.833333333333,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE121911,2018-10-30,GSE121911_SFTS_Ferret_DEG.xlsx-sheet-Sheet1-set-9,anti-conservative,0.6977138217941627,0.792126867785366,225.75,3397.6301676483813,1125.6023102011623,NA,NA,NA,NA,NA,NA,NA,NA,0.7272380467955238,0.6707419192765031,225.75,3119.305792217701,1608.750000000001,NA,NA,NA,NA,NA,Other taxa,Mustela putorius furo,30617349;30531978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122095,2018-11-03,GSE122095_N-VS-W.DEGseq_Method.GeneDiffExp.txt.gz,anti-conservative,0.31726385259572987,0.8786239196465394,3476.3,58032.84630547803,9124.328982241976,NA,NA,NA,NA,NA,NA,NA,NA,0.8257967318055085,0.2735884185383309,3476.3,54543.62639673429,13933.300000000017,NA,NA,NA,NA,NA,Other taxa,Iris tectorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122139,2018-12-17,GSE122139_DEseq_SW001_SW002_DEG_list.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,30559436,2018 Dec 17,2018 Dec 17,Nat Commun,Menolfi DJiang WLee BJMoiseeva TShao ZEstes VFrattini MGBakkenist CJZha S,Zha S,Kinase-dead ATR differs from ATR loss by limiting the dynamic exchange of ATR and RPA.,9,1,5351,English,101528555,NA,2041-1723,Journal Article,PubMed - indexed for MEDLINE,epublish,3055943610.1038/s41467-018-07798-310.1038/s41467-018-07798-3PMC62972353055943630559436pmc-id: PMC6297235;,10.1038/s41467-018-07798-3,2018/05/14 00:002018/11/27 00:002018/12/19 06:002018/12/19 06:002019/01/23 06:00,NA,1,2,nature communications,doi: 10.1038/s41467-018-07798-3,2018 Dec 17;9(1):5351,3,nat commun,2041-1723,123958,12.124,11.814,13.092,1.993,3534,2.5,6.9,0.72169,5.735,99.770,96.094,82.76768
GSE122210,2018-11-07,GSE122210_DMSO_vs_CKBA.diff.exp.annot.xls.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122483,2018-11-14,GSE122483_ren_gene.description.txt.gz,anti-conservative,0.48513517928625466,0.8361118117250613,42.550000000000004,675.9545941891258,158.46613330041396,NA,NA,NA,NA,NA,NA,NA,NA,0.7546204107031734,0.4295349662761803,42.550000000000004,610.0728710329805,262.88333333333355,NA,NA,NA,NA,NA,Other taxa,Lactobacillus salivarius str. Ren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122665,2018-11-20,GSE122665_PP6fl_flmKC_vs_cKOmKC.diff.exp.annot.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122679,2018-11-20,GSE122679_cufflinks_HNPC_v_GBM_comparison.xlsx,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122932,2018-11-27,GSE122932_DifferentialExpression.xlsx-sheet-gRNA3_Cas9.vs.gRNA3,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Danio rerio,30609410,2019 Jan 3,NA,Am J Hum Genet,Khan TNKhan KSadeghpour AReynolds HPerilla YMcDonald MTGallentine WBBaig SMTask Force for Neonatal Genomics.Davis EEKatsanis N,Katsanis N,Mutations in NCAPG2 Cause a Severe Neurodevelopmental Syndrome that Expands the Phenotypic Spectrum of Condensinopathies.,104,1,94-111,English,0370475,0002-9297,1537-6605,Journal Article,PubMed - in process,ppublish,30609410S0002-9297(18)30425-710.1016/j.ajhg.2018.11.017PMC63235783060941030609410pmc-id: PMC6323578;,10.1016/j.ajhg.2018.11.017,2018/01/31 00:002018/11/26 00:002019/01/05 06:002019/01/05 06:002019/01/05 06:00,NA,1,3,american journal of human genetics,doi: 10.1016/j.ajhg.2018.11.017,2019 Jan 3;104(1):94-111,3,am j hum genet,0002-9297,33926,9.025,8.495,10.362,1.632,223,9.7,5.9,0.07314,5.552,100.000,95.509,8.39967
GSE122932,2018-11-27,GSE122932_DifferentialExpression.xlsx-sheet-ncapg2_gRNA3_Cas9.vs.phenol_red,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Danio rerio,30609410,2019 Jan 3,NA,Am J Hum Genet,Khan TNKhan KSadeghpour AReynolds HPerilla YMcDonald MTGallentine WBBaig SMTask Force for Neonatal Genomics.Davis EEKatsanis N,Katsanis N,Mutations in NCAPG2 Cause a Severe Neurodevelopmental Syndrome that Expands the Phenotypic Spectrum of Condensinopathies.,104,1,94-111,English,0370475,0002-9297,1537-6605,Journal Article,PubMed - in process,ppublish,30609410S0002-9297(18)30425-710.1016/j.ajhg.2018.11.017PMC63235783060941030609410pmc-id: PMC6323578;,10.1016/j.ajhg.2018.11.017,2018/01/31 00:002018/11/26 00:002019/01/05 06:002019/01/05 06:002019/01/05 06:00,NA,1,3,american journal of human genetics,doi: 10.1016/j.ajhg.2018.11.017,2019 Jan 3;104(1):94-111,3,am j hum genet,0002-9297,33926,9.025,8.495,10.362,1.632,223,9.7,5.9,0.07314,5.552,100.000,95.509,8.39967
GSE122932,2018-11-27,GSE122932_DifferentialExpression.xlsx-sheet-ncapg2_gRNA3.vs.phenol_red,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Danio rerio,30609410,2019 Jan 3,NA,Am J Hum Genet,Khan TNKhan KSadeghpour AReynolds HPerilla YMcDonald MTGallentine WBBaig SMTask Force for Neonatal Genomics.Davis EEKatsanis N,Katsanis N,Mutations in NCAPG2 Cause a Severe Neurodevelopmental Syndrome that Expands the Phenotypic Spectrum of Condensinopathies.,104,1,94-111,English,0370475,0002-9297,1537-6605,Journal Article,PubMed - in process,ppublish,30609410S0002-9297(18)30425-710.1016/j.ajhg.2018.11.017PMC63235783060941030609410pmc-id: PMC6323578;,10.1016/j.ajhg.2018.11.017,2018/01/31 00:002018/11/26 00:002019/01/05 06:002019/01/05 06:002019/01/05 06:00,NA,1,3,american journal of human genetics,doi: 10.1016/j.ajhg.2018.11.017,2019 Jan 3;104(1):94-111,3,am j hum genet,0002-9297,33926,9.025,8.495,10.362,1.632,223,9.7,5.9,0.07314,5.552,100.000,95.509,8.39967
GSE122950,2018-11-27,GSE122950_isoform_exp_diff.xls.gz-sheet-Control_vs_Treated,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Rattus norvegicus,30538175,2018 Dec 11,2018 Dec 11,Sci Signal,Tammineni ERCarrillo EDSoto-Acosta RAngel-Ambrocio AHGarcía MCBautista-Carbajal PDel Angel RMSánchez JA,Sánchez JA,The β<sub>4</sub> subunit of Ca<sub>v</sub>1.2 channels is required for an optimal interferon response in cardiac muscle cells.,11,560,NA,English,101465400,1945-0877,1937-9145,Journal Article,PubMed - in process,epublish,3053817511/560/eaaj167610.1126/scisignal.aaj16763053817530538175,10.1126/scisignal.aaj1676,2018/12/13 06:002018/12/13 06:002018/12/13 06:00,NA,1,0,science signaling,pii: eaaj1676. doi: 10.1126/scisignal.aaj1676,2018 Dec 11;11(560),0,sci signal,1945-0877,9495,6.83,6.605,7.109,1.424,172,4.5,7.7,0.03996,3.227,96.510,86.361,4.58524
GSE122990,2018-11-28,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,spiky,NA,NA,NA,NA,NA,NA,NA,NA,0.8488821196347848,0.47136778079446023,41.45,668.5371133183747,140.19954470572225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE122992,2018-11-28,GSE122992_DEseq_AR6-AR7-AR13-AR19_AR8-AR9-AR17-AR24_DEG_list.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9131455677647643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE123017,2018-11-28,GSE123017_IMCD3_gene_exp_diff.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus; Homo sapiens,31023719,2019 Jun,2019 Apr 25,EMBO Rep,Odabasi EGul SKavakli IHFirat-Karalar EN,Firat-Karalar EN,Centriolar satellites are required for efficient ciliogenesis and ciliary content regulation.,20,6,NA,English,100963049,1469-221X,1469-3178,Journal Article,PubMed - in process,ppublish+epublish,31023719embr.20194772310.15252/embr.201947723PMC65490293102371931023719pmc-id: PMC6549029;,10.15252/embr.201947723,2019/01/14 00:002019/03/21 00:002019/04/01 00:002019/04/27 06:002019/04/27 06:002019/04/27 06:00,NA,1,1,embo reports,pii: e47723. doi: 10.15252/embr.201947723,2019 Jun;20(6),1,embo rep,1469-221X,11985,8.568,8.459,7.977,1.67,115,7.7,6.6,0.03275,3.954,93.040,90.372,3.75785
GSE123017,2018-11-28,GSE123017_RPE1_gene_exp_diff.csv.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus; Homo sapiens,31023719,2019 Jun,2019 Apr 25,EMBO Rep,Odabasi EGul SKavakli IHFirat-Karalar EN,Firat-Karalar EN,Centriolar satellites are required for efficient ciliogenesis and ciliary content regulation.,20,6,NA,English,100963049,1469-221X,1469-3178,Journal Article,PubMed - in process,ppublish+epublish,31023719embr.20194772310.15252/embr.201947723PMC65490293102371931023719pmc-id: PMC6549029;,10.15252/embr.201947723,2019/01/14 00:002019/03/21 00:002019/04/01 00:002019/04/27 06:002019/04/27 06:002019/04/27 06:00,NA,1,1,embo reports,pii: e47723. doi: 10.15252/embr.201947723,2019 Jun;20(6),1,embo rep,1469-221X,11985,8.568,8.459,7.977,1.67,115,7.7,6.6,0.03275,3.954,93.040,90.372,3.75785
GSE123186,2018-12-30,GSE123186_Lanno_et_al_2018_Cuffdiff.txt.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Drosophila sechellia,30847082,2019 Feb,2019 Jan 15,Ecol Evol,Lanno SMShimshak SJPeyser RDLinde SCCoolon JD,Coolon JD,Investigating the role of <i>Osiris</i> genes in <i>Drosophila sechellia</i> larval resistance to a host plant toxin.,9,4,1922-1933,English,101566408,NA,2045-7758,Journal Article,PubMed,NA,3084708210.1002/ece3.4885ECE34885PMC63923683084708230847082pmc-id: PMC6392368;,10.1002/ece3.4885,2018/11/06 00:002018/12/04 00:002018/12/13 00:002019/03/09 06:002019/03/09 06:002019/03/09 06:01,NA,1,0,ecology and evolution,doi: 10.1002/ece3.4885,2019 Feb;9(4):1922-1933,2,ecol evol,2045-7758,4671,2.44,2.322,2.716,0.344,720,2.9,9.8,0.02223,0.954,98.610,53.932,2.55288
GSE123277,2018-12-04,GSE123277_Control_vs_Deferasirox_Treated.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Candida albicans,30718249,2019 Apr,2019 Mar 27,Antimicrob Agents Chemother,Puri SKumar RRojas IGSalvatori OEdgerton M,Edgerton M,Iron Chelator Deferasirox Reduces <i>Candida albicans</i> Invasion of Oral Epithelial Cells and Infection Levels in Murine Oropharyngeal Candidiasis.,63,4,NA,English,0315061,0066-4804,1098-6596,Journal Article,PubMed - in process,epublish+ppublish,30718249AAC.02152-1810.1128/AAC.02152-18PMC64374923071824930718249pmc-id: PMC6437492;embargo-date: 2019/09/27;,10.1128/AAC.02152-18,2018/10/10 00:002019/01/25 00:002019/09/27 00:002019/02/06 06:002019/02/06 06:002019/02/06 06:00,NA,1,0,antimicrobial agents and chemotherapy,pii: e02152-18. doi: 10.1128/AAC.02152-18,2019 Apr;63(4),1,antimicrob agents ch,0066-4804,58488,4.302,3.772,4.516,0.836,975,8.0,6.4,0.09194,1.341,98.870,83.693,10.56181
GSE123400,2018-12-07,GSE123400_Vg6_differentially_expression.csv.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,31216482,2019 Jun 18,NA,Cell Rep,Tan LSandrock IOdak IAizenbud YWilharm ABarros-Martins JTabib YBorchers AAmado TGangoda LHerold MJSchmidt-Supprian MKisielow JSilva-Santos BKoenecke CHovav AHKrebs CPrinz IRavens S,Ravens S,Single-Cell Transcriptomics Identifies the Adaptation of Scart1<sup>+</sup> Vγ6<sup>+</sup> T Cells to Skin Residency as Activated Effector Cells.,27,12,3657-3671.e4,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,31216482S2211-1247(19)30693-X10.1016/j.celrep.2019.05.0643121648231216482,10.1016/j.celrep.2019.05.064,2018/12/14 00:002019/03/22 00:002019/05/17 00:002019/06/20 06:002019/06/20 06:002019/06/20 06:00,NA,1,0,cell reports,doi: 10.1016/j.celrep.2019.05.064,2019 Jun 18;27(12):3657-3671.e4,0,cell rep,2211-1247,20705,8.282,8.046,8.728,1.429,1062,2.5,6.5,0.15837,5.023,100.000,86.579,18.17468
GSE123403,2018-12-07,GSE123403_CDK0005_PAO1_results_all.csv.gz,anti-conservative,0.8945648122571438,NA,NA,NA,NA,NA,NA,NA,0.7785007886285871,0.6330816067552122,22.1,326.8924811451437,119.4700380698381,NA,0.8836206896551725,NA,NA,NA,0.6618388791593696,0.5684051398337113,22.1,277.90614535901926,214.54444444444437,Other taxa,Pseudomonas aeruginosa,30420483,2019 Feb,2019 Jan 29,Antimicrob Agents Chemother,Ranjitkar SJones AKMostafavi MZwirko ZIartchouk OBarnes SWWalker JRWillis TWLee PSDean CR,Dean CR,Target (MexB)- and Efflux-Based Mechanisms Decreasing the Effectiveness of the Efflux Pump Inhibitor D13-9001 in <i>Pseudomonas aeruginosa</i> PAO1: Uncovering a New Role for MexMN-OprM in Efflux of β-Lactams and a Novel Regulatory Circuit (MmnRS) Controlling MexMN Expression.,63,2,NA,English,0315061,0066-4804,1098-6596,Journal Article,PubMed - in process,epublish+ppublish,30420483AAC.01718-1810.1128/AAC.01718-18PMC63556103042048330420483pmc-id: PMC6355610;,10.1128/AAC.01718-18,2018/08/14 00:002018/10/29 00:002018/11/14 06:002018/11/14 06:002018/11/14 06:00,NA,1,1,antimicrobial agents and chemotherapy,pii: e01718-18. doi: 10.1128/AAC.01718-18,2019 Feb;63(2),1,antimicrob agents ch,0066-4804,58488,4.302,3.772,4.516,0.836,975,8.0,6.4,0.09194,1.341,98.870,83.693,10.56181
GSE123459,2018-12-07,GSE123459_WTCvsWTV.xlsx,anti-conservative,0.601419709150939,0.8225108848662315,316,4938.355352736854,1295.5994466097027,NA,NA,NA,0.8531700526796215,0.3555919341815049,48.150000000000006,780.5226226939517,157.44502152197583,0.7233153963537065,0.546758399767027,316,4342.785639707654,2296.666666666668,0.7413695299837924,0.2584134615384615,48.150000000000006,678.2419145056724,319.1500000000003,Other taxa,Arabidopsis thaliana,30575749,2018 Dec 21,2018 Dec 21,Nat Commun,Gibbs DJTedds HMLabandera AMBailey MWhite MDHartman SSprigg CMogg SLOsborne RDambire CBoeckx TPaling ZVoesenek LACJFlashman EHoldsworth MJ,Holdsworth MJ,Oxygen-dependent proteolysis regulates the stability of angiosperm polycomb repressive complex 2 subunit VERNALIZATION 2.,9,1,5438,English,101528555,NA,2041-1723,Journal Article,PubMed - indexed for MEDLINE,epublish,3057574910.1038/s41467-018-07875-710.1038/s41467-018-07875-7PMC63033743057574930575749pmc-id: PMC6303374;,10.1038/s41467-018-07875-7,2018/06/11 00:002018/12/04 00:002018/12/22 06:002018/12/24 06:002019/02/23 06:00,NA,1,1,nature communications,doi: 10.1038/s41467-018-07875-7,2018 Dec 21;9(1):5438,11,nat commun,2041-1723,123958,12.124,11.814,13.092,1.993,3534,2.5,6.9,0.72169,5.735,99.770,96.094,82.76768
GSE123554,2018-12-11,GSE123554_payelg_WT_Fis_gene_exp_Final.xlsx-sheet-Sheet1,anti-conservative,0.6780452753509402,0.8721204204202764,56.6,937.878300119965,157.6865954058992,NA,NA,NA,NA,NA,NA,NA,NA,0.7202575991756826,0.6101626832697329,56.6,774.565022153529,417.67692307692323,NA,NA,NA,NA,NA,Other taxa,Escherichia coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE123554,2018-12-11,GSE123554_payelg_WT_HNS_gene_exp_Final.xlsx-sheet-Sheet1,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other taxa,Escherichia coli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
