Accession,annot,organism,taxid,organism2,taxid2
GSE107894,GPL16791,Homo sapiens,9606,NA,NA
GSE107897,GPL16791,Homo sapiens,9606,NA,NA
GSE107898,GPL16791,Homo sapiens,9606,NA,NA
GSE107903,GPL23013,Oryza sativa,4530,NA,NA
GSE107905,GPL24368,Vitis vinifera,29760,NA,NA
GSE107925,GPL17021,Mus musculus,10090,NA,NA
GSE107926,GPL17021,Mus musculus,10090,NA,NA
GSE107932,GPL16791,Homo sapiens,9606,NA,NA
GSE107935,GPL15670,Ovis aries,9940,NA,NA
GSE107942,GPL17021,Mus musculus,10090,NA,NA
GSE107943,GPL18573,Homo sapiens,9606,NA,NA
GSE107947,GPL19057,Mus musculus,10090,NA,NA
GSE107956,GPL18573,Homo sapiens,9606,NA,NA
GSE107958,GPL17021,Mus musculus,10090,NA,NA
GSE107960,GPL17303,Homo sapiens,9606,NA,NA
GSE107964,GPL19644,Acinetobacter baumannii,470,NA,NA
GSE107965,GPL18573,Homo sapiens,9606,NA,NA
GSE107971,GPL18573,Homo sapiens,9606,NA,NA
GSE107981,GPL20301,Homo sapiens,9606,NA,NA
GSE107981,GPL21103,Mus musculus,10090,NA,NA
GSE107982,GPL17096,Streptomyces coelicolor A3(2),100226,NA,NA
GSE107984,GPL13112,Mus musculus,10090,NA,NA
GSE107987,GPL17021,Mus musculus,10090,NA,NA
GSE107991,GPL20301,Homo sapiens,9606,NA,NA
GSE107992,GPL20301,Homo sapiens,9606,NA,NA
GSE107993,GPL20301,Homo sapiens,9606,NA,NA
GSE107994,GPL20301,Homo sapiens,9606,NA,NA
GSE107997,GPL19756,Saccharomyces cerevisiae,4932,NA,NA
GSE108001,GPL24382,Mycolicibacterium smegmatis MC2 155,246196,NA,NA
GSE108005,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE108012,GPL22790,Homo sapiens,9606,NA,NA
GSE108016,GPL19173,Plasmodium vivax,5855,NA,NA
GSE108017,GPL13112,Mus musculus,10090,NA,NA
GSE108018,GPL24383,Sulfolobus acidocaldarius DSM 639,330779,NA,NA
GSE108020,GPL17021,Mus musculus,10090,NA,NA
GSE108022,GPL11154,Homo sapiens,9606,NA,NA
GSE108022,GPL16791,Homo sapiens,9606,NA,NA
GSE108023,GPL20301,Homo sapiens,9606,NA,NA
GSE108029,GPL20301,Homo sapiens,9606,NA,NA
GSE108031,GPL24384,Streptococcus pneumoniae D39,373153,NA,NA
GSE108040,GPL19057,Mus musculus,10090,NA,NA
GSE108044,GPL17021,Mus musculus,10090,NA,NA
GSE108045,GPL19057,Mus musculus,10090,NA,NA
GSE108050,GPL17303,Homo sapiens,9606,NA,NA
GSE108052,GPL18635,Mus musculus,10090,NA,NA
GSE108059,GPL21073,Cryptococcus neoformans,5207,NA,NA
GSE108059,GPL21656,Saccharomyces cerevisiae,4932,NA,NA
GSE108059,GPL22682,Schizosaccharomyces pombe,4896,NA,NA
GSE108060,GPL21103,Mus musculus,10090,NA,NA
GSE108064,GPL15706,Tetrahymena thermophila,5911,NA,NA
GSE108067,GPL17021,Mus musculus,10090,NA,NA
GSE108069,GPL17021,Mus musculus,10090,NA,NA
GSE108072,GPL11154,Homo sapiens,9606,NA,NA
GSE108073,GPL19036,Candida albicans,5476,NA,NA
GSE108077,GPL17021,Mus musculus,10090,NA,NA
GSE108077,GPL19057,Mus musculus,10090,NA,NA
GSE108080,GPL13112,Mus musculus,10090,NA,NA
GSE108083,GPL13112,Mus musculus,10090,NA,NA
GSE108084,GPL18573,Homo sapiens,9606,NA,NA
GSE108087,GPL21493,Mus musculus,10090,NA,NA
GSE108090,GPL21273,Mus musculus,10090,NA,NA
GSE108094,GPL11154,Homo sapiens,9606,NA,NA
GSE108095,GPL22758,Cellvibrio japonicus,155077,NA,NA
GSE108096,GPL17021,Mus musculus,10090,NA,NA
GSE108099,GPL24392,Actinidia chinensis,3625,NA,NA
GSE108106,GPL17021,Mus musculus,10090,NA,NA
GSE108108,GPL17021,Mus musculus,10090,NA,NA
GSE108111,GPL20301,Homo sapiens,9606,NA,NA
GSE108120,GPL19951,Drosophila melanogaster,7227,NA,NA
GSE108126,GPL11154,Homo sapiens,9606,NA,NA
GSE108131,GPL13112,Mus musculus,10090,NA,NA
GSE108140,GPL16791,Homo sapiens,9606,NA,NA
GSE108140,GPL21311,Homo sapiens,9606,NA,NA
GSE108141,GPL13797,Gallus gallus,9031,NA,NA
GSE108147,GPL23499,Gallus gallus,9031,NA,NA
GSE108152,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE108155,GPL19057,Mus musculus,10090,NA,NA
GSE108157,GPL16791,Homo sapiens,9606,NA,NA
GSE108161,GPL9250,Mus musculus,10090,NA,NA
GSE108162,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE108163,GPL23055,Bos taurus,9913,NA,NA
GSE108174,GPL18573,Homo sapiens,9606,NA,NA
GSE108175,GPL24398,Lynx rufus,61384,NA,NA
GSE108175,GPL24399,Lynx rufus,61384,NA,NA
GSE108177,GPL18573,Homo sapiens,9606,NA,NA
GSE108178,GPL21103,Mus musculus,10090,NA,NA
GSE108181,GPL11002,Mus musculus,10090,NA,NA
GSE108183,GPL17021,Mus musculus,10090,NA,NA
GSE108184,GPL19057,Mus musculus,10090,NA,NA
GSE108188,GPL17021,Mus musculus,10090,NA,NA
GSE108189,GPL22164,Postia placenta,104341,NA,NA
GSE108189,GPL24400,Gloeophyllum trabeum,104355,NA,NA
GSE108189,GPL24401,Trametes versicolor,5325,NA,NA
GSE108189,GPL24402,Pleurotus ostreatus,5322,NA,NA
GSE108199,GPL19005,Gallus gallus,9031,NA,NA
GSE108221,GPL19005,Gallus gallus,9031,NA,NA
GSE108223,GPL18573,Homo sapiens,9606,NA,NA
GSE108231,GPL21103,Mus musculus,10090,NA,NA
GSE108233,GPL21103,Mus musculus,10090,NA,NA
GSE108242,GPL19057,Mus musculus,10090,NA,NA
GSE108243,GPL19057,Mus musculus,10090,NA,NA
GSE108260,GPL22142,Lactuca sativa,4236,NA,NA
GSE108263,GPL22765,Caenorhabditis elegans,6239,NA,NA
GSE108265,GPL18460,Homo sapiens,9606,NA,NA
GSE108265,GPL18573,Homo sapiens,9606,NA,NA
GSE108269,GPL23479,Mus musculus,10090,NA,NA
GSE108270,GPL18573,Homo sapiens,9606,NA,NA
GSE108275,GPL16791,Homo sapiens,9606,NA,NA
GSE108282,GPL19129,Macaca mulatta,9544,NA,NA
GSE108282,GPL22903,Chlorocebus aethiops,9534,NA,NA
GSE108283,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE108287,GPL19057,Mus musculus,10090,NA,NA
GSE108291,GPL16791,Homo sapiens,9606,NA,NA
GSE108291,GPL17021,Mus musculus,10090,NA,NA
GSE108308,GPL18573,Homo sapiens,9606,NA,NA
GSE108322,GPL16791,Homo sapiens,9606,NA,NA
GSE108328,GPL13112,Mus musculus,10090,NA,NA
GSE108334,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE108338,GPL24413,Acropora cervicornis,6130,NA,NA
GSE108341,GPL19057,Mus musculus,10090,NA,NA
GSE108347,GPL18573,Homo sapiens,9606,NA,NA
GSE108349,GPL16791,Homo sapiens,9606,NA,NA
GSE108350,GPL16791,Homo sapiens,9606,NA,NA
GSE108353,GPL21103,Mus musculus,10090,NA,NA
GSE108354,GPL21103,Mus musculus,10090,NA,NA
GSE108356,GPL13112,Mus musculus,10090,NA,NA
GSE108356,GPL17021,Mus musculus,10090,NA,NA
GSE108356,GPL19057,Mus musculus,10090,NA,NA
GSE108366,GPL10999,Homo sapiens,9606,NA,NA
GSE108370,GPL17021,Mus musculus,10090,NA,NA
GSE108371,GPL17021,Mus musculus,10090,NA,NA
GSE108372,GPL17021,Mus musculus,10090,NA,NA
GSE108377,GPL22290,Drosophila ananassae,7217,NA,NA
GSE108380,GPL24416,Microcystis aeruginosa PCC 7806,267872,NA,NA
GSE108382,GPL11154,Homo sapiens,9606,NA,NA
GSE108383,GPL18573,Homo sapiens,9606,NA,NA
GSE108389,GPL22716,Kluyveromyces lactis,28985,NA,NA
GSE108389,GPL24417,Kluyveromyces marxianus,4911,NA,NA
GSE108389,GPL24418,Kluyveromyces wickerhamii,51658,NA,NA
GSE108389,GPL24419,Kluyveromyces lactis x Kluyveromyces wickerhamii,2065977,NA,NA
GSE108389,GPL24420,Kluyveromyces lactis x Kluyveromyces marxianus,2065978,NA,NA
GSE108391,GPL20301,Homo sapiens,9606,NA,NA
GSE108392,GPL18573,Homo sapiens,9606,NA,NA
GSE108401,GPL21785,Arabidopsis thaliana,3702,NA,NA
GSE108402,GPL13112,Mus musculus,10090,NA,NA
GSE108416,GPL21103,Mus musculus,10090,NA,NA
GSE108418,GPL18573,Homo sapiens,9606,NA,NA
GSE108420,GPL22346,Cavia porcellus,10141,NA,NA
GSE108427,GPL19057,Mus musculus,10090,NA,NA
GSE108429,GPL20301,Homo sapiens,9606,NA,NA
GSE108435,GPL14875,Danio rerio,7955,NA,NA
GSE108438,GPL13112,Mus musculus,10090,NA,NA
GSE108438,GPL17021,Mus musculus,10090,NA,NA
GSE108443,GPL18573,Homo sapiens,9606,NA,NA
GSE108444,GPL18573,Homo sapiens,9606,NA,NA
GSE108446,GPL17021,Mus musculus,10090,NA,NA
GSE108447,GPL17021,Mus musculus,10090,NA,NA
GSE108450,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE108450,GPL19580,Arabidopsis thaliana,3702,NA,NA
GSE108451,GPL18635,Mus musculus,10090,NA,NA
GSE108452,GPL21103,Mus musculus,10090,NA,NA
GSE108454,GPL17021,Mus musculus,10090,NA,NA
GSE108465,GPL11154,Homo sapiens,9606,NA,NA
GSE108469,GPL16791,Homo sapiens,9606,NA,NA
GSE108471,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE108472,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE108478,GPL21103,Mus musculus,10090,NA,NA
GSE108480,GPL16417,Mus musculus,10090,NA,NA
GSE108480,GPL17021,Mus musculus,10090,NA,NA
GSE108483,GPL17021,Mus musculus,10090,NA,NA
GSE108484,GPL18694,Rattus norvegicus,10116,NA,NA
GSE108502,GPL11154,Homo sapiens,9606,NA,NA
GSE108503,GPL17021,Mus musculus,10090,NA,NA
GSE108519,GPL18573,Homo sapiens,9606,NA,NA
GSE108521,GPL16791,Homo sapiens,9606,NA,NA
GSE108523,GPL19057,Mus musculus,10090,NA,NA
GSE108525,GPL21306,Drosophila melanogaster,7227,NA,NA
GSE108526,GPL18573,Homo sapiens,9606,NA,NA
GSE108528,GPL17021,Mus musculus,10090,NA,NA
GSE108532,GPL17021,Mus musculus,10090,NA,NA
GSE108537,GPL19057,Mus musculus,10090,NA,NA
GSE108538,GPL13834,Oryza sativa Japonica Group,39947,NA,NA
GSE108539,GPL16791,Homo sapiens,9606,NA,NA
GSE108543,GPL13112,Mus musculus,10090,NA,NA
GSE108544,GPL23157,Arabidopsis thaliana,3702,NA,NA
GSE108545,GPL20795,Homo sapiens,9606,NA,NA
GSE108546,GPL20301,Homo sapiens,9606,NA,NA
GSE108556,GPL17303,Homo sapiens,9606,NA,NA
GSE108556,GPL18460,Homo sapiens,9606,NA,NA
GSE108556,GPL18480,Mus musculus,10090,NA,NA
GSE108557,GPL24443,Capra hircus,9925,NA,NA
GSE108561,GPL19057,Mus musculus,10090,NA,NA
GSE108569,GPL17021,Mus musculus,10090,NA,NA
GSE108570,GPL11429,Sus scrofa,9823,NA,NA
GSE108575,GPL17021,Mus musculus,10090,NA,NA
GSE108578,GPL24447,Bubalus bubalis,89462,NA,NA
GSE108581,GPL17021,Mus musculus,10090,NA,NA
GSE108582,GPL17021,Mus musculus,10090,NA,NA
GSE108589,GPL16791,Homo sapiens,9606,NA,NA
GSE108596,GPL16791,Homo sapiens,9606,NA,NA
GSE108601,GPL11154,Homo sapiens,9606,NA,NA
GSE108603,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE108609,GPL17021,Mus musculus,10090,NA,NA
GSE108611,GPL17021,Mus musculus,10090,NA,NA
GSE108621,GPL21697,Homo sapiens,9606,NA,NA
GSE108624,GPL17021,Mus musculus,10090,NA,NA
GSE108625,GPL17021,Mus musculus,10090,NA,NA
GSE108638,GPL11154,Homo sapiens,9606,NA,NA
GSE108643,GPL16791,Homo sapiens,9606,NA,NA
GSE108652,GPL22662,Mycolicibacterium smegmatis,1772,NA,NA
GSE108662,GPL17021,Mus musculus,10090,NA,NA
GSE108672,GPL13112,Mus musculus,10090,NA,NA
GSE108675,GPL19057,Mus musculus,10090,NA,NA
GSE108676,GPL17303,Homo sapiens,9606,NA,NA
GSE108676,GPL24454,Macaca mulatta,9544,NA,NA
GSE108678,GPL17021,Mus musculus,10090,NA,NA
GSE108694,GPL16791,Homo sapiens,9606,NA,NA
GSE108699,GPL18573,Homo sapiens,9606,NA,NA
GSE108705,GPL20301,Homo sapiens,9606,NA,NA
GSE108713,GPL24461,Lactobacillus paracasei,1597,NA,NA
GSE108717,GPL17021,Mus musculus,10090,NA,NA
GSE108717,GPL21273,Mus musculus,10090,NA,NA
GSE108732,GPL24463,Mesorhizobium ciceri biovar biserrulae WSM1271,765698,NA,NA
GSE108736,GPL17021,Mus musculus,10090,NA,NA
GSE108736,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE108738,GPL20772,Schistosoma japonicum,6182,NA,NA
GSE108739,GPL17021,Mus musculus,10090,NA,NA
GSE108740,GPL23377,Toxoplasma gondii,5811,NA,NA
GSE108749,GPL11154,Homo sapiens,9606,NA,NA
GSE108757,GPL13393,Homo sapiens,9606,NA,NA
GSE108761,GPL19057,Mus musculus,10090,NA,NA
GSE108763,GPL18573,Homo sapiens,9606,NA,NA
GSE108772,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE108775,GPL19057,Mus musculus,10090,NA,NA
GSE108778,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE108794,GPL21493,Mus musculus,10090,NA,NA
GSE108795,GPL21493,Mus musculus,10090,NA,NA
GSE108797,GPL21493,Mus musculus,10090,NA,NA
GSE108798,GPL21493,Mus musculus,10090,NA,NA
GSE108800,GPL21493,Mus musculus,10090,NA,NA
GSE108811,GPL19057,Mus musculus,10090,NA,NA
GSE108823,GPL18694,Rattus norvegicus,10116,NA,NA
GSE108823,GPL20084,Rattus norvegicus,10116,NA,NA
GSE108829,GPL10945,Sus scrofa,9823,NA,NA
GSE108836,GPL13112,Mus musculus,10090,NA,NA
GSE108837,GPL24475,Citrus maxima,37334,NA,NA
GSE108837,GPL24476,Citrus sinensis,2711,NA,NA
GSE108844,GPL19057,Mus musculus,10090,NA,NA
GSE108848,GPL19757,Caenorhabditis elegans,6239,NA,NA
GSE108849,GPL15520,Homo sapiens,9606,NA,NA
GSE108855,GPL14875,Danio rerio,7955,NA,NA
GSE108860,GPL18314,Acinetobacter oleivorans DR1,436717,NA,NA
GSE108864,GPL17021,Mus musculus,10090,NA,NA
GSE108872,GPL17021,Mus musculus,10090,NA,NA
GSE108873,GPL17143,Saccharomyces cerevisiae,4932,NA,NA
GSE108884,GPL17021,Mus musculus,10090,NA,NA
GSE108890,GPL24485,Zymomonas mobilis subsp. mobilis,120045,NA,NA
GSE108896,GPL21103,Mus musculus,10090,NA,NA
GSE108898,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE108900,GPL24486,Sus scrofa,9823,NA,NA
GSE108905,GPL18573,Homo sapiens,9606,NA,NA
GSE108907,GPL18573,Homo sapiens,9606,NA,NA
GSE108919,GPL16791,Homo sapiens,9606,NA,NA
GSE108923,GPL11154,Homo sapiens,9606,NA,NA
GSE108924,GPL18413,Danio rerio,7955,NA,NA
GSE108928,GPL11154,Homo sapiens,9606,NA,NA
GSE108933,GPL20301,Homo sapiens,9606,NA,NA
GSE108935,GPL22758,Cellvibrio japonicus,155077,NA,NA
GSE108959,GPL13112,Mus musculus,10090,NA,NA
GSE108965,GPL18694,Rattus norvegicus,10116,NA,NA
GSE108970,GPL17021,Mus musculus,10090,NA,NA
GSE108973,GPL24488,Bacillus anthracis str. Ames,198094,NA,NA
GSE108974,GPL17021,Mus musculus,10090,NA,NA
GSE108975,GPL17021,Mus musculus,10090,NA,NA
GSE108977,GPL16791,Homo sapiens,9606,NA,NA
GSE108986,GPL11154,Homo sapiens,9606,NA,NA
GSE108986,GPL15520,Homo sapiens,9606,NA,NA
GSE108989,GPL20301,Homo sapiens,9606,NA,NA
GSE108990,GPL17021,Mus musculus,10090,NA,NA
GSE108991,GPL11002,Mus musculus,10090,NA,NA
GSE108993,GPL17021,Mus musculus,10090,NA,NA
GSE108995,GPL18573,Homo sapiens,9606,NA,NA
GSE108995,GPL21400,Canis lupus familiaris,9615,NA,NA
GSE108995,GPL24490,Mesocricetus auratus,10036,NA,NA
GSE108996,GPL17021,Mus musculus,10090,NA,NA
GSE109000,GPL18635,Mus musculus,10090,NA,NA
GSE109001,GPL18573,Homo sapiens,9606,NA,NA
GSE109002,GPL19057,Mus musculus,10090,NA,NA
GSE109006,GPL24492,Astyanax mexicanus,7994,NA,NA
GSE109012,GPL17021,Mus musculus,10090,NA,NA
GSE109012,GPL19057,Mus musculus,10090,NA,NA
GSE109028,GPL16791,Homo sapiens,9606,NA,NA
GSE109032,GPL13112,Mus musculus,10090,NA,NA
GSE109033,GPL19057,Mus musculus,10090,NA,NA
GSE109033,GPL21493,Mus musculus,10090,NA,NA
GSE109037,GPL18573,Homo sapiens,9606,NA,NA
GSE109037,GPL21290,Homo sapiens,9606,NA,NA
GSE109037,GPL24496,Homo sapiens,9606,NA,NA
GSE109049,GPL21493,Mus musculus,10090,NA,NA
GSE109062,GPL16791,Homo sapiens,9606,NA,NA
GSE109064,GPL20301,Homo sapiens,9606,NA,NA
GSE109065,GPL24498,Vitis riparia,96939,NA,NA
GSE109082,GPL18573,Homo sapiens,9606,NA,NA
GSE109083,GPL17021,Mus musculus,10090,NA,NA
GSE109088,GPL24501,Fusarium graminearum,5518,NA,NA
GSE109094,GPL24501,Fusarium graminearum,5518,NA,NA
GSE109094,GPL24502,Fusarium graminearum,5518,NA,NA
GSE109099,GPL17021,Mus musculus,10090,NA,NA
GSE109111,GPL16791,Homo sapiens,9606,NA,NA
GSE109113,GPL19057,Mus musculus,10090,NA,NA
GSE109125,GPL19057,Mus musculus,10090,NA,NA
GSE109135,GPL24511,Ramularia collo-cygni,112498,NA,NA
GSE109140,GPL16791,Homo sapiens,9606,NA,NA
GSE109143,GPL11154,Homo sapiens,9606,NA,NA
GSE109152,GPL13112,Mus musculus,10090,NA,NA
GSE109159,GPL20828,Danio rerio,7955,NA,NA
GSE109161,GPL16791,Homo sapiens,9606,NA,NA
GSE109171,GPL17021,Mus musculus,10090,NA,NA
GSE109177,GPL21626,Mus musculus,10090,NA,NA
GSE109177,GPL21697,Homo sapiens,9606,NA,NA
GSE109185,GPL16791,Homo sapiens,9606,NA,NA
GSE109195,GPL21273,Mus musculus,10090,NA,NA
GSE109196,GPL21273,Mus musculus,10090,NA,NA
GSE109199,GPL22038,Blattella germanica,6973,NA,NA
GSE109199,GPL24515,Oncopeltus fasciatus,7536,NA,NA
GSE109209,GPL21103,Mus musculus,10090,NA,NA
GSE109209,GPL23479,Mus musculus,10090,NA,NA
GSE109224,GPL22662,Mycolicibacterium smegmatis,1772,NA,NA
GSE109231,GPL11154,Homo sapiens,9606,NA,NA
GSE109238,GPL13112,Mus musculus,10090,NA,NA
GSE109258,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE109262,GPL13112,Mus musculus,10090,NA,NA
GSE109262,GPL15228,synthetic construct,32630,NA,NA
GSE109262,GPL19057,Mus musculus,10090,NA,NA
GSE109262,GPL19424,synthetic construct,32630,NA,NA
GSE109263,GPL13112,Mus musculus,10090,NA,NA
GSE109265,GPL11154,Homo sapiens,9606,NA,NA
GSE109270,GPL16791,Homo sapiens,9606,NA,NA
GSE109272,GPL17021,Mus musculus,10090,NA,NA
GSE109279,GPL19057,Mus musculus,10090,NA,NA
GSE109285,GPL13112,Mus musculus,10090,NA,NA
GSE109285,GPL17021,Mus musculus,10090,NA,NA
GSE109286,GPL19057,Mus musculus,10090,NA,NA
GSE109287,GPL21493,Mus musculus,10090,NA,NA
GSE109288,GPL19057,Mus musculus,10090,NA,NA
GSE109296,GPL17303,Homo sapiens,9606,NA,NA
GSE109297,GPL21273,Mus musculus,10090,NA,NA
GSE109309,GPL15381,Monodelphis domestica,13616,NA,NA
GSE109315,GPL13112,Mus musculus,10090,NA,NA
GSE109315,GPL19057,Mus musculus,10090,NA,NA
GSE109320,GPL11154,Homo sapiens,9606,NA,NA
GSE109321,GPL19057,Mus musculus,10090,NA,NA
GSE109322,GPL16791,Homo sapiens,9606,NA,NA
GSE109329,GPL19057,Mus musculus,10090,NA,NA
GSE109338,GPL18644,Pseudomonas aeruginosa,287,NA,NA
GSE109338,GPL20881,Pseudomonas aeruginosa,287,NA,NA
GSE109341,GPL13834,Oryza sativa Japonica Group,39947,NA,NA
GSE109342,GPL11154,Homo sapiens,9606,NA,NA
GSE109343,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE109343,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE109343,GPL19756,Saccharomyces cerevisiae,4932,NA,NA
GSE109352,GPL21103,Mus musculus,10090,NA,NA
GSE109353,GPL13112,Mus musculus,10090,NA,NA
GSE109362,GPL17021,Mus musculus,10090,NA,NA
GSE109367,GPL16791,Homo sapiens,9606,NA,NA
GSE109370,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE109373,GPL18573,Homo sapiens,9606,NA,NA
GSE109385,GPL19528,Drosophila melanogaster,7227,NA,NA
GSE109420,GPL23890,Homo sapiens,9606,NA,NA
GSE109425,GPL19057,Mus musculus,10090,NA,NA
GSE109429,GPL13112,Mus musculus,10090,NA,NA
GSE109443,GPL16417,Mus musculus,10090,NA,NA
GSE109445,GPL22396,Rattus norvegicus,10116,NA,NA
GSE109448,GPL18573,Homo sapiens,9606,NA,NA
GSE109449,GPL18573,Homo sapiens,9606,NA,NA
GSE109460,GPL16791,Homo sapiens,9606,NA,NA
GSE109461,GPL24527,Tetraselmis suecica,270643,NA,NA
GSE109466,GPL17021,Mus musculus,10090,NA,NA
GSE109466,GPL21103,Mus musculus,10090,NA,NA
GSE109467,GPL13112,Mus musculus,10090,NA,NA
GSE109472,GPL17021,Mus musculus,10090,NA,NA
GSE109483,GPL20301,Homo sapiens,9606,NA,NA
GSE109485,GPL17021,Mus musculus,10090,NA,NA
GSE109491,GPL18573,Homo sapiens,9606,NA,NA
GSE109500,GPL24531,Aphanomyces euteiches,100861,NA,NA
GSE109503,GPL16791,Homo sapiens,9606,NA,NA
GSE109510,GPL17021,Mus musculus,10090,NA,NA
GSE109522,GPL21103,Mus musculus,10090,NA,NA
GSE109528,GPL21290,Homo sapiens,9606,NA,NA
GSE109539,GPL19176,Sus scrofa,9823,NA,NA
GSE109540,GPL21103,Mus musculus,10090,NA,NA
GSE109542,GPL17021,Mus musculus,10090,NA,NA
GSE109542,GPL18573,Homo sapiens,9606,NA,NA
GSE109544,GPL21103,Mus musculus,10090,NA,NA
GSE109545,GPL16417,Mus musculus,10090,NA,NA
GSE109545,GPL17021,Mus musculus,10090,NA,NA
GSE109546,GPL19057,Mus musculus,10090,NA,NA
GSE109553,GPL23085,Danio rerio,7955,NA,NA
GSE109556,GPL19057,Mus musculus,10090,NA,NA
GSE109562,GPL16791,Homo sapiens,9606,NA,NA
GSE109562,GPL18573,Homo sapiens,9606,NA,NA
GSE109564,GPL16791,Homo sapiens,9606,NA,NA
GSE109564,GPL18573,Homo sapiens,9606,NA,NA
GSE109574,GPL19057,Mus musculus,10090,NA,NA
GSE109581,GPL18413,Danio rerio,7955,NA,NA
GSE109582,GPL21548,Cryptococcus neoformans var. grubii H99,235443,NA,NA
GSE109594,GPL22758,Cellvibrio japonicus,155077,NA,NA
GSE109595,GPL11221,Arabidopsis thaliana,3702,NA,NA
GSE109596,GPL18480,Mus musculus,10090,NA,NA
GSE109604,GPL15456,Homo sapiens,9606,NA,NA
GSE109607,GPL16791,Homo sapiens,9606,NA,NA
GSE109609,GPL17415,Populus trichocarpa,3694,NA,NA
GSE109615,GPL24537,Cucumis sativus,3659,NA,NA
GSE109625,GPL16791,Homo sapiens,9606,NA,NA
GSE109629,GPL13112,Mus musculus,10090,NA,NA
GSE109645,GPL21290,Homo sapiens,9606,NA,NA
GSE109648,GPL18573,Homo sapiens,9606,NA,NA
GSE109658,GPL11154,Homo sapiens,9606,NA,NA
GSE109660,GPL17021,Mus musculus,10090,NA,NA
GSE109661,GPL13112,Mus musculus,10090,NA,NA
GSE109671,GPL15103,Mus musculus,10090,NA,NA
GSE109671,GPL17021,Mus musculus,10090,NA,NA
GSE109672,GPL16345,Solanum lycopersicum,4081,NA,NA
GSE109680,GPL24543,Streptococcus agalactiae A909,205921,NA,NA
GSE109686,GPL17303,Homo sapiens,9606,NA,NA
GSE109687,GPL21963,Bdellovibrio bacteriovorus HD100,264462,NA,NA
GSE109690,GPL20301,Homo sapiens,9606,NA,NA
GSE109690,GPL21103,Mus musculus,10090,NA,NA
GSE109694,GPL13112,Mus musculus,10090,NA,NA
GSE109700,GPL16791,Homo sapiens,9606,NA,NA
GSE109707,GPL24247,Mus musculus,10090,NA,NA
GSE109709,GPL17021,Mus musculus,10090,NA,NA
GSE109720,GPL11154,Homo sapiens,9606,NA,NA
GSE109722,GPL21103,Mus musculus,10090,NA,NA
GSE109726,GPL17021,Mus musculus,10090,NA,NA
GSE109728,GPL19057,Mus musculus,10090,NA,NA
GSE109732,GPL16417,Mus musculus,10090,NA,NA
GSE109740,GPL13112,Mus musculus,10090,NA,NA
GSE109740,GPL19057,Mus musculus,10090,NA,NA
GSE109753,GPL19057,Mus musculus,10090,NA,NA
GSE109754,GPL19057,Mus musculus,10090,NA,NA
GSE109766,GPL21222,Escherichia coli,562,NA,NA
GSE109772,GPL19694,Solanum lycopersicum,4081,NA,NA
GSE109774,GPL24247,Mus musculus,10090,NA,NA
GSE109793,GPL13112,Mus musculus,10090,NA,NA
GSE109796,GPL13112,Mus musculus,10090,NA,NA
GSE109797,GPL21103,Mus musculus,10090,NA,NA
GSE109806,GPL24552,Felis catus,9685,NA,NA
GSE109815,GPL16216,Bombyx mori,7091,NA,NA
GSE109817,GPL19057,Mus musculus,10090,NA,NA
GSE109821,GPL16791,Homo sapiens,9606,NA,NA
GSE109822,GPL11154,Homo sapiens,9606,NA,NA
GSE109822,GPL16791,Homo sapiens,9606,NA,NA
GSE109825,GPL11154,Homo sapiens,9606,NA,NA
GSE109829,GPL17021,Mus musculus,10090,NA,NA
GSE109830,GPL18573,Homo sapiens,9606,NA,NA
GSE109834,GPL17021,Mus musculus,10090,NA,NA
GSE109835,GPL17021,Mus musculus,10090,NA,NA
GSE109841,GPL16791,Homo sapiens,9606,NA,NA
GSE109843,GPL16791,Homo sapiens,9606,NA,NA
GSE109844,GPL20795,Homo sapiens,9606,NA,NA
GSE109844,GPL21273,Mus musculus,10090,NA,NA
GSE109850,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE109855,GPL18413,Danio rerio,7955,NA,NA
GSE109870,GPL16791,Homo sapiens,9606,NA,NA
GSE109881,GPL20828,Danio rerio,7955,NA,NA
GSE109892,GPL16791,Homo sapiens,9606,NA,NA
GSE109899,GPL17021,Mus musculus,10090,NA,NA
GSE109903,GPL16791,Homo sapiens,9606,NA,NA
GSE109906,GPL17021,Mus musculus,10090,NA,NA
GSE109913,GPL21103,Mus musculus,10090,NA,NA
GSE109932,GPL24564,Escherichia coli Nissle 1917,316435,NA,NA
GSE109933,GPL21626,Mus musculus,10090,NA,NA
