suppdata_id,Filter,human,nnet,Type,classifier
GSE111379_3chemos.80hrs.HeyA8.xlsx-sheet-All chemo samples.csv-set-2,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE111538_Adipo_Yes_vs_Adipo_No.DESeq2_Results.xlsx.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE111538_Adipo_Yes_vs_Adipo_No.DESeq2_Results.xlsx.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE111666_E12_RNASEQ_HET_v_MUT.txt.gz,raw,anti-conservative,uniform,anti-conservative,human
GSE111666_E12_RNASEQ_MUT_v_KI.txt.gz,raw,anti-conservative,uniform,anti-conservative,human
GSE111792_cuffdiff_seedlingB73_FPKMvalues.txt.gz,raw,conservative,conservative,conservative,human
GSE111911_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE112248_1_vs_2.diff.exp.txt.annot.txt.gz,raw,conservative,conservative,conservative,human
GSE112367_adr1.adr2.ip.input.deseq.txt.gz,basemean,other,other,other,human
GSE112367_adr1.adr2.ip.input.deseq.txt.gz,raw,other,other,other,human
GSE112367_n2.adr2.ip.input.deseq.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112367_n2.adr2.ip.input.deseq.txt.gz,raw,spiky,anti-conservative,spiky,human
GSE112404_Figure2_sorted_RNAseq_P8_WT_vs_Opn4DTA_DTA.xlsx-sheet-LD-P8-WTB_LD-P8-DTAKO.csv,raw,other,other,other,human
GSE112649_TAC_tree_RNAseq_processed_data_CLC_DEG_output.txt.gz-set-0,raw,other,other,other,human
GSE112649_TAC_tree_RNAseq_processed_data_CLC_DEG_output.txt.gz-set-1,raw,conservative,conservative,conservative,human
GSE112778_WT_KO_TFH_CD2AP_Differential.txt.gz,raw,conservative,conservative,conservative,human
GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Ccl19hi TRC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Ccl19hi TRC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Ccl19lo TRC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Ccl19lo TRC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Cxcl9+ TRC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S2_Ccl19hi_TRC_Ccl19lo_TRC_Cxcl9_TRC.xlsx-sheet-Cxcl9+ TRC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S3_MRC.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S3_MRC.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S4_PvC.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S4_PvC.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S5_CD34+_SC.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S5_CD34+_SC.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S6_Inmt+_SC.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S6_Inmt+_SC.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ CD34+ SC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ CD34+ SC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ Inmt+ SC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ Inmt+ SC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ SC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ SC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ TRC,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ TRC,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S8_FDC.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE112903_Table_S8_FDC.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE112936_Galaxy33-_OG1RF_R6_R7_D983_R4_R5_transcript_differential_expression_testing_.txt.gz,raw,conservative,conservative,conservative,human
GSE112936_Galaxy73-_OG1RF_vs_D983_BHI_transcript_differential_expression_testing_.txt.gz,raw,conservative,conservative,conservative,human
GSE113053_deseq.HSC.bfx338.xls.gz-sheet-all_genes,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113053_deseq.HSC.bfx338.xls.gz-sheet-all_genes,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113053_deseq.MPP.bfx312.xls.gz-sheet-all_genes,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113053_deseq.MPP.bfx312.xls.gz-sheet-all_genes,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113085_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE113114_Het_vs_KO.txt.gz,raw,conservative,conservative,conservative,human
GSE113231_pde_expression_data_112413.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113240_eworo_vs_OreR_gene_exp_diff_Cuffdiff.txt.gz,raw,conservative,conservative,conservative,human
GSE113252_DESeq.H_vs_K.xlsx.gz,basemean,other,other,other,human
GSE113252_DESeq.H_vs_K.xlsx.gz,raw,other,other,other,human
GSE113333_Typhi_gene_exp.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113400_all_FPKM_expression.txt.gz,raw,conservative,conservative,conservative,human
GSE113404_DESeq2_results_Mat1_OE_wt.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113404_DESeq2_results_Mat1_OE_wt.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113404_DESeq2_results_Mat2_OE_wt.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113404_DESeq2_results_Mat2_OE_wt.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113485_RWPE1_EMPTY_ERG_ERGshELF1.diff.gz,raw,bimodal,bimodal,bimodal,human
GSE113519_condition.DESeq2_results_allgenes.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113519_condition.DESeq2_results_allgenes.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113648_RNAseq_HGPS_cell_lines_vs_control.xlsx,raw,conservative,conservative,conservative,human
GSE113683_DESeq2_res_Ax35_10x_vs._WT.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113683_DESeq2_res_Ax35_10x_vs._WT.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113683_DESeq2_res_Ax35_30x_vs._WT.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113683_DESeq2_res_Ax35_30x_vs._WT.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113688_HDP_4days_Gene_Exp.txt.gz,raw,conservative,conservative,conservative,human
GSE113688_JunB_WT_KO_Gene_Exp.txt.gz,raw,conservative,conservative,conservative,human
GSE113688_WH_30days_Gene_Exp.txt.gz,raw,conservative,conservative,conservative,human
GSE113716_DESeq2_results_t05_vs_t0.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t05_vs_t0.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t1_vs_t0.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t1_vs_t0.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t15_vs_t0.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t15_vs_t0.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t2_vs_t0.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t2_vs_t0.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t4_vs_t0.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113716_DESeq2_results_t4_vs_t0.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113848_sleuth.de.results.wald.ctl.tsv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113848_sleuth.de.results.wald.oe.tsv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113900_Significant_genes.xlsx.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113954_Warm_TRPM2-KO-1_Warm_WT-1.anno.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113954_Warm_TRPM2-KO-2_Warm_WT-2.anno.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE113979_DESeq2.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE113979_DESeq2.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114034_processed_data.txt.gz,raw,conservative,conservative,conservative,human
GSE114189_msc_lps_0_6_24_hrs_gene_exp.txt.gz,raw,conservative,conservative,conservative,human
GSE114336_Merkel_Keratinocytes_DEseq_RPKM.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114346_LEH_differential_expression_analysis_table.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE114346_LEH_differential_expression_analysis_table.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114363_gene_exp.diff.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114463_DESeq2_genes_diffexp_by_fc_N2_15_vs_O2_15.csv.gz,basemean,other,anti-conservative,other,human
GSE114463_DESeq2_genes_diffexp_by_fc_N2_15_vs_O2_15.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114463_DESeq2_genes_diffexp_by_fc_N2_60_vs_O2_60.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE114463_DESeq2_genes_diffexp_by_fc_N2_60_vs_O2_60.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114652_trim9_sham_stroke.txt.gz,basemean,anti-conservative,uniform,anti-conservative,human
GSE114652_trim9_sham_stroke.txt.gz,raw,other,other,other,human
GSE114917_High_vs_Low_LP4_removed_all_genes.tsv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE114917_High_vs_Low_LP4_removed_all_genes.tsv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114941_DEseq2.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE114941_DEseq2.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE114987_gene.txt.gz,raw,conservative,conservative,conservative,human
GSE114998_Spreadsheet1_CT_Repbase.xlsx,basemean,other,other,other,human
GSE114998_Spreadsheet1_CT_Repbase.xlsx,raw,conservative,conservative,conservative,human
GSE114998_Spreadsheet2_CT_mRNAseq.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE114998_Spreadsheet2_CT_mRNAseq.xlsx,raw,uniform,uniform,uniform,human
GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx-sheet-p53_Cry_TKO,raw,bimodal,bimodal,bimodal,human
GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx-sheet-p53_KO,raw,bimodal,bimodal,bimodal,human
GSE115172_WTAvsRes4.txt.gz,basemean,conservative,conservative,conservative,human
GSE115172_WTAvsRes4.txt.gz,raw,conservative,conservative,conservative,human
GSE115266_Horvath01_DESeq2_Differential_Gene_Expression.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE115266_Horvath01_DESeq2_Differential_Gene_Expression.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE115349_PD09_v_PD11.batch1.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD09_v_PD12.batch1.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD10_v_PD11.batch1.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD10_v_PD12.batch1.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD11_v_PD12.batch1.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD19_v_PD20.batch2.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD19_v_PD21.batch2.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD19_v_PD22.batch2.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD20_v_PD21.batch2.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD20_v_PD22.batch2.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD21_v_PD22.batch2.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD28_v_PD29.batch3.novel.gene_exp.diff.txt.gz,raw,conservative,bimodal,conservative,human
GSE115349_PD28_v_PD30.batch3.novel.gene_exp.diff.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE115349_PD28_v_PD31.batch3.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD29_v_PD30.batch3.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD29_v_PD31.batch3.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115349_PD30_v_PD31.batch3.novel.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115474_Untreated_Control_vs_Treatment.genesTABULATED.xls.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE115474_Untreated_Control_vs_Treatment.genesTABULATED.xls.gz,raw,other,other,other,human
GSE115498_cuffdiff_2mmTassel_FPKMvalues.txt.gz,raw,conservative,conservative,conservative,human
GSE115554_RNAseq_Genediff_pilot.xlsx,raw,bimodal,bimodal,bimodal,human
GSE115554_RNAseq_Isoformsdiff_pilot.xlsx,raw,conservative,conservative,conservative,human
GSE115606_piRNA.txt.gz,raw,spiky,spiky,spiky,human
GSE115737_All_genes.xlsx,raw,conservative,conservative,conservative,human
GSE115739_G3gg.gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE115740_GW.fpkm.xlsx-sheet-White_2_V_green_2,raw,conservative,conservative,conservative,human
GSE115740_GW.fpkm.xlsx-sheet-White_V_Green,raw,conservative,conservative,conservative,human
GSE115743_TgCd2G3.fpkm.txt.gz,raw,conservative,conservative,conservative,human
GSE115845_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE115950_DESeq2_genes_diffexp_by_fc_Migr_mLN_SPF_Tx_vs_Migr_pLN_SPF_Tx.csv.gz,raw,other,conservative,other,human
GSE115950_DESeq2_genes_diffexp_by_fc_Migr_mLN_SPF_vs_Migr_pLN_SPF.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE116087_GD-WT_vs_CM-WT.gene_exp.diff.tsv.gz,raw,conservative,conservative,conservative,human
GSE116230_Smad4ff_vs_Smad4iECKO.deseq.res.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116230_Smad4ff_vs_Smad4iECKO.deseq.res.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE116458_nESCs_EpiLSCs_desep_table.txt.gz,basemean,anti-conservative,other,anti-conservative,human
GSE116458_nESCs_EpiLSCs_desep_table.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE116462_Lncenc1_KD_deseq_table.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116462_Lncenc1_KD_deseq_table.txt.gz,raw,uniform,spiky,uniform,human
GSE116476_gene_expression_level.xlsx-sheet-sevgal4EP3037 vs sevgal4GFP,raw,conservative,conservative,conservative,human
GSE116476_gene_expression_level.xlsx-sheet-sevgal4uasgfp vs sevgal4wrnai,raw,conservative,conservative,conservative,human
GSE116499_Control_NB4_vs_JMJD3_NB4.diff.exp.annot.txt.gz,raw,conservative,conservative,conservative,human
GSE116587_Littleetal_RNASEQ.xlsx,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-gene_exp,raw,conservative,conservative,conservative,human
GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx-sheet-status = ok,raw,other,other,other,human
GSE116610_gene_expression_level.xlsx-sheet-hsp90 hsrw66 vs hsp90,raw,bimodal,bimodal,bimodal,human
GSE116610_gene_expression_level.xlsx-sheet-hsrw66 vs hsp90,raw,conservative,conservative,conservative,human
GSE116610_gene_expression_level.xlsx-sheet-hsrw66 vs hsp90 hsrw66,raw,bimodal,bimodal,bimodal,human
GSE116610_gene_expression_level.xlsx-sheet-wt vs hsp90,raw,conservative,conservative,conservative,human
GSE116610_gene_expression_level.xlsx-sheet-wt vs hsp90 hsrw66,raw,bimodal,bimodal,bimodal,human
GSE116610_gene_expression_level.xlsx-sheet-wt vs hsrw66,raw,conservative,conservative,conservative,human
GSE116650_gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE116776_KO_vs_WT.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116776_KO_vs_WT.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE116815_DESeq2_DP_ASL.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116815_DESeq2_DP_ASL.txt.gz,raw,spiky,anti-conservative,spiky,human
GSE116815_DESeq2_DPlike_ASL.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116815_DESeq2_DPlike_ASL.txt.gz,raw,spiky,anti-conservative,spiky,human
GSE116819_xlaevisrnaseq-run1-results-diffexpr-genelist-treated-vs-control.csv.gz,basemean,other,other,other,human
GSE116819_xlaevisrnaseq-run1-results-diffexpr-genelist-treated-vs-control.csv.gz,raw,other,other,other,human
GSE116866_murine_3group_normalized_matrix.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116866_murine_3group_normalized_matrix.csv.gz,raw,spiky,bimodal,spiky,human
GSE116915_Microbead_vs_control_raw_data_RNAseq_mouse.define_DESeq2.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116915_Microbead_vs_control_raw_data_RNAseq_mouse.define_DESeq2.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE116916_Processed_data_Wareham2.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE116916_Processed_data_Wareham2.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE117032_H33BKI_WT_ESC_vs_NPC_gene_exp_diff.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE117032_H33BKI_WT_NPC_vs_FIDC4_NPC_gene_exp_diff.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE117032_H33BKI_WT_NPC_vs_FIDD8_NPC_gene_exp_diff.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE117229_Galaxy247-_Cuffdiff_on_data_212__data_203__and_others_gene_differential_expression_testing_.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE117433_37flow_v_37static.RNAseqgene_exp.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE117433_37flow_v_GSE117433_RTflow.RNAseqgene_exp.diff.gz,raw,other,other,other,human
GSE117433_RTflow_v_GSE117433_37Static.RNAseqgene_exp.diff.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE117559_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE117610_PC9_parental_vs_DTC.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE117610_PC9_parental_vs_DTC.csv.gz,raw,uniform,uniform,uniform,human
GSE117631_Cg1-Cre_PU.1_KO_Tumor_vs_control.txt.gz,raw,spiky,spiky,spiky,human
GSE117632_387_Hypoxia_vs_Normoxia_RNAseq_Processed.xlsx.gz,raw,conservative,conservative,conservative,human
GSE117632_Hypoxia_ALKBH1_Knockdown_RNAseq_Processed.xlsx.gz-sheet-DESeq2 Results,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE117632_Hypoxia_ALKBH1_Knockdown_RNAseq_Processed.xlsx.gz-sheet-DESeq2 Results,raw,spiky,anti-conservative,spiky,human
GSE117632_Normoxia_ALKBH1_Knockdown_RNAseq_Processed.xlsx.gz,raw,bimodal,bimodal,bimodal,human
GSE117669_readcounts.txt.gz,raw,spiky,spiky,spiky,human
GSE117682_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE117978_groupBvsgroupA.complete.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE117978_groupBvsgroupA.complete.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118108_4groups_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE118108_PreVPost_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE118116_sleuth_test_results.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118217_AN_vs_AW.xlsx.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE118217_AN_vs_AW.xlsx.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118239_RP.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE118239_RS.gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE118334_Wnt11_NP_RNAseq_DiffExp.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-0,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-1,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-2,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz-set-3,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118371_gene_exp_ColxCol_endosperm_ColxCvi_endosperm.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE118371_gene_exp_ColxCol_hdg3Col.txt.gz,raw,conservative,conservative,conservative,human
GSE118423_alc.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE118423_alc.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118490_HCT116_DE_Results.xlsx-sheet-HCT116_results_raw_noNA,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE118490_HCT116_DE_Results.xlsx-sheet-HCT116_results_raw_noNA,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118501_diffexpr-results.csv.gz,basemean,uniform,uniform,uniform,human
GSE118501_diffexpr-results.csv.gz,raw,uniform,uniform,uniform,human
GSE118552_sorted_results.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE118566_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE118592_day10_results.txt.gz,raw,conservative,conservative,conservative,human
GSE118592_day5_results.txt.gz,raw,other,other,other,human
GSE118656_schulman_acldl_v_veh_interaction_results-genelist_1_.csv.gz,basemean,uniform,uniform,uniform,human
GSE118656_schulman_acldl_v_veh_interaction_results-genelist_1_.csv.gz,raw,conservative,conservative,conservative,human
GSE118656_schulman_gw_v_veh_interaction_results-genelist_1_.csv.gz,basemean,anti-conservative,uniform,anti-conservative,human
GSE118656_schulman_gw_v_veh_interaction_results-genelist_1_.csv.gz,raw,conservative,conservative,conservative,human
GSE118656_schulman_kla_v_veh_interaction_results-genelist_2_.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE118656_schulman_kla_v_veh_interaction_results-genelist_2_.csv.gz,raw,conservative,conservative,conservative,human
GSE118674_Zhu_processed_data.xlsx.gz-sheet-Deseq2_raw_output,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE118674_Zhu_processed_data.xlsx.gz-sheet-Deseq2_raw_output,raw,other,other,other,human
GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,raw,spiky,spiky,spiky,human
GSE118994_DESeq2_delta-espL_vs_wt.csv.gz,basemean,other,other,other,human
GSE118994_DESeq2_delta-espL_vs_wt.csv.gz,raw,other,other,other,human
GSE119025_BSAVSFHR1_Gene_differential_expression.txt.gz,raw,uniform,uniform,uniform,human
GSE119029_gene_exp.diff.gz,raw,bimodal,bimodal,bimodal,human
GSE119046_rpoS819_vs_wtrpoS.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE119046_rpoS819_vs_wtrpoS.csv.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE119046_rpoS92_vs_wtrpoS.csv.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE119046_rpoS92_vs_wtrpoS.csv.gz,raw,bimodal,bimodal,bimodal,human
GSE119208_F613-TCS.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE119273_LR73_AC_results.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE119273_LR73_AC_results.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE119325_day6vsday2_gene_description.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE119332_control_vs_rraga_mutants_analyzed.xlsx.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE119422_WTvBmi1gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE120077_processed_data.xlsx-sheet-Complete_Sheet,raw,other,other,other,human
GSE120241_gene_description.txt.gz-set-0,raw,bimodal,bimodal,bimodal,human
GSE120241_gene_description.txt.gz-set-1,raw,conservative,conservative,conservative,human
GSE120241_gene_description.txt.gz-set-2,raw,bimodal,bimodal,bimodal,human
GSE120241_gene_description.txt.gz-set-3,raw,bimodal,bimodal,bimodal,human
GSE120241_gene_description.txt.gz-set-4,raw,bimodal,bimodal,bimodal,human
GSE120241_gene_description.txt.gz-set-5,raw,bimodal,bimodal,bimodal,human
GSE120293_CDYL-Processed_data.txt.gz,raw,conservative,conservative,conservative,human
GSE120293_CSDS-Processed_data.txt.gz,raw,conservative,conservative,conservative,human
GSE120844_DEG_CTRL_IFNG.txt.gz,raw,conservative,conservative,conservative,human
