Accession,suppdata_id,instrument_model
GSE72860,GSE72860_RNA-seq_log2fdc.txt.gz,Illumina Genome Analyzer II
GSE60822,GSE60822_cuffdiff.induction.ablation.tab.gz,Illumina HiSeq 2000
GSE41487,GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12,Illumina HiSeq 2000
GSE113085,GSE113085_gene_exp.diff.gz,Illumina Genome Analyzer
GSE106371,GSE106371_SupplementalTableS1_counts.txt.gz,Illumina HiSeq 2500
GSE98941,GSE98941_NvsP.csv.gz,Illumina HiSeq 2500
GSE101545,GSE101545_DiffExpr_diet_sw1_versus_control.xlsx,Illumina HiSeq 2500
GSE112903,GSE112903_Table_S3_MRC.xlsx,Illumina HiSeq 4000
GSE101510,GSE101510_IRF4_master_table.csv.gz,Illumina HiSeq 2500
GSE73615,GSE73615_gene_exp.diff.gz,Illumina HiSeq 2000
GSE87441,GSE87441_gene_exp_CTRL_HDAC2-KD_statistics.txt.gz,Illumina HiSeq 2000
GSE98576,GSE98576_gene_exp.diff.gz,Illumina NextSeq 500
GSE83217,GSE83217_Processed_Matrix_FPKM.xlsx-sheet-siScramble_vs_siHdac4,Illumina HiSeq 2000
GSE83217,GSE83217_Processed_Matrix_FPKM.xlsx-sheet-siScramble_vs_siBdnf,Illumina HiSeq 2000
GSE92720,GSE92720_Control_H32.xls.gz,Illumina HiSeq 2500
GSE77395,GSE77395_A_OE_air_vs_Col_air.diff.gz,Illumina HiSeq 2000
GSE72820,GSE72820_MDA33N-33P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_0-5_mm_vs_15-20_mm,Illumina HiSeq 2500
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_0-5_mm_vs_30-35_mm,Illumina HiSeq 2500
GSE84529,GSE84529_Paired_comparison_of_three_sections_Cuffdiff.xlsx-sheet-Comparison_30-35_mm_vs_15-20_mm,Illumina HiSeq 2500
GSE72712,GSE72712_ESCd_40-70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-d_lt40,Illumina HiSeq 2500
GSE63838,GSE63838_cds_exp_diff_2D.txt.gz,Illumina MiSeq
GSE72860,GSE72860_RRBS_CpG_methylation_call.txt.gz,Illumina NextSeq 500
GSE72860,GSE72860_RRBS_CpG_methylation_call.txt.gz,Illumina Genome Analyzer II
GSE56122,GSE56122_IFN-gene_exp.diff.gz,Illumina HiSeq 2000
GSE50203,GSE50203_gene_exp.diff.gz,Illumina HiSeq 2000
GSE63300,GSE63300_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE56575,GSE56575_cds_exp.diff.txt.gz,Illumina HiSeq 2000
GSE39812,GSE39812_TB_result_transcript_summary.tsv.txt.gz,Illumina HiSeq 2000
GSE101545,GSE101545_DiffExpr_diet_sw1_versus_control_Ssal_ref.xlsx,Illumina HiSeq 2500
GSE112903,GSE112903_Table_S4_PvC.xlsx,Illumina HiSeq 4000
GSE109870,GSE109870_gene_exp.diff.gz,Illumina HiSeq 2500
GSE87441,GSE87441_gene_exp_CTRL_SP3-KD_statistics.txt.gz,Illumina HiSeq 2000
GSE87706,GSE87706_SM_vs_RODI.txt.gz,Illumina HiSeq 2000
GSE77395,GSE77395_col_air_vs_ethylene.diff.gz,Illumina HiSeq 2000
GSE72820,GSE72820_MDA34N-34P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE84798,GSE84798_gene_exp.diff.gz,Illumina HiSeq 2000
GSE80972,GSE80972_frm_gene_exp.diff.txt.gz,Illumina HiSeq 2500
GSE72712,GSE72712_ESCd_40-70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-u.cuffdiff,Illumina HiSeq 2500
GSE77256,GSE77256_Cuffdiff_Anagen_HFSCs.txt.gz,Illumina HiSeq 2000
GSE76992,GSE76992_GFP_vs_p16.txt.gz,Illumina HiSeq 2000
GSE58586,GSE58586_RNAseq-PDX-paired-tr-vs-untr_allintensity-filtered.txt.gz,Illumina HiSeq 2000
GSE50203,GSE50203_isoform_exp.diff.gz,Illumina HiSeq 2000
GSE56097,GSE56097_Cufflinks_CuffDiff_gene_exp.txt.gz,Illumina HiSeq 2000
GSE55596,GSE55596_LOLOdiff_nonovel.txt.gz,Illumina HiSeq 2000
GSE101545,GSE101545_DiffExpr_diet_sw2_versus_control.xlsx,Illumina HiSeq 2500
GSE112903,GSE112903_Table_S5_CD34+_SC.xlsx,Illumina HiSeq 4000
GSE113252,GSE113252_DESeq.H_vs_K.xlsx.gz,Illumina HiSeq 2500
GSE106860,GSE106860_processed_data.txt.gz,Illumina HiSeq 2500
GSE61955,GSE61955_12hr.txt.gz,Illumina HiSeq 2000
GSE62563,GSE62563_gene_expression.txt.gz,Illumina HiSeq 2500
GSE87808,GSE87808_diffExp_Slc7a5_Cerebellum_allGenes.txt.gz,Illumina HiSeq 2500
GSE79412,GSE79412_amiFPSa_gene_exp_diff.xlsx-sheet-Hoja1,Illumina HiSeq 2000
GSE73192,GSE73192_cds_chromosome_exp.diff.gz,Illumina HiSeq 1000
GSE72820,GSE72820_MDA3N-3P_RPKM.xlsx.gz,Illumina HiSeq 2000
GSE72712,GSE72712_ESCd_gt70_over_ESCd_40-70.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_40-70,Illumina HiSeq 2500
GSE77256,GSE77256_Cuffdiff_Telogen_HFSCs.txt.gz,Illumina HiSeq 2000
GSE57254,GSE57254_Control_CELF1KD_abundances.txt.gz,Illumina HiSeq 2000
GSE71153,GSE71153_projectLindholmPerry_USDA0001AL_master_list.txt.gz,Illumina Genome Analyzer II
GSE56122,GSE56122_LPS-gene_exp.diff.gz,Illumina HiSeq 2000
GSE55596,GSE55596_alldiff_nonovel.txt.gz,Illumina HiSeq 2000
GSE49587,GSE49587_L2_L3P1_2_DEUtable.txt.gz,Illumina HiSeq 2000
GSE107434,GSE107434_RNASeq-mice-CTX-6week_cuffdiff_KOvsWT_genes.txt.gz,Illumina HiSeq 2000
GSE91388,GSE91388_DESeq2_output.txt.gz,Illumina HiSeq 2500
GSE101545,GSE101545_DiffExpr_diet_sw2_versus_control_Ssal_ref.xlsx,Illumina HiSeq 2500
GSE112903,GSE112903_Table_S6_Inmt+_SC.xlsx,Illumina HiSeq 4000
GSE97769,GSE97769_Diff_Exp_Results_24_0-vs-24_1_2.txt.gz,Illumina HiSeq 2000
GSE106259,GSE106259_gene_exp.txt.gz,Illumina MiSeq
GSE94853,GSE94853_genes_differentialexpression_matrix.txt.gz,Illumina HiSeq 2500
GSE100632,GSE100632_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE76287,GSE76287_rosettes_col0vdko_tair.txt.gz,Illumina HiSeq 1500
GSE74171,GSE74171_expressed_transcript_aging_RNAseq_posterior_midgut.txt.gz,Illumina HiSeq 2000
GSE86521,GSE86521_DESeq_out_KO_vs_WT.txt.gz,Illumina HiSeq 2000
GSE73192,GSE73192_cds_plasmid_exp.diff.gz,Illumina HiSeq 1000
GSE72712,GSE72712_ESCd_gt70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_lt40,Illumina HiSeq 2500
GSE77256,GSE77256_Cuffdiff_all_HFSCs.txt.gz,Illumina HiSeq 2000
GSE74868,GSE74868_ETS2_T72D_OE_Epi_RNAseq.txt.gz,Illumina HiSeq 2000
GSE60968,GSE60968_VEC_vs_CRE_DE.txt.gz,Illumina HiSeq 2000
GSE54246,GSE54246_Control_vs._4_NQO_Tongue_gene_exp.xlsx.gz,Illumina HiSeq 2000
GSE49587,GSE49587_L312hr_L3P1_2_DEUtable.txt.gz,Illumina HiSeq 2000
GSE107434,GSE107434_RNASeq-mice-CTX-6week_cuffdiff_KOvsWT_isoforms.txt.gz,Illumina HiSeq 2000
GSE117631,GSE117631_Cg1-Cre_PU.1_KO_Tumor_vs_control.txt.gz,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ SC,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ Inmt+ SC,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ TRC,Illumina HiSeq 4000
GSE112903,GSE112903_Table_S7_Nr4a1+_SC.xlsx-sheet-Nr4a1+ CD34+ SC,Illumina HiSeq 4000
GSE97769,GSE97769_Diff_Exp_Results_24_0-vs-24_6.txt.gz,Illumina HiSeq 2000
GSE76287,GSE76287_seedling_col0vdko_tair.txt.gz,Illumina HiSeq 1500
GSE76487,GSE76487_shMBNL1_gene_exp_diff.txt.gz,Illumina HiSeq 2000
GSE72712,GSE72712_ESCd_gt70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-u.cuffdiff,Illumina HiSeq 2500
GSE62909,GSE62909_Differential_gene_exp.diff.gz,Illumina NextSeq 500
GSE72321,GSE72321_annotated_diffana_6-OHDA-6-OHDA_En.xlsx,Illumina HiSeq 2000
GSE66767,GSE66767_CD34_cord_blood.EET.txt.gz,Illumina HiSeq 2000
GSE66767,GSE66767_CD34_cord_blood.EET.txt.gz,Illumina Genome Analyzer
GSE69900,GSE69900_control-CBD16H.txt.gz,Illumina HiSeq 2000
GSE59715,GSE59715_finalHiCRNAseqTable.csv.gz,Illumina HiSeq 2000
GSE41090,GSE41090_WT_vs_KO_full_genes.tab.txt.gz,Illumina HiSeq 2000
GSE50535,GSE50535_diffexp_1.txt.gz,Illumina HiSeq 2000
GSE49587,GSE49587_ORvSmn_DEUtable.txt.gz,Illumina HiSeq 2000
GSE39652,GSE39652_20111201c2Day3_gene_exp.txt.gz,Illumina HiSeq 1000
GSE119046,GSE119046_rpoS819_vs_wtrpoS.csv.gz,Illumina HiSeq 2500
GSE112903,GSE112903_Table_S8_FDC.xlsx,Illumina HiSeq 4000
GSE113240,GSE113240_eworo_vs_OreR_gene_exp_diff_Cuffdiff.txt.gz,Illumina HiSeq 2500
GSE113240,GSE113240_eworo_vs_OreR_gene_exp_diff_Cuffdiff.txt.gz,Illumina HiSeq 4000
GSE97769,GSE97769_Diff_Exp_Results_24_6-vs-24_0.txt.gz,Illumina HiSeq 2000
GSE93686,GSE93686_plankvsbioraw.csv.gz,Illumina HiSeq 2500
GSE61955,GSE61955_2hr.txt.gz,Illumina HiSeq 2000
GSE84610,GSE84610_mouse_RNAseq_summary.txt.gz,Illumina HiSeq 2500
GSE52911,GSE52911_gene_exp.txt.gz,Illumina HiSeq 2000
GSE84370,GSE84370_APC_0h_vs_1h_gene_exp.diff.gz,Illumina HiSeq 2000
GSE86248,GSE86248_shControl-vs-shPaf1-gene_exp.diff.gz,Illumina HiSeq 2000
GSE72712,GSE72712_ESCd_lt40_over_ESCu.cuffdiff.xlsx-sheet-EST-d_lt40_over_EST-u.cuffdiff,Illumina HiSeq 2500
GSE77304,GSE77304_gene_exp.diff.gz,Illumina HiSeq 2500
GSE72321,GSE72321_annotated_diffana_gain-of-function_En1-ipsi-contra.xlsx,Illumina HiSeq 2000
GSE66767,GSE66767_U937.EET.txt.gz,Illumina HiSeq 2000
GSE66767,GSE66767_U937.EET.txt.gz,Illumina Genome Analyzer
GSE69900,GSE69900_control-tamoxifen48H.txt.gz,Illumina HiSeq 2000
GSE52153,GSE52153_czt-1DMSOvsczt-1STS.txt.gz,Illumina HiSeq 2000
GSE57517,GSE57517_gene_exp.diff.gz,Illumina HiSeq 2500
GSE56058,GSE56058_differentialExpressionGenes_RD19.txt.gz,Illumina HiSeq 2000
GSE50535,GSE50535_diffexp_2.txt.gz,Illumina HiSeq 2000
GSE39605,GSE39605_All_KOvsWT_filtered_final.xlsx.gz-sheet-All_KOvsWT_filtered,Illumina Genome Analyzer II
GSE39652,GSE39652_20111201c2LZ_gene_exp.txt.gz,Illumina HiSeq 1000
GSE119422,GSE119422_WTvBmi1gene_exp.diff.gz,Illumina HiSeq 2500
GSE120241,GSE120241_gene_description.txt.gz,HiSeq X Ten
GSE119046,GSE119046_rpoS92_vs_wtrpoS.csv.gz,Illumina HiSeq 2500
GSE97769,GSE97769_Diff_Exp_Results_24_6-vs-36_0.txt.gz,Illumina HiSeq 2000
GSE87071,GSE87071_T0_T60_gene_exp.diff.gz,Illumina HiSeq 2000
GSE85049,GSE85049_deseq2_mll3li_p53.txt.gz,Illumina HiSeq 2500
GSE89364,GSE89364_mav_RNASeq_exp_deqiangs.xlsx,Illumina HiSeq 2000
GSE83567,GSE83567_gene_exp.diff.gz,Illumina Genome Analyzer
GSE74168,GSE74168_expressed_transcripts_RNAseq_GLIrnai_posterior_midgut_EC.txt.gz,Illumina HiSeq 2000
GSE81191,GSE81191_Cuffdiff_Isoform.txt.gz,Illumina HiSeq 2500
GSE84370,GSE84370_APC_0h_vs_2h_gene_exp.diff.gz,Illumina HiSeq 2000
GSE86248,GSE86248_shControl-vs-shPhf5a-gene_exp_1_.diff.gz,Illumina HiSeq 2000
GSE77303,GSE77303_gene_exp.diff.gz,Illumina HiSeq 2500
GSE71609,GSE71609_2015_MZT.txt.gz,Illumina HiSeq 2000
GSE72947,GSE72947_Dm_sir2_RNA-seq.xlsx-sheet-Analyzed Genes,Illumina HiSeq 2000
GSE72321,GSE72321_annotated_diffana_loss-of-function_En1LacZ-WT.xlsx,Illumina HiSeq 2000
GSE61031,GSE61031_DE_polyaWT_vs_polyaKO.txt.gz,Illumina HiSeq 2000
GSE52080,GSE52080_processed_data.txt.gz,Illumina Genome Analyzer
GSE52153,GSE52153_wtDMSOvsczt-1DMSO.txt.gz,Illumina HiSeq 2000
GSE57482,GSE57482_output_score.txt.gz,AB SOLiD 4 System
GSE50535,GSE50535_diffexp_3.txt.gz,Illumina HiSeq 2000
GSE39652,GSE39652_20111201c2Pach_gene_exp.txt.gz,Illumina HiSeq 1000
GSE118217,GSE118217_AN_vs_AW.xlsx.gz,Illumina HiSeq 2000
GSE119025,GSE119025_BSAVSFHR1_Gene_differential_expression.txt.gz,Illumina HiSeq 4000
GSE106768,GSE106768_WT-YPD_v_htl1d-YPD_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE113231,GSE113231_pde_expression_data_112413.txt.gz,Illumina HiSeq 2500
GSE97769,GSE97769_Diff_Exp_Results_24_6-vs-72_0.txt.gz,Illumina HiSeq 2000
GSE108732,GSE108732_DEseq2-F.xlsx-sheet-DEseq2 output,Ion Torrent Proton
GSE87071,GSE87071_T60_T120_gene_exp.diff.gz,Illumina HiSeq 2000
GSE101797,GSE101797_Galaxy333-Cuffdiff_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2000
GSE89238,GSE89238_SET2_KO_DESeq2_output.txt.gz,Illumina NextSeq 500
GSE95006,GSE95006_RNA-seq_Summary.xls.gz-sheet-Trip_delta_vs_J,AB 5500xl Genetic Analyzer
GSE81191,GSE81191_Cuffdiff_transcript.txt.gz,Illumina HiSeq 2500
GSE76396,GSE76396_isoform_exp.diff.gz,Illumina HiSeq 2000
GSE70785,GSE70785_gene_exp.diff.gz,Illumina HiSeq 2500
GSE70068,GSE70068_GM_gene_exp.diff.gz,Illumina HiSeq 2000
GSE69855,GSE69855_gene_exp_ResvResVag.txt.gz,Illumina HiSeq 2500
GSE65039,GSE65039_gene_exp1.txt.gz,Illumina HiSeq 2000
GSE53789,GSE53789_GFP_FACS_x_GFP_LCM-not_significant.diff.txt.gz,Illumina HiSeq 2000
GSE52153,GSE52153_wtDMSOvswtSTS.txt.gz,Illumina HiSeq 2000
GSE39652,GSE39652_20111201c2PreMeiotic_gene_exp.txt.gz,Illumina HiSeq 1000
GSE121241,GSE121241_Differential_Gene_Expression_CuffDiff.txt.gz,Illumina HiSeq 4000
GSE116087,GSE116087_GD-WT_vs_CM-WT.gene_exp.diff.tsv.gz,Illumina NextSeq 500
GSE97795,GSE97795_gene_exp.diff.gz,Illumina NextSeq 500
GSE106768,GSE106768_WT-YPGR_v_WT-YPD_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE97769,GSE97769_Diff_Exp_Results_36_0-vs-36_1_2.txt.gz,Illumina HiSeq 2000
GSE108732,GSE108732_DEseq2-NF.csv.gz,Ion Torrent Proton
GSE87071,GSE87071_gene_exp.diff.gz,Illumina HiSeq 2000
GSE91000,GSE91000_gene_exp.diff.gz,Illumina HiSeq 1500
GSE61955,GSE61955_6hr.txt.gz,Illumina HiSeq 2000
GSE90899,GSE90899_WTvsUPF1aKO_DEXSeq.csv.gz,Illumina HiSeq 2000
GSE77471,GSE77471_RNASEQ_differential_expression.txt.gz,Illumina HiSeq 2000
GSE62040,GSE62040_gene_exp.diff.gz,Illumina HiSeq 2500
GSE64747,GSE64747_deseq_comp_DMSO_minus_TEX_vs_compound59_minus_TEX_with_annot_and_counts.txt.gz,Illumina HiSeq 2500
GSE68176,GSE68176_Camfl1.gene_exp.diff.gz,Illumina HiSeq 2500
GSE68176,GSE68176_Camfl1.gene_exp.diff.gz,Illumina HiSeq 2500
GSE69855,GSE69855_gene_exp_ResvSham.txt.gz,Illumina HiSeq 2500
GSE53789,GSE53789_GFP_FACS_x_WT_FACS-not_significant.diff.txt.gz,Illumina HiSeq 2000
GSE59781,GSE59781_gene_exp.diff.gz,Illumina HiSeq 2000
GSE106768,GSE106768_WT-YPGR_v_htl1d-YPGR_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE101788,GSE101788_gene_exp.diff.gz,Illumina HiSeq 2000
GSE97769,GSE97769_Diff_Exp_Results_72_0-vs-72_1_2.txt.gz,Illumina HiSeq 2000
GSE73615,GSE73615_isoform_exp.diff.gz,Illumina HiSeq 2000
GSE95679,GSE95679_Mishima_2017_Dcp2.txt.gz,Illumina HiSeq 2000
GSE87168,GSE87168_Watson_et_al_TOXSCI-16-0457_Diff_Gen_Exp.csv.gz,Ion Torrent PGM
GSE86054,GSE86054_gene_expression.txt.gz,Illumina NextSeq 500
GSE64747,GSE64747_regulated.txt.gz,Illumina HiSeq 2500
GSE62760,GSE62760_Acute_Cuffdiff_DGE.txt.gz,Illumina HiSeq 2000
GSE70068,GSE70068_TNF_gene_exp.diff.gz,Illumina HiSeq 2000
GSE72787,GSE72787_deseq2_closed_vs_open.tsv.gz,Illumina Genome Analyzer II
GSE68176,GSE68176_Ophio1_1.gene_exp.diff.gz,Illumina HiSeq 2500
GSE68176,GSE68176_Ophio1_1.gene_exp.diff.gz,Illumina HiSeq 2500
GSE70488,GSE70488_Day_vs_Night_sSeq.txt.gz,Illumina Genome Analyzer IIx
GSE66652,GSE66652_AS13-C_differential_expression.txt.gz,Illumina HiSeq 2000
GSE63707,GSE63707_DEXSeqResults_AretIR_03d_vs_IFMWT_03d.txt.gz,Illumina HiSeq 2000
GSE61796,GSE61796_NG_Induced_transcript_changes.txt.gz,Illumina Genome Analyzer II
GSE51119,GSE51119_IBH1KD_vs_Col_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE40218,GSE40218_processed_DESeq.txt.gz,Illumina HiSeq 2000
GSE117978,GSE117978_groupBvsgroupA.complete.txt.gz,Illumina NextSeq 500
GSE106768,GSE106768_WT_v_htl1d_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE73615,GSE73615_promoters.diff.gz,Illumina HiSeq 2000
GSE86301,GSE86301_shCdGAP_vs_shCtl_fpkm_counts.txt.gz,Illumina HiSeq 2000
GSE94587,GSE94587_DESEQ_Female_WT_vs_Female_del.txt.gz,Illumina HiSeq 2000
GSE87626,GSE87626_nc_vs_19_gene_exp.diff.gz,Illumina HiSeq 2000
GSE80237,GSE80237_Supplementary_Data_1.txt.gz,Illumina HiSeq 2500
GSE72341,GSE72341_DEseq_results.xlsx,Illumina Genome Analyzer
GSE62760,GSE62760_Chronic_Cuffdiff_DGE.txt.gz,Illumina HiSeq 2000
GSE70382,GSE70382_DESeq_allresp_vs_nonresp.xlsx-sheet-Blad1,Illumina HiSeq 2500
GSE63707,GSE63707_DEXSeqResults_AretIR_03d_vs_salm_ko.txt.gz,Illumina HiSeq 2000
GSE49097,GSE49097_BetweenGenotypes_gene_exp.diff.gz,Illumina HiSeq 2000
GSE51119,GSE51119_IBH1ox_vs_Col_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE50156,GSE50156_WT_36oC_15min_AND_WT_24oC.txt.gz,Illumina HiSeq 2000
GSE106768,GSE106768_WT_v_npl6d_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE100954,GSE100954_WTvs3aKO_gene_exp.diff.gz,Illumina NextSeq 500
GSE98888,GSE98888_DESeq2data.xlsx,Illumina HiSeq 2000
GSE73615,GSE73615_tss_group_exp.diff.gz,Illumina HiSeq 2000
GSE81834,GSE81834_489_614_Gametocyte_Cuffdiff.xlsx.gz-sheet-Diff. Transcription,Illumina HiSeq 2500
GSE95814,GSE95814_gene_exp_CC.xlsx-sheet-gene_exp_CC_4_CC_5,Illumina HiSeq 2500
GSE94587,GSE94587_DESEQ_Male_WT_vs_Female_WT.txt.gz,Illumina HiSeq 2000
GSE88970,GSE88970_Whsc1_proB_DE.xlsx-sheet-4P_05_WT_vs_KO_results,Illumina HiSeq 2000
GSE70068,GSE70068_UT_gene_exp.diff.gz,Illumina HiSeq 2000
GSE66652,GSE66652_S4-C_differential_expression.txt.gz,Illumina HiSeq 2000
GSE53789,GSE53789_GFP_LCM_x_GFP_FACS-not_significant.diff.txt.gz,Illumina HiSeq 2000
GSE63707,GSE63707_DEXSeqResults_AretIR_30h_vs_IFMWT_30h.txt.gz,Illumina HiSeq 2000
GSE62633,GSE62633_Differential_expression_table.txt.gz,Illumina NextSeq 500
GSE61566,GSE61566_cds.diff.gz,Illumina HiSeq 2000
GSE49097,GSE49097_CompareAll_gene_exp.diff.gz,Illumina HiSeq 2000
GSE51119,GSE51119_bHLH159KD_vs_Col_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE50156,GSE50156_mas5D_AND_WT_24oC.txt.gz,Illumina HiSeq 2000
GSE47062,GSE47062_KO_vs_WT.txt.gz,Illumina HiSeq 2000
GSE83360,GSE83360_hg19_CsiRNA_RNF2siRNA_Cuffdiff_on_data_1__data_3__and_data_17_gene_differential_expression_testing.tabular.txt.gz,Illumina HiSeq 2500
GSE118501,GSE118501_diffexpr-results.csv.gz,Illumina NextSeq 500
GSE115474,GSE115474_Untreated_Control_vs_Treatment.genesTABULATED.xls.gz,Illumina NextSeq 500
GSE106768,GSE106768_WT_v_rsc1d_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE100954,GSE100954_WTvsDKO13_gene_exp.diff.gz,Illumina NextSeq 500
GSE98266,GSE98266_Murano_DSS_d0_Cuffdiff_gene_differential_expression_testing_.txt.gz,Illumina MiSeq
GSE99938,GSE99938_RNAseq_CuffDiff_diff_gene_exp.tab.gz,Illumina HiSeq 2500
GSE81834,GSE81834_489_614_Schizont_Cuffdiff.xlsx.gz-sheet-Transcript Diff. Expression,Illumina HiSeq 2500
GSE94587,GSE94587_DESEQ_Male_WT_vs_Male_del.txt.gz,Illumina HiSeq 2000
GSE96945,GSE96945_WT-1_WT-2.vs.OX-1_OX-2.xls.gz,Illumina HiSeq 2500
GSE89115,GSE89115_DEG.xls.gz-sheet-DEG_setC_setA,Illumina HiSeq 2000
GSE89115,GSE89115_DEG.xls.gz-sheet-DEG_setC_setE,Illumina HiSeq 2000
GSE89115,GSE89115_DEG.xls.gz-sheet-DEG_setE_setA,Illumina HiSeq 2000
GSE86442,GSE86442_gene_differential_expression.txt.gz,Illumina HiSeq 2000
GSE60191,GSE60191_RNA_halflives.xlsx.gz-sheet-Tabelle1,Illumina HiSeq 2000
GSE75787,GSE75787_gene_exp.diff.txt.gz,Illumina HiSeq 2500
GSE68998,GSE68998_DiffExpDeseq2_mdx2_NOut_3.6.14.csv.gz,Illumina HiSeq 2500
GSE68460,GSE68460_WSVSBS_gene_diff.xls.gz-sheet-Sheet1,Illumina HiSeq 2000
GSE53789,GSE53789_GFP_LCM_x_WT_FACS-not_significant.diff.txt.gz,Illumina HiSeq 2000
GSE63707,GSE63707_DEXSeqResults_AretIR_72h_vs_IFMWT_72h.txt.gz,Illumina HiSeq 2000
GSE49097,GSE49097_Within_A_gene_exp.diff.gz,Illumina HiSeq 2000
GSE51119,GSE51119_bHLH159ox_vs_Col_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE49581,GSE49581_lincBrn1b_All_timepoints_cuffdiff.tab.gz,Illumina HiSeq 2000
GSE50156,GSE50156_nmt1-hsf1_MMThi-_AND_WT_MMThi-.txt.gz,Illumina HiSeq 2000
GSE83360,GSE83360_hg19_CsiRNA_Rsf1siRNA_Cuffdiff_on_data_1__data_2__and_data_17_gene_differential_expression_testing.tabular.txt.gz,Illumina HiSeq 2500
GSE115845,GSE115845_gene_exp.diff.gz,Illumina HiSeq 2000
GSE117632,GSE117632_387_Hypoxia_vs_Normoxia_RNAseq_Processed.xlsx.gz,Illumina HiSeq 4000
GSE106768,GSE106768_WT_v_rsc2d_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
GSE100954,GSE100954_WTvsTet1KO_gene_exp.diff.gz,Illumina NextSeq 500
GSE98266,GSE98266_Murano_DSS_d11_Cuffdiff_gene_differential_expression_testing_.txt.gz,Illumina MiSeq
GSE103747,GSE103747_All_info.txt.gz,Illumina HiSeq 2500
GSE87089,GSE87089_Supplementary_data.xls.gz-sheet-differentially expressed genes,Illumina HiSeq 2000
GSE81834,GSE81834_489_614_oo-spz_CuffDiff.xlsx.gz-sheet-Diff Transcription,Illumina HiSeq 2500
GSE97395,GSE97395_Treat_vs_control_diff.txt.gz,Illumina HiSeq 2500
GSE84450,GSE84450_WT_UTvsKO_DTT_gene_exp.diff.gz,Illumina HiSeq 2500
GSE81858,GSE81858_AA_ABBB_gene_exp.diff.gz,Illumina HiSeq 2500
GSE70108,GSE70108_G263_CuffDiff_WTvsDDX5Tko.tabular.txt.gz,Illumina HiSeq 2500
GSE72491,GSE72491_PCBP2_KO_v_WT_DESeq_gencode.all.name.txt.gz,Illumina HiSeq 2500
GSE70699,GSE70699_gene_exp.diff.gz,Illumina HiSeq 2000
GSE68460,GSE68460_gene_exp.xls.gz-sheet-Sheet1,Illumina HiSeq 2000
GSE63707,GSE63707_DEXSeqResults_IFMWT_03d_vs_jump_0d.txt.gz,Illumina HiSeq 2000
GSE63884,GSE63884_gene_exp.diff_cenpk_imx372_aerobic.txt.gz,Illumina HiSeq 2500
GSE61566,GSE61566_cds_exp.diff.gz,Illumina HiSeq 2000
GSE49097,GSE49097_Within_B_gene_exp.diff.gz,Illumina HiSeq 2000
GSE51645,GSE51645_ASE_processed_data.txt.gz,Illumina Genome Analyzer II
GSE50156,GSE50156_ssa2D_AND_WT_24oC.txt.gz,Illumina HiSeq 2000
GSE36959,GSE36959_gene_exp_diff.txt.gz,Illumina Genome Analyzer II
GSE83360,GSE83360_hg19_Rsf1siRNA_RNF2siRNA_Cuffdiff_on_data_2__data_3__and_data_17_gene_differential_expression_testing.tabular.txt.gz,Illumina HiSeq 2500
GSE111911,GSE111911_gene_exp.diff.gz,Illumina HiSeq 2500
GSE117632,GSE117632_Hypoxia_ALKBH1_Knockdown_RNAseq_Processed.xlsx.gz-sheet-DESeq2 Results,Illumina HiSeq 4000
GSE118239,GSE118239_RP.gene_exp.diff.gz,Illumina HiSeq 2000
GSE106768,GSE106768_WT_v_rtt102d_gene_differential_expression_testing.txt.gz,Illumina HiSeq 2500
