Accession,Supplementary file name,True nulls proportion,histclus,code,type,Type,comment
GSE51975,GSE51975_C_v_OVOL1_isoform_exp.diff.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL2_gene_exp.diff.gz,0.94,#440154FF,NA,NA,NA,NA
GSE51975,GSE51975_C_v_OVOL2_isoform_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE52038,GSE52038_Supplementary-table-1-date11021.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE52058,GSE52058_Cuffdiff_Dana_TestisOvary.gene_exp.diff.gz,0.35,#22A884FF,NA,NA,NA,NA
GSE52058,GSE52058_Cuffdiff_Dpse_TestisOvary.gene_exp.diff.gz,0.42,#22A884FF,NA,NA,NA,NA
GSE52080,GSE52080_processed_data.txt.gz,0.82,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE52153,GSE52153_czt-1DMSOvsczt-1STS.txt.gz,0.55,#22A884FF,NA,NA,NA,NA
GSE52153,GSE52153_wtDMSOvsczt-1DMSO.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE52153,GSE52153_wtDMSOvswtSTS.txt.gz,0.71,#22A884FF,NA,NA,NA,NA
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE52284,GSE52284_gene_exp.diff.gz,0.97,#440154FF,NA,NA,NA,NA
GSE52367,GSE52367_Cuflinks_2338_2339.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE52385,GSE52385_siCtrl_VS_siSRA_assemblenewgenes.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE52385,GSE52385_siCtrl_VS_siSRA_notassemblenewgenes.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE52402,GSE52402_B19P16_B20P3_RPKM.txt.gz,0.63,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE52450,GSE52450_Cuffdiff_on_pre-pro-B_and_pro-B_aligned_reads_transcript_differential_expression_testing_Bv46.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE52502,GSE52502_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE52911,GSE52911_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53022,GSE53022_mt_vs_wt.DESeq.txt.gz,1.00,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,0.93,#440154FF,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX129.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX34.txt.gz,0.98,#440154FF,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtTX87.txt.gz,0.94,#440154FF,NA,NA,NA,NA
GSE53040,GSE53040_wtDMSOvswtXP13.txt.gz,0.69,#22A884FF,NA,NA,NA,NA
GSE53470,GSE53470_gene_exp_P251_PCJ_3rep_combined.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53470,GSE53470_gene_exp_P251_PJD_3rep_combined.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53599,GSE53599_D5-1322_vs_RLuc-713_24hrs.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53599,GSE53599_D5-1322_vs_RLuc-713_48hrs.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE53599,GSE53599_D5-2086_vs_RLuc-713_24hrs.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53599,GSE53599_D5-2086_vs_RLuc-713_48hrs.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE53653,GSE53653_st10.5_Foxh1_MO_gene_exp_diff.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE53653,GSE53653_st10.5_SB431542_gene_exp_diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_GFP_FACS_x_GFP_LCM-not_significant.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_GFP_FACS_x_WT_FACS-not_significant.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_GFP_LCM_x_GFP_FACS-not_significant.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_GFP_LCM_x_WT_FACS-not_significant.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_WT_FACS_x_GFP_FACS-not_significant.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53789,GSE53789_WT_FACS_x_GFP_LCM-not_significant.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE53976,GSE53976_gene_exp.diff.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE54240,GSE54240_phoP_RNA-seq.tsv.gz,1.00,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE54246,GSE54246_Control_vs._4_NQO_Tongue_gene_exp.xlsx.gz,0.94,#440154FF,NA,NA,NA,NA
GSE54286,GSE54286_Lys_sup_pelle_rs_mvhip_Exp.txt.gz,0.96,#440154FF,NA,NA,NA,NA
GSE54433,GSE54433_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE54440,GSE54440_WT_Z2_RNAseq_rep2.txt.gz,0.51,#22A884FF,NA,NA,NA,NA
GSE54473,GSE54473_Suv420_gene_exp.xlsx.gz-sheet-gene_exp,0.91,#440154FF,NA,NA,NA,NA
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,0.93,#2A788EFF,NA,NA,NA,NA
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE54602,GSE54602_D4_D8_D11_D14_isoform_exp.diff.parsed.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE54641,GSE54641_cuffdiff2_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE54641,GSE54641_DESeq.txt.gz,0.94,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE54846,GSE54846_130529.DESeq.120813.combined-htseq-Luc123-m1_123.HGNC.protein_coding.rsgt20.txt.gz,0.79,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C1_WtE8.0_Vs_Wt10.0,0.98,#414487FF,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C2_Wt_VS_ Tc E8.0,0.99,#414487FF,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C3_Wt_VS_Tc_E10.0,0.99,#414487FF,NA,NA,NA,NA
GSE54982,GSE54982_Differential_Gene_Expression_Summary.xlsx.gz-sheet-C4_TcE8.0_VS_TcE10.0,0.99,#414487FF,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-EBDay4_ControlVSBrachyuryKD,0.99,#414487FF,NA,NA,NA,NA
GSE54984,GSE54984_Differential_Gene_Expression_Summary.xlsx.gz-sheet-ESCs_VS_EBDay4,0.94,#440154FF,NA,NA,NA,NA
GSE55090,GSE55090_cds_exp.diff.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE55090,GSE55090_gene_exp.diff.txt.gz,0.84,#440154FF,NA,NA,NA,NA
GSE55090,GSE55090_isoform_exp.diff.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE55090,GSE55090_tss_group_exp.diff.txt.gz,0.86,#440154FF,NA,NA,NA,NA
GSE55394,GSE55394_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE55528,GSE55528_gene_exp_PA.diff.gz,0.56,#22A884FF,NA,NA,NA,NA
GSE55596,GSE55596_alldiff_nonovel.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE55596,GSE55596_LOLOdiff_nonovel.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE55682,GSE55682_16h.xls.gz,1.00,#440154FF,NA,NA,NA,NA
GSE55682,GSE55682_20h.xls.gz,1.00,#440154FF,NA,NA,NA,NA
GSE55682,GSE55682_24h.xls.gz,1.00,#440154FF,NA,NA,NA,NA
GSE55682,GSE55682_48h.xls.gz,1.00,#440154FF,NA,NA,NA,NA
GSE55682,GSE55682_Baf250a6days.csv.gz,1.00,#440154FF,NA,NA,NA,NA
GSE55870,GSE55870_CAF90vsNF1493.xlsx.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE56013,GSE56013_A.Wildtype_wholefly_DCVrel.Mock.txt.gz,0.99,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE56013,GSE56013_B.G9amutant_wholefly_DCVrel.Mock.txt.gz,0.99,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE56013,GSE56013_E.Wildtype_fatbody_DCVrel.Mock.txt.gz,0.98,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE56013,GSE56013_F.G9amutant_fatbody_DCVrel.Mock.txt.gz,0.97,#440154FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE56013,GSE56013_I.G9amutant_rel.to_Wildtype_DCV_WholeFly.txt.gz,0.99,#440154FF,3,4,other,Test assumptions violated? Adjusted P values?
GSE56013,GSE56013_J.G9amutant_rel.to_Wildtype_DCV_Fatbody.txt.gz,0.96,#440154FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE56052,GSE56052_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE56073,GSE56073_PARP-1-KD_tss_group_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE56073,GSE56073_PARylation_tss_group_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE56097,GSE56097_Cufflinks_CuffDiff_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE56122,GSE56122_IFN-gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE56122,GSE56122_LPS-gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.57,#22A884FF,NA,NA,NA,NA
GSE56132,GSE56132_Pm_Si_expression.txt.gz,0.67,#22A884FF,NA,NA,NA,NA
GSE56169,GSE56169_normalized_RNASeq_Ctrl_vs_E2a.txt.gz,0.37,#22A884FF,NA,NA,NA,NA
GSE56284,GSE56284_gene_exp.txt.gz,0.87,#440154FF,NA,NA,NA,NA
GSE56346,GSE56346_wtNplus_vs_wtNminus_DESeq_output.txt.gz,0.36,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE56575,GSE56575_cds_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE56966,GSE56966_IL6Ra_WT.xlsx.gz-sheet-gene_exp,1.00,#440154FF,NA,NA,NA,NA
GSE56966,GSE56966_IL6Ra_WT.xlsx.gz-sheet-gene_notest,1.00,#414487FF,NA,NA,NA,NA
GSE56966,GSE56966_MyD88_WT.xlsx.gz-sheet-gene_exp,1.00,#440154FF,NA,NA,NA,NA
GSE56966,GSE56966_MyD88_WT.xlsx.gz-sheet-gene_notest,1.00,#414487FF,NA,NA,NA,NA
GSE57217,GSE57217_bck1wt_geneexp_diff.txt.gz,0.73,#440154FF,NA,NA,NA,NA
GSE57217,GSE57217_mkk2wt_geneexp_diff.txt.gz,0.80,#440154FF,NA,NA,NA,NA
GSE57217,GSE57217_mpk1wt_geneexp_diff.txt.gz,0.77,#440154FF,NA,NA,NA,NA
GSE57227,GSE57227_PHH_GW_vs_DMSO_RNA_seq_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE57254,GSE57254_Control_CELF1KD_abundances.txt.gz,0.98,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE57396,GSE57396_Cuttdiff_cds_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE57397,GSE57397_degexp.KO-REC-REP1-RNA.vs.KO-HS-REP1-RNA.output_score.txt.gz,0.38,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE57397,GSE57397_degexp.KO-REC-REP2-RNA.vs.KO-HS-REP2-RNA.output_score.txt.gz,0.39,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE57397,GSE57397_degexp.WT-REC-REP1-RNA.vs.WT-HS-REP1-RNA.output_score.txt.gz,0.34,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE57397,GSE57397_degexp.WT-REC-REP2-RNA.vs.WT-HS-REP2-RNA.output_score.txt.gz,0.37,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE57482,GSE57482_output_score.txt.gz,0.25,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE57517,GSE57517_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE57680,GSE57680_RPKM_luminal_epithelium.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE57680,GSE57680_RPKM_stroma.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE57682,GSE57682_Id2_3_Treg_G42_Cuffdiff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE58082,GSE58082_gene_exp.diff.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE58115,GSE58115_4858DM98-3_VS_4858C6_differential_all.txt.gz,0.79,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE58326,GSE58326_gene_exp.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE58359,GSE58359_HOXA9.txt.gz,0.93,#2A788EFF,NA,NA,NA,NA
GSE58360,GSE58360_Cebpa.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE58379,GSE58379_RBM47_alternative_splicing.txt.gz,0.94,#440154FF,NA,NA,NA,NA
GSE58405,GSE58405_gene_exp.diff.gz,0.74,#440154FF,NA,NA,NA,NA
GSE58405,GSE58405_isoform_exp.diff.gz,0.89,#440154FF,NA,NA,NA,NA
GSE58464,GSE58464_RNA-seq_tophat_microrazers_results.txt.gz,0.95,#414487FF,NA,NA,NA,NA
GSE58464,GSE58464_RNA-seq_tophat_microrazers_results.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE58495,GSE58495_diffexp_LSK.txt.gz,0.58,#22A884FF,NA,NA,NA,NA
GSE58495,GSE58495_diffexp_LSK.txt.gz,0.66,#440154FF,NA,NA,NA,NA
GSE58586,GSE58586_RNAseq-PDX-paired-tr-vs-untr_allintensity-filtered.txt.gz,0.97,#440154FF,5,4,other,Test assumptions violated? Adjusted P values?
GSE58609,GSE58609_MEF_WT_DKO.deseq.txt.gz,0.94,#2A788EFF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE58609,GSE58609_MEF_WT_DKO.deseq.txt.gz,0.99,#414487FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE58865,GSE58865_Hyphae_vs_Oidia_DESeq_results.txt.gz,0.46,#22A884FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE58910,GSE58910_SenescentAstrocytesDEanalysis_v2.csv.gz,0.76,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE59017,GSE59017_gene_exp.diff.gz,1.00,#440154FF,NA,NA,NA,NA
GSE59017,GSE59017_isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE59020,GSE59020_ETS1_gene_exp_all.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE59020,GSE59020_U0126_gene_exp_all.diff.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE59290,GSE59290_ANTI_isoform_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE59290,GSE59290_MIR_isoform_exp.diff.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE59481,GSE59481_PIG_vs_GFP_DE_genes.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE59571,GSE59571_S13113_genesdiff.xlsx,0.70,#22A884FF,NA,NA,NA,NA
GSE59621,GSE59621_gene_exp.diff.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE59705,GSE59705_DEXseqresultstable.txt.gz,0.95,#2A788EFF,5,4,other,Test assumptions violated? Adjusted P values?
GSE59715,GSE59715_finalHiCRNAseqTable.csv.gz,0.73,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE59781,GSE59781_gene_exp.diff.gz,0.82,#440154FF,NA,NA,NA,NA
GSE59814,GSE59814_processed_data.txt.gz,0.53,#22A884FF,NA,NA,NA,NA
GSE59850,GSE59850_redgrn_early_cuffdiff_out.diff.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE59850,GSE59850_redgrn_late_cuffdiff_out.diff.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE59850,GSE59850_redrho_late_cuffdiff_out.diff.txt.gz,0.98,#440154FF,NA,NA,NA,NA
GSE59850,GSE59850_redvio_late_cuffdiff_out.diff.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE59850,GSE59850_rhogrn_early_cuffdiff_out.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE59980,GSE59980_RNA-seq_598-SKD.txt.gz,0.39,#22A884FF,NA,NA,NA,NA
GSE59980,GSE59980_RNA-seq_598-SKD.txt.gz,0.67,#440154FF,NA,NA,NA,NA
GSE60171,GSE60171_cuffdiff.FGF-1day.vs.iBET-1day.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE60171,GSE60171_cuffdiff.FGF-5days.vs.iBET-5days.txt.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE60177,GSE60177_PseudomonasDESeq.txt.gz,0.99,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60191,GSE60191_RNA_halflives.xlsx.gz-sheet-Tabelle1,0.32,#22A884FF,NA,NA,NA,NA
GSE60441,GSE60441_gene_exp.diff.gz,0.79,#440154FF,NA,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_gene_exp.diff.gz,0.86,#440154FF,NA,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_isoform_exp.diff.gz,0.96,#414487FF,NA,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_splicing.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE60641,GSE60641_AB03_2.xlsx.gz,0.79,#440154FF,NA,NA,NA,NA
GSE60642,GSE60642_AB056_2.xlsx.gz,0.78,#440154FF,NA,NA,NA,NA
GSE60642,GSE60642_AB056_2.xlsx.gz,0.78,#440154FF,NA,NA,NA,NA
GSE60642,GSE60642_AB056_2.xlsx.gz,0.85,#440154FF,NA,NA,NA,NA
GSE60691,GSE60691_processed_data_aso_wild_type.txt.gz,0.94,#440154FF,NA,NA,NA,NA
GSE60691,GSE60691_processed_data_krkr_sumo_mut.txt.gz,0.94,#440154FF,NA,NA,NA,NA
GSE60701,GSE60701_AL_R_vs_AL_L.diff_expressed_transcripts.tsv.gz,0.95,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE60701,GSE60701_ChL_R_vs_AL_R.diff_expressed_transcripts.tsv.gz,0.90,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE60701,GSE60701_ChL_R_vs_ChL_L.diff_expressed_transcripts.tsv.gz,0.97,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE60756,GSE60756_Richards_092013_B6_vs_Cast_DESeq_Stats-NormSignal_Annotated.txt.gz,1.00,#440154FF,0,0,uniform,No false H0-s can be detected
GSE60822,GSE60822_cuffdiff.control.ablation.tab.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE60822,GSE60822_cuffdiff.control.induction.tab.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE60822,GSE60822_cuffdiff.induction.ablation.tab.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE60825,GSE60825_Differential_Expression.xlsx-sheet-Cntl Normoxia vs ELT-2 Normoxia,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60825,GSE60825_Differential_Expression.xlsx-sheet-Cntrl Hypoxia vs ELT-2 Hypoxia,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60825,GSE60825_Differential_Expression.xlsx-sheet-Cntrl Hypoxia vs ELT-2 Normoxia,1.00,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60825,GSE60825_Differential_Expression.xlsx-sheet-Cntrl Normoxia vs Cntrl Hypoxia,1.00,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60825,GSE60825_Differential_Expression.xlsx-sheet-Cntrl Normoxia vs ELT-2 Hypoxia,1.00,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60825,GSE60825_Differential_Expression.xlsx-sheet-ELT-Normoxia vs ELT-2 Hypoxia,1.00,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE60968,GSE60968_VEC_vs_CRE_DE.txt.gz,0.38,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE61031,GSE61031_DE_polyaWT_vs_polyaKO.txt.gz,0.81,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE61033,GSE61033_DE_exonWT_vs_exonKOnoRN.txt.gz,0.70,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE61033,GSE61033_DE_intronWT_vs_intronKOnoRN.txt.gz,0.86,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE61202,GSE61202_NICvsMOdifferential_expression.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE61238,GSE61238_gene_exp.diff.gz,0.96,#414487FF,NA,NA,NA,NA
GSE61336,GSE61336_results_167_vs_WTL.txt.gz,0.90,#440154FF,NA,NA,NA,NA
GSE61336,GSE61336_results_167_vs_WTZ.txt.gz,0.88,#440154FF,NA,NA,NA,NA
GSE61336,GSE61336_results_WTL_vs_WTZ.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE61351,GSE61351_Cont_ComparedTo_PTH_D28_CuffDiffAnalysis1.xls.gz,0.78,#440154FF,NA,NA,NA,NA
GSE61491,GSE61491_CHDKD_differential_expression.txt.gz,0.95,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE61566,GSE61566_cds_exp.diff.gz,0.80,#440154FF,NA,NA,NA,NA
GSE61566,GSE61566_cds.diff.gz,0.98,#414487FF,NA,NA,NA,NA
GSE61566,GSE61566_gene_exp.diff.gz,0.74,#440154FF,NA,NA,NA,NA
GSE61566,GSE61566_isoform_exp.diff.gz,0.86,#440154FF,NA,NA,NA,NA
GSE61566,GSE61566_promoters.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE61566,GSE61566_splicing.diff.gz,0.99,#414487FF,NA,NA,NA,NA
GSE61566,GSE61566_tss_group_exp.diff.gz,0.80,#440154FF,NA,NA,NA,NA
GSE61690,GSE61690_DormantvsNondormant_meristems.txt.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE61733,GSE61733_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE61796,GSE61796_NG_Induced_transcript_changes.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE61845,GSE61845_gene_exp.diff.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE61851,GSE61851_genelist-sortedbypadj.txt.gz,0.68,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE61954,GSE61954_all_genes_expression_values_supp_table.txt.gz,0.77,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE61969,GSE61969_gene_exp.diff.gz,0.96,#440154FF,NA,NA,NA,NA
GSE62040,GSE62040_gene_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE62633,GSE62633_Differential_expression_table.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE62647,GSE62647_Setd8_differential_expression_analyses.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE62668,GSE62668_Embryo.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE62668,GSE62668_Sperm.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE62760,GSE62760_Acute_Cuffdiff_DGE.txt.gz,0.94,#2A788EFF,NA,NA,NA,NA
GSE62760,GSE62760_Chronic_Cuffdiff_DGE.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE62909,GSE62909_Differential_gene_exp.diff.gz,0.87,#440154FF,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz,0.97,#440154FF,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz,0.99,#440154FF,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz,0.99,#440154FF,NA,NA,NA,NA
GSE63091,GSE63091_diffana_DESeq_GFP-4A3-Y14_MLN51-UPF1.Ensembl65.tsv.gz,1.00,#440154FF,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__24K__vs_control__0K_.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__24S__vs_control__0S_.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__6K__vs_control__0K_.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__6S__vs_control__0S_.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE63141,GSE63141_eTMglc_gene_exp.diff.gz,0.95,#440154FF,NA,NA,NA,NA
GSE63141,GSE63141_eTMgly_gene_exp.diff.gz,0.78,#440154FF,NA,NA,NA,NA
GSE63161,GSE63161_diff-Gene-list.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE63224,GSE63224_All_unigene_expression.txt.gz,0.94,#440154FF,15,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,0.94,#440154FF,13,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,0.98,#440154FF,15,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,0.98,#440154FF,13,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,0.99,#2A788EFF,15,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,0.99,#2A788EFF,13,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,1.00,#2A788EFF,15,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,1.00,#2A788EFF,13,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,1.00,#2A788EFF,15,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,1.00,#2A788EFF,13,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,1.00,#2A788EFF,15,4,other,Test assumptions violated? Adjusted P values?
GSE63224,GSE63224_All_unigene_expression.txt.gz,1.00,#2A788EFF,13,4,other,Test assumptions violated? Adjusted P values?
