Accession,suppdata_id,Type,pi0,Type_after_filter,pi0_after_filter
GSE68360,GSE68360_cds.diff.gz,bimodal,NA,NA,NA
GSE56013,GSE56013_E.Wildtype_fatbody_DCVrel.Mock.txt.gz,conservative,NA,NA,NA
GSE46502,GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff,conservative,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz,conservative,NA,NA,NA
GSE36710,GSE36710_RBFOX1_Splicing_Events.txt.gz,conservative,NA,NA,NA
GSE102231,GSE102231_STregs_vs_ITreglo.gene_exp.diff.gz,conservative,NA,NA,NA
GSE109322,GSE109322_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE111148,GSE111148_Astrocyte_Kir4.1cKO_DESeq2output.csv.gz,spiky,NA,NA,NA
GSE104420,GSE104420_CVM_cuffdiffresult.txt.gz,bimodal,NA,NA,NA
GSE99825,GSE99825_difference.txt.gz,conservative,NA,NA,NA
GSE75640,GSE75640_HR2_vs_control_2_gene_exp.diff.gz,conservative,NA,NA,NA
GSE81707,GSE81707_N2_HC125_RNA-seq_SingleEnd_gene_exp_diff.xlsx,conservative,NA,NA,NA
GSE81593,GSE81593_2.Mcf10A_Vec_and_Hras.xlsx,bimodal,NA,anti-conservative,0.6298032765250391
GSE77901,GSE77901_SLNCR1deltacons_vs_vector.deseq.txt.gz,bimodal,NA,anti-conservative,0.5729115124681592
GSE68360,GSE68360_cds_exp.diff.gz,bimodal,NA,NA,NA
GSE56013,GSE56013_F.G9amutant_fatbody_DCVrel.Mock.txt.gz,conservative,NA,NA,NA
GSE49313,GSE49313_DRRi_GFPi_cds_exp.diff.txt.gz,conservative,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE35616,GSE35616_DESeq.txt.gz,spiky,NA,anti-conservative,0.8686388757778525
GSE36710,GSE36710_RBFOX1_Transcriptional_Events.txt.gz,bimodal,NA,anti-conservative,0.9984598678445076
GSE121795,GSE121795_ResultsDESeqpaired.csv.gz,other,NA,other,NA
GSE110971,GSE110971_Sm_vs_PBS_Gexon_KwGn_DESeq2-All_2.anntNM.txt.gz,other,NA,uniform,NA
GSE72286,GSE72286_548B_Ter119+-gene_exp.diff.gz,conservative,NA,NA,NA
GSE102987,GSE102987_klph_ko_wt_gene_exp.diff.gz,conservative,NA,NA,NA
GSE104420,GSE104420_HC_cuffdiffresult.txt.gz,bimodal,NA,NA,NA
GSE77422,GSE77422_H358_Control-GNF5.xlsx-sheet-Sheet1,conservative,NA,NA,NA
GSE75332,GSE75332_Ad_AGGF1vsAd_NC.Differential_analysis_results.txt.gz,other,NA,NA,NA
GSE86202,GSE86202_1_TreatVSControl_circRNA_differential_expression.xlsx,spiky,NA,NA,NA
GSE74196,GSE74196_SnapC_gene_exp.diff.gz,conservative,NA,NA,NA
GSE68360,GSE68360_gene_exp.diff.gz,conservative,NA,NA,NA
GSE70283,GSE70283_cuffdiff_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE56013,GSE56013_I.G9amutant_rel.to_Wildtype_DCV_WholeFly.txt.gz,spiky,NA,NA,NA
GSE58082,GSE58082_gene_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE49313,GSE49313_PhanDRR1.2_PhanGFP_cds_exp.diff.txt.gz,conservative,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE122950,GSE122950_isoform_exp_diff.xls.gz-sheet-Control_vs_Treated,conservative,NA,NA,NA
GSE115102,GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx-sheet-p53_KO,bimodal,NA,NA,NA
GSE115102,GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx-sheet-p53_Cry_TKO,bimodal,NA,NA,NA
GSE106440,GSE106440_gene_exp.diff.gz,conservative,NA,NA,NA
GSE72286,GSE72286_560I548B_Ter119+gene_exp.diff.gz,conservative,NA,NA,NA
GSE107133,GSE107133_20141113_Rodriguez_Maize_MACE.txt.gz-set-0,conservative,NA,NA,NA
GSE107133,GSE107133_20141113_Rodriguez_Maize_MACE.txt.gz-set-1,bimodal,NA,NA,NA
GSE110998,GSE110998_gene_exp_N2_vs_fog2_N6_PC_GEO.xlsx.gz-sheet-gene_exp.diff,conservative,NA,NA,NA
GSE111244,GSE111244_gene_exp.diff.Th0_48h.txt.gz,conservative,NA,NA,NA
GSE103670,GSE103670_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE93748,GSE93748_shTAZ_in_DU145_proceeded_data.xlsx,spiky,NA,anti-conservative,0.9053412293054399
GSE96814,GSE96814_Deseq2_MS2RsaA.xlsx-sheet-Feuil1,other,NA,other,NA
GSE77422,GSE77422_PC9M_Control-GNF5.xlsx,conservative,NA,NA,NA
GSE70833,GSE70833_Rennoll_et_al_processed_data.xlsx-sheet-Cuffdiff,conservative,NA,NA,NA
GSE68360,GSE68360_isoform_exp.diff.gz,bimodal,NA,NA,NA
GSE56013,GSE56013_J.G9amutant_rel.to_Wildtype_DCV_Fatbody.txt.gz,conservative,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_gene_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE47399,GSE47399_diff_exp_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE72286,GSE72286_560I548B_Ter119-gene_exp.diff.gz,conservative,NA,NA,NA
GSE85653,GSE85653_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE110998,GSE110998_gene_exp_N2_vs_fog2_dT_PC_GEO.xlsx.gz-sheet-gene_exp.diff,conservative,NA,NA,NA
GSE111244,GSE111244_gene_exp.diff.Th17_48h.txt.gz,conservative,NA,NA,NA
GSE96552,GSE96552_SP_cont-vs-cKO_gene_exp.diff.gz,conservative,NA,NA,NA
GSE96814,GSE96814_Deseq_TotRNA.xlsx-sheet-Feuil1,other,NA,other,NA
GSE77422,GSE77422_PC9M_SCR-AA.xlsx,conservative,NA,NA,NA
GSE79724,GSE79724_DEseq_LG3-LG6-LG9_LG2-LG5-LG8_DEG_list.csv.gz,conservative,NA,other,NA
GSE81575,GSE81575_gene_exp.diff.gz,conservative,NA,NA,NA
GSE86202,GSE86202_Gene_differential_expression.xlsx,conservative,NA,NA,NA
GSE85950,GSE85950_EHEC_plusminus_Symbioflor.xlsx,spiky,NA,NA,NA
GSE83827,GSE83827_WT_vs_tf5.xlsx-sheet-gene_exp_diff,bimodal,NA,NA,NA
GSE76125,GSE76125_SenesUntreated_vs_SenesTreated_gene_exp.diff.gz,conservative,NA,NA,NA
GSE73289,GSE73289_gene_exp.diff.gz,conservative,NA,NA,NA
GSE68360,GSE68360_promoters.diff.gz,bimodal,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_isoform_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE107391,GSE107391_RNAseq_gene_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA
GSE121725,GSE121725_OVVSGSF_circRNA_differential_expression.xlsx,spiky,NA,NA,NA
GSE72286,GSE72286_560I_Ter119+-gene_exp.diff.gz,conservative,NA,NA,NA
GSE109615,GSE109615_gene_description.txt.gz-set-2,bimodal,NA,NA,NA
GSE85643,GSE85643_gene_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE98871,GSE98871_DESeq_Lambert_data.xlsx-sheet-siREST vs siCTRL,other,NA,other,NA
GSE96552,GSE96552_cKO_SP-vs-SR_gene_exp.diff.gz,conservative,NA,NA,NA
GSE95333,GSE95333_gene_exp_diff.txt.gz,bimodal,NA,NA,NA
GSE77422,GSE77422_PC9_Control-GNF5.xlsx,conservative,NA,NA,NA
GSE79723,GSE79723_DEseq_LG1401-LG437-LG8736_LG1405-LG435-LG8737_DEG_list.csv.gz,conservative,NA,anti-conservative,0.8909980308798193
GSE85321,GSE85321_Supplemental_Table_2_YAD_RNA_seq_.xls.gz-sheet-YAD_Diff analysis,bimodal,NA,NA,NA
GSE70314,GSE70314_Gal474_cuffdiff_sictrl.1_siAtad2.1_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA
GSE68360,GSE68360_splicing.diff.gz,bimodal,NA,NA,NA
GSE61845,GSE61845_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE52502,GSE52502_gene_exp.diff.gz,conservative,NA,NA,NA
GSE50554,GSE50554_Routine_gene.diff.gz,conservative,NA,NA,NA
GSE44333,GSE44333_d33_mock_vs_mhv_res_noNA.txt.gz,bimodal,NA,anti-conservative,0.9623244157421648
GSE122932,GSE122932_DifferentialExpression.xlsx-sheet-gRNA3_Cas9.vs.gRNA3,other,NA,NA,NA
GSE122932,GSE122932_DifferentialExpression.xlsx-sheet-ncapg2_gRNA3_Cas9.vs.phenol_red,other,NA,NA,NA
GSE122932,GSE122932_DifferentialExpression.xlsx-sheet-ncapg2_gRNA3.vs.phenol_red,other,NA,NA,NA
GSE107391,GSE107391_RNAseq_transcript_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA
GSE116819,GSE116819_xlaevisrnaseq-run1-results-diffexpr-genelist-treated-vs-control.csv.gz,other,NA,other,NA
GSE104607,GSE104607_Fold_change_Data_and_other_analysis_File.xlsx.gz-sheet-all,conservative,NA,NA,NA
GSE116815,GSE116815_DESeq2_DP_ASL.txt.gz,spiky,NA,anti-conservative,0.33852993399325326
GSE117610,GSE117610_PC9_parental_vs_DTC.csv.gz,uniform,NA,anti-conservative,0.6506955925962613
GSE85643,GSE85643_isoform_exp.diff.txt.gz,bimodal,NA,NA,NA
GSE96552,GSE96552_cont_SP-vs-SR_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE77422,GSE77422_PC9_SCR-AA.xlsx,conservative,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_3_YGD_RNA_seq_.xls.gz-sheet-YGD_Diff analysis,bimodal,NA,NA,NA
GSE50554,GSE50554_Routine_isoform.diff.gz,conservative,NA,NA,NA
GSE116815,GSE116815_DESeq2_DPlike_ASL.txt.gz,spiky,NA,anti-conservative,0.4062797479066279
GSE103607,GSE103607_deseq.toptable.xlsx,spiky,NA,anti-conservative,0.6249227273861565
GSE107207,GSE107207_res.genes.pietrain.a-b.csv.gz,uniform,NA,uniform,NA
GSE94840,GSE94840_Alox5_vs_Control.all.gene.result.txt.gz,other,NA,other,NA
GSE96072,GSE96072_Galaxy106-_Cuffdiff_on_data_40__data_39__and_others_transcript_differential_expression_testing_.tabular.txt.gz,bimodal,NA,NA,NA
GSE75614,GSE75614_processed_data_mrna-seq_differential_expression.xlsx,conservative,NA,NA,NA
GSE70314,GSE70314_Gal476_cuffdiff_sictrl.1_siAtad2.1_transcript_differential_expression_testing.txt.gz,bimodal,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE50554,GSE50554_Stringent_gene.diff.gz,conservative,NA,NA,NA
GSE43660,GSE43660_control_vs_IL4_1hr.txt.gz,bimodal,NA,NA,NA
GSE99347,GSE99347_H2AfZKO_WT.anno.txt.gz,bimodal,NA,NA,NA
GSE96072,GSE96072_Galaxy24-_Cuffdiff_on_data_7__data_6__and_others_transcript_differential_expression_testing_.tabular.txt.gz,bimodal,NA,NA,NA
GSE58467,GSE58467_FPKM.txt.gz,bimodal,NA,NA,NA
GSE73321,GSE73321_FW_VS_BW_expression_diff.txt.gz,other,NA,NA,NA
GSE86159,GSE86159_significance_calls_genes_overexpression.txt.gz,conservative,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_5_YAR_RNA_seq_.xls.gz-sheet-YAR diff. analysis,bimodal,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_isoform_exp.diff.gz,bimodal,NA,NA,NA
GSE71295,GSE71295_gene_exp.diff.gz,conservative,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__24K__vs_control__0K_.txt.gz,conservative,NA,NA,NA
GSE54240,GSE54240_phoP_RNA-seq.tsv.gz,bimodal,NA,other,NA
GSE50554,GSE50554_Stringent_isoform.diff.gz,conservative,NA,NA,NA
GSE43660,GSE43660_control_vs_IL4_4hr.txt.gz,bimodal,NA,NA,NA
GSE96072,GSE96072_Galaxy55-_Cuffdiff_on_data_2__data_4__and_others_transcript_differential_expression_testing_.tabular.txt.gz,bimodal,NA,NA,NA
GSE89504,GSE89504_TSS_groups_exp.tabular.txt.gz,bimodal,NA,NA,NA
GSE85328,GSE85328_Leukaemia_MLL-AF9_RingKO.txt.gz,bimodal,NA,anti-conservative,0.759101895008019
GSE86159,GSE86159_significance_calls_genes_tam_timecourse.txt.gz,conservative,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_6_JHD2_OE_YAD_.xls.gz-sheet-OE_EV_YAD_Diff analysis,conservative,NA,NA,NA
GSE70314,GSE70314_Gal485_cuffdiff_sictrl.2_siAtad2.2_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_splicing.diff.gz,conservative,NA,NA,NA
GSE63836,GSE63836_Dx_versus_C15Dx.DESeq.txt.gz,bimodal,NA,anti-conservative,0.8313079142392034
GSE63133,GSE63133_D.rerio_SVCV_infected__24S__vs_control__0S_.txt.gz,conservative,NA,NA,NA
GSE61537,GSE61537_ahr-1ia03vsWild-type.xls.gz,conservative,NA,NA,NA
GSE59980,GSE59980_RNA-seq_598-SKD.txt.gz-set-0,spiky,NA,NA,NA
GSE57682,GSE57682_Id2_3_Treg_G42_Cuffdiff.txt.gz,conservative,NA,NA,NA
GSE50739,GSE50739_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE43660,GSE43660_control_vs_il33_1hr.txt.gz,bimodal,NA,NA,NA
GSE94724,GSE94724_gene_exp.diff.gz,conservative,NA,NA,NA
GSE97235,GSE97235_Nef_table.txt.gz,other,NA,other,NA
GSE86211,GSE86211_CmrA_transcriptome_Expression_of_all_genes.xlsx-sheet-PA14vsPJ01dT,other,NA,NA,NA
GSE94390,GSE94390_gene_expression.xls.gz-sheet-Named Genes,conservative,NA,NA,NA
GSE83265,GSE83265_gene_exp.diff.gz,conservative,NA,NA,NA
GSE87307,GSE87307_mRNA_processed_results.xlsx,bimodal,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_7_JHD2_OE_YAR_.xls.gz-sheet-OE_EV_YAR_Diff analysis,conservative,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__6K__vs_control__0K_.txt.gz,conservative,NA,NA,NA
GSE61537,GSE61537_ahr-1ju145vsWild-type.xls.gz,conservative,NA,NA,NA
GSE43660,GSE43660_control_vs_il33_4hr.txt.gz,bimodal,NA,NA,NA
GSE36695,GSE36695_H1H9KSR_SFM.txt.gz,conservative,NA,NA,NA
GSE86950,GSE86950_cuffdiff_WGS7_ATCC55737.xlsx,bimodal,NA,NA,NA
GSE108472,GSE108472_Soma_RNAseq.xlsx-sheet-diff_exp,spiky,NA,anti-conservative,0.907790731111166
GSE108678,GSE108678_PIPELINE_2_ALL_DATA.xlsx,conservative,NA,NA,NA
GSE89168,GSE89168_36hpupalCNS_WT_dStimKD_CuffDiff.txt.gz,conservative,NA,NA,NA
GSE71133,GSE71133_Supplementary_Table_2.xlsx-sheet-FC > 0,uniform,NA,other,NA
GSE71133,GSE71133_Supplementary_Table_2.xlsx-sheet-FC < 0,uniform,NA,other,NA
GSE70314,GSE70314_Gal487_cuffdiff_sictrl.2_siAtad2.2_transcript_differential_expression_testing.txt.gz,bimodal,NA,NA,NA
GSE59621,GSE59621_gene_exp.diff.txt.gz,conservative,NA,NA,NA
GSE62200,GSE62200_Table_S4.xls.gz-sheet-Table S5 N2Y6-E VS LYP9-E,conservative,NA,NA,NA
GSE62200,GSE62200_Table_S4.xls.gz-sheet-Table S4,bimodal,NA,NA,NA
GSE62668,GSE62668_Embryo.txt.gz,conservative,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__6S__vs_control__0S_.txt.gz,conservative,NA,NA,NA
GSE60171,GSE60171_cuffdiff.FGF-1day.vs.iBET-1day.txt.gz,conservative,NA,NA,NA
GSE36695,GSE36695_H1H9KSR_hfSFM.txt.gz,conservative,NA,NA,NA
GSE102543,GSE102543_p179_normalized_counts_table.xls.gz,other,NA,anti-conservative,0.9826384485110173
GSE112404,GSE112404_Figure2_sorted_RNAseq_P8_WT_vs_Opn4DTA_DTA.xlsx-sheet-LD-P8-WTB_LD-P8-DTAKO.csv,other,NA,NA,NA
GSE113688,GSE113688_HDP_4days_Gene_Exp.txt.gz,conservative,NA,NA,NA
GSE108471,GSE108471_Germline_RNAseq.xlsx-sheet-diff_exp,bimodal,NA,anti-conservative,0.4755263085578672
GSE98084,GSE98084_FPKM_Replicate_1.xlsx,uniform,NA,NA,NA
GSE87890,GSE87890_vgat1_csv.csv.gz,conservative,NA,NA,NA
GSE85416,GSE85416_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE89504,GSE89504_gene_exp.tabular.txt.gz,bimodal,NA,NA,NA
GSE83584,GSE83584_processed_data_Day0.txt.gz,conservative,NA,NA,NA
GSE62200,GSE62200_Table_S6.xls.gz,conservative,NA,other,NA
GSE62668,GSE62668_Sperm.txt.gz,conservative,NA,NA,NA
GSE60171,GSE60171_cuffdiff.FGF-5days.vs.iBET-5days.txt.gz,conservative,NA,NA,NA
GSE36695,GSE36695_H1KSR_H1SFM.txt.gz,bimodal,NA,NA,NA
GSE113688,GSE113688_JunB_WT_KO_Gene_Exp.txt.gz,conservative,NA,NA,NA
GSE98084,GSE98084_FPKM_Replicate_2.xlsx,uniform,NA,NA,NA
GSE86476,GSE86476_DESeq2_DEXUS_edgeR_results.xlsx-sheet-DESeq2,uniform,NA,uniform,NA
GSE86476,GSE86476_DESeq2_DEXUS_edgeR_results.xlsx-sheet-DEXUS,uniform,NA,NA,NA
GSE87890,GSE87890_vgat2_csv.csv.gz,conservative,NA,NA,NA
GSE89168,GSE89168_72hpupalCNS_WT_dStimKD+Recovery_CuffDiff.txt.gz,conservative,NA,NA,NA
GSE83584,GSE83584_processed_data_Day3_5.txt.gz,conservative,NA,NA,NA
GSE54473,GSE54473_Suv420_gene_exp.xlsx.gz-sheet-gene_exp,bimodal,NA,NA,NA
GSE53470,GSE53470_gene_exp_P251_PCJ_3rep_combined.diff.gz,conservative,NA,NA,NA
GSE36695,GSE36695_H1SFM_H9SFM.txt.gz,conservative,NA,NA,NA
GSE108800,GSE108800_Chr_dox_noDox_gene_exp.xlsx,conservative,NA,NA,NA
GSE108392,GSE108392_Henna_RNA_results_annotated_shPPFIA1_vs_shScr.xlsx,spiky,NA,anti-conservative,0.5065492084665792
GSE109111,GSE109111_CuffDiff_DGE_genes.txt.gz,conservative,NA,NA,NA
GSE108347,GSE108347_gene_exp.diff.gz,conservative,NA,NA,NA
GSE113688,GSE113688_WH_30days_Gene_Exp.txt.gz,conservative,NA,NA,NA
GSE98045,GSE98045_TSS_groups_differential_exp.txt.gz,conservative,NA,NA,NA
GSE100092,GSE100092_cds.diff.gz,conservative,NA,NA,NA
GSE106467,GSE106467_Isl-4R_vs_Isl-m1-Treg.gene_exp.csv.gz,conservative,NA,NA,NA
GSE98510,GSE98510_deSeq2_PTH_vs_C.txt.gz,other,NA,uniform,NA
GSE87890,GSE87890_vglut1_csv.csv.gz,conservative,NA,NA,NA
GSE81251,GSE81251_Kdm6a_def_mouse_expression_value.xlsx,spiky,NA,uniform,NA
GSE84296,GSE84296_Mouse_diff_exp_total.xls.gz-sheet-Sheet1,conservative,NA,NA,NA
GSE84296,GSE84296_Mouse_diff_exp_total.xls.gz-sheet-VEGFA,conservative,NA,NA,NA
GSE84296,GSE84296_Mouse_diff_exp_total.xls.gz-sheet-CXCR4,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P2_gene_exp_up,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P7_gene_exp_up,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P7_gene_exp_down,bimodal,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P7_P2_gene_exp_up,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P7_P2_gene_exp_down,bimodal,NA,NA,NA
GSE53470,GSE53470_gene_exp_P251_PJD_3rep_combined.diff.gz,conservative,NA,NA,NA
GSE58115,GSE58115_4858DM98-3_VS_4858C6_differential_all.txt.gz,bimodal,NA,NA,NA
GSE36695,GSE36695_H1SFM_hfSFM.txt.gz,conservative,NA,NA,NA
GSE35178,GSE35178_gene_exp.diff.gz,conservative,NA,NA,NA
GSE108798,GSE108798_CNOT1_CNOT7_shRNA.xlsx-sheet-noTarget vs CNOT1,conservative,NA,NA,NA
GSE108798,GSE108798_CNOT1_CNOT7_shRNA.xlsx-sheet-noTarget vs CNOT7,conservative,NA,NA,NA
GSE116462,GSE116462_Lncenc1_KD_deseq_table.txt.gz,uniform,NA,anti-conservative,0.9315134497438737
GSE107564,GSE107564_control.vs.shIMP_75_treated.txt.gz,conservative,NA,NA,NA
GSE98045,GSE98045_genes_differential_exp.txt.gz,bimodal,NA,NA,NA
GSE100092,GSE100092_cds_exp.diff.gz,conservative,NA,NA,NA
GSE101868,GSE101868_Human_Macrophages_Epithelium.txt.gz-set-0,conservative,NA,NA,NA
GSE101868,GSE101868_Human_Macrophages_Epithelium.txt.gz-set-1,bimodal,NA,NA,NA
GSE87890,GSE87890_vglut2_csv.csv.gz,conservative,NA,NA,NA
GSE88700,GSE88700_gene_exp.diff.gz,conservative,NA,NA,NA
GSE69205,GSE69205_gene_exp.txt.gz,conservative,NA,NA,NA
GSE84296,GSE84296_human_diff_exp_total.xls.gz,conservative,NA,NA,NA
GSE87240,GSE87240_gene_expnorliver.diff.gz,conservative,NA,NA,NA
GSE68736,GSE68736_gene_exp.diff.gz,conservative,NA,NA,NA
GSE83137,GSE83137_H2_vs_Lanact_pval.csv.gz,other,NA,other,NA
GSE72172,GSE72172_S2_vs_SIN3_187.txt.gz,bimodal,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P2_1_P2_3_gene_exp_up,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P2_1_P2_3_gene_exp_down,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P7_1_P7_2_gene_exp_up,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P7_1_P7_2_gene_exp_down,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P14_2_P14_3_gene_exp_up,conservative,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P14_2_P14_3_gene_exp_down,conservative,NA,NA,NA
GSE73893,GSE73893_Results_DEXseq.txt.gz,uniform,NA,NA,NA
GSE54286,GSE54286_Lys_sup_pelle_rs_mvhip_Exp.txt.gz,bimodal,NA,NA,NA
GSE36695,GSE36695_H9KSR_H9SFM.txt.gz,bimodal,NA,NA,NA
GSE35178,GSE35178_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE34329,GSE34329_processed_RNAseq_N_way_cuffdiff_combined_replicates_NIvIvPAvPS1145.diff.gz,conservative,NA,NA,NA
GSE116610,GSE116610_gene_expression_level.xlsx-sheet-wt vs hsrw66,conservative,NA,NA,NA
GSE116610,GSE116610_gene_expression_level.xlsx-sheet-wt vs hsp90 hsrw66,bimodal,NA,NA,NA
GSE116610,GSE116610_gene_expression_level.xlsx-sheet-hsrw66 vs hsp90 hsrw66,bimodal,NA,NA,NA
GSE116610,GSE116610_gene_expression_level.xlsx-sheet-wt vs hsp90,conservative,NA,NA,NA
GSE116610,GSE116610_gene_expression_level.xlsx-sheet-hsrw66 vs hsp90,conservative,NA,NA,NA
GSE116610,GSE116610_gene_expression_level.xlsx-sheet-hsp90 hsrw66 vs hsp90,bimodal,NA,NA,NA
GSE112936,GSE112936_Galaxy33-_OG1RF_R6_R7_D983_R4_R5_transcript_differential_expression_testing_.txt.gz,conservative,NA,NA,NA
GSE107564,GSE107564_control.vs.shIMP_77_treated.txt.gz,conservative,NA,NA,NA
GSE108662,GSE108662_KD_vs_NT_cuffdiff_gene_exp.txt.gz,conservative,NA,NA,NA
GSE109472,GSE109472_gene_exp.diff.gz,conservative,NA,NA,NA
GSE100092,GSE100092_gene_exp.diff.gz,conservative,NA,NA,NA
GSE99209,GSE99209_clones_A549_gene_exp.diff.gz,conservative,NA,NA,NA
GSE92620,GSE92620_J2EvsKLF3_RNA-seq.csv.gz,conservative,NA,NA,NA
GSE87890,GSE87890_vglut3_csv.csv.gz,conservative,NA,NA,NA
GSE87240,GSE87240_gene_expsk.diff.gz,conservative,NA,NA,NA
GSE77398,GSE77398_ribo_cuffdiff_genes.xls.gz,bimodal,NA,NA,NA
GSE67029,GSE67029_cuffdiff_mh_h8.txt.gz,bimodal,NA,NA,NA
GSE68813,GSE68813_Woolnough2015_CuffDiff_RNA-seq.xlsx-sheet-rep1 CuffDiff Mock vs AGO2-KD,conservative,NA,NA,NA
GSE68813,GSE68813_Woolnough2015_CuffDiff_RNA-seq.xlsx-sheet-rep2 CuffDiff Mock vs AGO2-KD,conservative,NA,NA,NA
GSE56052,GSE56052_gene_exp.diff.gz,conservative,NA,NA,NA
GSE60441,GSE60441_gene_exp.diff.gz,bimodal,NA,NA,NA
GSE36695,GSE36695_H9KSR_hfSFM.txt.gz,conservative,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-0,bimodal,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-1,bimodal,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-2,bimodal,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-3,spiky,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-4,spiky,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-5,bimodal,NA,NA,NA
GSE112936,GSE112936_Galaxy73-_OG1RF_vs_D983_BHI_transcript_differential_expression_testing_.txt.gz,conservative,NA,NA,NA
GSE109111,GSE109111_NTC_KD_DESeq_analysis_Result_Table.txt.gz,conservative,NA,uniform,NA
GSE107199,GSE107199_polyIC_vs._WT_ctrl_all.xlsx.gz-set-1,conservative,NA,NA,NA
GSE100092,GSE100092_isoform_exp.diff.gz,conservative,NA,NA,NA
GSE106467,GSE106467_Isl-4R_vs_Spl-4R.gene_exp.csv.gz,conservative,NA,NA,NA
GSE99209,GSE99209_clones_gene_exp.diff.gz,conservative,NA,NA,NA
GSE98232,GSE98232_transcripts_differential_wtDFL-invDFL.txt.gz,conservative,NA,other,NA
GSE92345,GSE92345_H9_I_pqvalues.poisson.txt.gz,conservative,NA,NA,NA
