Accession,suppdata_id,Type,pi0,SRP,pi01,fp,rs,ud
GSE61566,GSE61566_tss_group_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE105068,GSE105068_deseq_WT_versus_KO_lung_all_genes.txt.gz,uniform,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_ITeffhi_vs_ITefflo.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE94722,GSE94722_SA_vs_Media_genes.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE106688,GSE106688_cuffdiff_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE83455,GSE83455_cuffdiff_alltimepoints.xlsx,other,NA,NA,NA,NA,NA,NA
GSE81437,GSE81437_polyA_differential_gene_expression.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE94120,GSE94120_K562pos_rel_abundance_1x1.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85442,GSE85442_cuffdiff.gene_exp_diff.allg.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE80128,GSE80128_P035_DESeq_KO-WT_pathway.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE58053,GSE58053_1mm-over-0mm.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE59850,GSE59850_rhogrn_early_cuffdiff_out.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE49389,GSE49389_RNAseq_gene_exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE42443,GSE42443_Brg1cKO_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STreghi_vs_ITreghi.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE112248,GSE112248_1_vs_2.diff.exp.txt.annot.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102221,GSE102221_DESeq_silver_uninfected_vs_silver_infected.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE97129,GSE97129_CG9879_vs_WT_CuffDiff_Output_BDGP5.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE93339,GSE93339_e125_Yap-mt_lung_all_genes.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85385,GSE85385_RNA-seq_Mouse_Cell_Lines.xlsx-sheet-H3WT_EPZ_x_K27M_EPZ,other,NA,NA,NA,NA,NA,NA
GSE94120,GSE94120_SKNSHpos_rel_abundance_1x1.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85442,GSE85442_cuffdiff.isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE70584,GSE70584_Liberman2015_sorted_CUFFLINKS_gene_exp.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STreghi_vs_STreglo.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102142,GSE102142_FoxAaBra_gene_exp_diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE102221,GSE102221_DESeq_yellow_uninfected_vs_yellow_infected.xlsx,bimodal,NA,NA,NA,NA,NA,NA
GSE97129,GSE97129_Can_vs_WT_CuffDiff_Output_BDGP5.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE94120,GSE94120_U2OS-PcTF_rel_abundance_1x3.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE81493,GSE81493_Differential_gene_expression_analysis.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE85442,GSE85442_cuffdiff.tss_group_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE77902,GSE77902_WM1976_siRNA1_vs_control.deseq.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE74220,GSE74220_Expression_of_Protein_Coding_Genes_in_Control_and_IL1b_treated_human_chondrocytes.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE56013,GSE56013_A.Wildtype_wholefly_DCVrel.Mock.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14-OVOL1_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE120077,GSE120077_processed_data.xlsx-sheet-Complete_Sheet,other,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STreglo_vs_ITreglo.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102141,GSE102141_CYTB_gene_exp_diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE97129,GSE97129_Comr_vs_WT_CuffDiff_Output_BDGP5.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE94120,GSE94120_U2OSpos_rel_abundance_1x1.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE67001,GSE67001_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE77901,GSE77901_SLNCR1_vs_vector.deseq.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE56013,GSE56013_B.G9amutant_wholefly_DCVrel.Mock.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE123186,GSE123186_Lanno_et_al_2018_Cuffdiff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE117669,GSE117669_readcounts.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STregs_vs_ITreghi.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE100484,GSE100484_HL-60_Parental_vs_JMJD3_KO.diff.exp.xls.gz,conservative,NA,NA,NA,NA,NA,NA
GSE105128,GSE105128_result.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE94017,GSE94017_ATRA_versus_control_diff.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE98526,GSE98526_A2_vs_UA159T5.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE97129,GSE97129_Mip40_vs_WT_CuffDiff_Output_BDGP5.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE75640,GSE75640_HR1_vs_control_1_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE81707,GSE81707_N2_HC125_RNA-seq_PairedEnd_gene_exp_diff.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE81593,GSE81593_1.Mcf10A_p53delVec_and_p53delHras.xlsx,bimodal,NA,NA,NA,NA,NA,NA
GSE77901,GSE77901_SLNCR1cons_vs_vector.deseq.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE68360,GSE68360_cds.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE56013,GSE56013_E.Wildtype_fatbody_DCVrel.Mock.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE46502,GSE46502_diff_gene_exp_PR_all.xlsx.gz-sheet-gene_exp.diff,conservative,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL1_isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE36710,GSE36710_RBFOX1_Splicing_Events.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102231,GSE102231_STregs_vs_ITreglo.gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE109322,GSE109322_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE111148,GSE111148_Astrocyte_Kir4.1cKO_DESeq2output.csv.gz,spiky,NA,NA,NA,NA,NA,NA
GSE104420,GSE104420_CVM_cuffdiffresult.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE99825,GSE99825_difference.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE75640,GSE75640_HR2_vs_control_2_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE81707,GSE81707_N2_HC125_RNA-seq_SingleEnd_gene_exp_diff.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE81593,GSE81593_2.Mcf10A_Vec_and_Hras.xlsx,bimodal,NA,NA,NA,NA,NA,NA
GSE77901,GSE77901_SLNCR1deltacons_vs_vector.deseq.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE68360,GSE68360_cds_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE56013,GSE56013_F.G9amutant_fatbody_DCVrel.Mock.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE49313,GSE49313_DRRi_GFPi_cds_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_gene_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE35616,GSE35616_DESeq.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE36710,GSE36710_RBFOX1_Transcriptional_Events.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE121795,GSE121795_ResultsDESeqpaired.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE110971,GSE110971_Sm_vs_PBS_Gexon_KwGn_DESeq2-All_2.anntNM.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE72286,GSE72286_548B_Ter119+-gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102987,GSE102987_klph_ko_wt_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE104420,GSE104420_HC_cuffdiffresult.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE77422,GSE77422_H358_Control-GNF5.xlsx-sheet-Sheet1,conservative,NA,NA,NA,NA,NA,NA
GSE75332,GSE75332_Ad_AGGF1vsAd_NC.Differential_analysis_results.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE86202,GSE86202_1_TreatVSControl_circRNA_differential_expression.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE74196,GSE74196_SnapC_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE68360,GSE68360_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE70283,GSE70283_cuffdiff_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE56013,GSE56013_I.G9amutant_rel.to_Wildtype_DCV_WholeFly.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE58082,GSE58082_gene_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE49313,GSE49313_PhanDRR1.2_PhanGFP_cds_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-EMT14-OVOL2_isoform_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE122950,GSE122950_isoform_exp_diff.xls.gz-sheet-Control_vs_Treated,conservative,NA,NA,NA,NA,NA,NA
GSE115102,GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx-sheet-p53_KO,bimodal,NA,NA,NA,NA,NA,NA
GSE115102,GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx-sheet-p53_Cry_TKO,bimodal,NA,NA,NA,NA,NA,NA
GSE106440,GSE106440_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72286,GSE72286_560I548B_Ter119+gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE107133,GSE107133_20141113_Rodriguez_Maize_MACE.txt.gz-set-0,conservative,NA,NA,NA,NA,NA,NA
GSE107133,GSE107133_20141113_Rodriguez_Maize_MACE.txt.gz-set-1,bimodal,NA,NA,NA,NA,NA,NA
GSE110998,GSE110998_gene_exp_N2_vs_fog2_N6_PC_GEO.xlsx.gz-sheet-gene_exp.diff,conservative,NA,NA,NA,NA,NA,NA
GSE111244,GSE111244_gene_exp.diff.Th0_48h.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE103670,GSE103670_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE93748,GSE93748_shTAZ_in_DU145_proceeded_data.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE96814,GSE96814_Deseq2_MS2RsaA.xlsx-sheet-Feuil1,other,NA,NA,NA,NA,NA,NA
GSE77422,GSE77422_PC9M_Control-GNF5.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE70833,GSE70833_Rennoll_et_al_processed_data.xlsx-sheet-Cuffdiff,conservative,NA,NA,NA,NA,NA,NA
GSE68360,GSE68360_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE56013,GSE56013_J.G9amutant_rel.to_Wildtype_DCV_Fatbody.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_gene_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE47399,GSE47399_diff_exp_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72286,GSE72286_560I548B_Ter119-gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85653,GSE85653_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE110998,GSE110998_gene_exp_N2_vs_fog2_dT_PC_GEO.xlsx.gz-sheet-gene_exp.diff,conservative,NA,NA,NA,NA,NA,NA
GSE111244,GSE111244_gene_exp.diff.Th17_48h.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE96552,GSE96552_SP_cont-vs-cKO_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE96814,GSE96814_Deseq_TotRNA.xlsx-sheet-Feuil1,other,NA,NA,NA,NA,NA,NA
GSE77422,GSE77422_PC9M_SCR-AA.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE79724,GSE79724_DEseq_LG3-LG6-LG9_LG2-LG5-LG8_DEG_list.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE81575,GSE81575_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE86202,GSE86202_Gene_differential_expression.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE85950,GSE85950_EHEC_plusminus_Symbioflor.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE83827,GSE83827_WT_vs_tf5.xlsx-sheet-gene_exp_diff,bimodal,NA,NA,NA,NA,NA,NA
GSE76125,GSE76125_SenesUntreated_vs_SenesTreated_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE73289,GSE73289_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE68360,GSE68360_promoters.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE48230,GSE48230_PC3-EMT14_v_PC3-Epi_isoform_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE107391,GSE107391_RNAseq_gene_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE121725,GSE121725_OVVSGSF_circRNA_differential_expression.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE72286,GSE72286_560I_Ter119+-gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE109615,GSE109615_gene_description.txt.gz-set-2,bimodal,NA,NA,NA,NA,NA,NA
GSE85643,GSE85643_gene_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE98871,GSE98871_DESeq_Lambert_data.xlsx-sheet-siREST vs siCTRL,other,NA,NA,NA,NA,NA,NA
GSE96552,GSE96552_cKO_SP-vs-SR_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE95333,GSE95333_gene_exp_diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE77422,GSE77422_PC9_Control-GNF5.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE79723,GSE79723_DEseq_LG1401-LG437-LG8736_LG1405-LG435-LG8737_DEG_list.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_2_YAD_RNA_seq_.xls.gz-sheet-YAD_Diff analysis,bimodal,NA,NA,NA,NA,NA,NA
GSE70314,GSE70314_Gal474_cuffdiff_sictrl.1_siAtad2.1_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE68360,GSE68360_splicing.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE61845,GSE61845_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE52502,GSE52502_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE50554,GSE50554_Routine_gene.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE44333,GSE44333_d33_mock_vs_mhv_res_noNA.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE122932,GSE122932_DifferentialExpression.xlsx-sheet-gRNA3_Cas9.vs.gRNA3,other,NA,NA,NA,NA,NA,NA
GSE122932,GSE122932_DifferentialExpression.xlsx-sheet-ncapg2_gRNA3_Cas9.vs.phenol_red,other,NA,NA,NA,NA,NA,NA
GSE122932,GSE122932_DifferentialExpression.xlsx-sheet-ncapg2_gRNA3.vs.phenol_red,other,NA,NA,NA,NA,NA,NA
GSE107391,GSE107391_RNAseq_transcript_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE116819,GSE116819_xlaevisrnaseq-run1-results-diffexpr-genelist-treated-vs-control.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE104607,GSE104607_Fold_change_Data_and_other_analysis_File.xlsx.gz-sheet-all,conservative,NA,NA,NA,NA,NA,NA
GSE116815,GSE116815_DESeq2_DP_ASL.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE117610,GSE117610_PC9_parental_vs_DTC.csv.gz,uniform,NA,NA,NA,NA,NA,NA
GSE85643,GSE85643_isoform_exp.diff.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE96552,GSE96552_cont_SP-vs-SR_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE77422,GSE77422_PC9_SCR-AA.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_3_YGD_RNA_seq_.xls.gz-sheet-YGD_Diff analysis,bimodal,NA,NA,NA,NA,NA,NA
GSE50554,GSE50554_Routine_isoform.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE116815,GSE116815_DESeq2_DPlike_ASL.txt.gz,spiky,NA,NA,NA,NA,NA,NA
GSE103607,GSE103607_deseq.toptable.xlsx,spiky,NA,NA,NA,NA,NA,NA
GSE107207,GSE107207_res.genes.pietrain.a-b.csv.gz,uniform,NA,NA,NA,NA,NA,NA
GSE94840,GSE94840_Alox5_vs_Control.all.gene.result.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE96072,GSE96072_Galaxy106-_Cuffdiff_on_data_40__data_39__and_others_transcript_differential_expression_testing_.tabular.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE75614,GSE75614_processed_data_mrna-seq_differential_expression.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE70314,GSE70314_Gal476_cuffdiff_sictrl.1_siAtad2.1_transcript_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_gene_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE50554,GSE50554_Stringent_gene.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_IL4_1hr.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE99347,GSE99347_H2AfZKO_WT.anno.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE96072,GSE96072_Galaxy24-_Cuffdiff_on_data_7__data_6__and_others_transcript_differential_expression_testing_.tabular.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE58467,GSE58467_FPKM.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE73321,GSE73321_FW_VS_BW_expression_diff.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE86159,GSE86159_significance_calls_genes_overexpression.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_5_YAR_RNA_seq_.xls.gz-sheet-YAR diff. analysis,bimodal,NA,NA,NA,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE71295,GSE71295_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__24K__vs_control__0K_.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE54240,GSE54240_phoP_RNA-seq.tsv.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE50554,GSE50554_Stringent_isoform.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_IL4_4hr.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE96072,GSE96072_Galaxy55-_Cuffdiff_on_data_2__data_4__and_others_transcript_differential_expression_testing_.tabular.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE89504,GSE89504_TSS_groups_exp.tabular.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE85328,GSE85328_Leukaemia_MLL-AF9_RingKO.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE86159,GSE86159_significance_calls_genes_tam_timecourse.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_6_JHD2_OE_YAD_.xls.gz-sheet-OE_EV_YAD_Diff analysis,conservative,NA,NA,NA,NA,NA,NA
GSE70314,GSE70314_Gal485_cuffdiff_sictrl.2_siAtad2.2_gene_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE60630,GSE60630_PDC3_vs_DMSO_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE63836,GSE63836_Dx_versus_C15Dx.DESeq.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__24S__vs_control__0S_.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE61537,GSE61537_ahr-1ia03vsWild-type.xls.gz,conservative,NA,NA,NA,NA,NA,NA
GSE59980,GSE59980_RNA-seq_598-SKD.txt.gz-set-0,spiky,NA,NA,NA,NA,NA,NA
GSE57682,GSE57682_Id2_3_Treg_G42_Cuffdiff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE50739,GSE50739_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_il33_1hr.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE94724,GSE94724_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE97235,GSE97235_Nef_table.txt.gz,other,NA,NA,NA,NA,NA,NA
GSE86211,GSE86211_CmrA_transcriptome_Expression_of_all_genes.xlsx-sheet-PA14vsPJ01dT,other,NA,NA,NA,NA,NA,NA
GSE94390,GSE94390_gene_expression.xls.gz-sheet-Named Genes,conservative,NA,NA,NA,NA,NA,NA
GSE83265,GSE83265_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE87307,GSE87307_mRNA_processed_results.xlsx,bimodal,NA,NA,NA,NA,NA,NA
GSE85321,GSE85321_Supplemental_Table_7_JHD2_OE_YAR_.xls.gz-sheet-OE_EV_YAR_Diff analysis,conservative,NA,NA,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__6K__vs_control__0K_.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE61537,GSE61537_ahr-1ju145vsWild-type.xls.gz,conservative,NA,NA,NA,NA,NA,NA
GSE43660,GSE43660_control_vs_il33_4hr.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE36695,GSE36695_H1H9KSR_SFM.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE86950,GSE86950_cuffdiff_WGS7_ATCC55737.xlsx,bimodal,NA,NA,NA,NA,NA,NA
GSE108472,GSE108472_Soma_RNAseq.xlsx-sheet-diff_exp,spiky,NA,NA,NA,NA,NA,NA
GSE108678,GSE108678_PIPELINE_2_ALL_DATA.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE89168,GSE89168_36hpupalCNS_WT_dStimKD_CuffDiff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE71133,GSE71133_Supplementary_Table_2.xlsx-sheet-FC > 0,uniform,NA,NA,NA,NA,NA,NA
GSE71133,GSE71133_Supplementary_Table_2.xlsx-sheet-FC < 0,uniform,NA,NA,NA,NA,NA,NA
GSE70314,GSE70314_Gal487_cuffdiff_sictrl.2_siAtad2.2_transcript_differential_expression_testing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE59621,GSE59621_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE62200,GSE62200_Table_S4.xls.gz-sheet-Table S5 N2Y6-E VS LYP9-E,conservative,NA,NA,NA,NA,NA,NA
GSE62200,GSE62200_Table_S4.xls.gz-sheet-Table S4,bimodal,NA,NA,NA,NA,NA,NA
GSE62668,GSE62668_Embryo.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE63133,GSE63133_D.rerio_SVCV_infected__6S__vs_control__0S_.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60171,GSE60171_cuffdiff.FGF-1day.vs.iBET-1day.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE36695,GSE36695_H1H9KSR_hfSFM.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE102543,GSE102543_p179_normalized_counts_table.xls.gz,other,NA,NA,NA,NA,NA,NA
GSE112404,GSE112404_Figure2_sorted_RNAseq_P8_WT_vs_Opn4DTA_DTA.xlsx-sheet-LD-P8-WTB_LD-P8-DTAKO.csv,other,NA,NA,NA,NA,NA,NA
GSE113688,GSE113688_HDP_4days_Gene_Exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE108471,GSE108471_Germline_RNAseq.xlsx-sheet-diff_exp,bimodal,NA,NA,NA,NA,NA,NA
GSE98084,GSE98084_FPKM_Replicate_1.xlsx,uniform,NA,NA,NA,NA,NA,NA
GSE87890,GSE87890_vgat1_csv.csv.gz,conservative,NA,NA,NA,NA,NA,NA
GSE85416,GSE85416_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE89504,GSE89504_gene_exp.tabular.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE83584,GSE83584_processed_data_Day0.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE62200,GSE62200_Table_S6.xls.gz,conservative,NA,NA,NA,NA,NA,NA
GSE62668,GSE62668_Sperm.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE60171,GSE60171_cuffdiff.FGF-5days.vs.iBET-5days.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE36695,GSE36695_H1KSR_H1SFM.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE113688,GSE113688_JunB_WT_KO_Gene_Exp.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE98084,GSE98084_FPKM_Replicate_2.xlsx,uniform,NA,NA,NA,NA,NA,NA
GSE86476,GSE86476_DESeq2_DEXUS_edgeR_results.xlsx-sheet-DESeq2,uniform,NA,NA,NA,NA,NA,NA
GSE86476,GSE86476_DESeq2_DEXUS_edgeR_results.xlsx-sheet-DEXUS,uniform,NA,NA,NA,NA,NA,NA
GSE87890,GSE87890_vgat2_csv.csv.gz,conservative,NA,NA,NA,NA,NA,NA
